WorkerId,Input.List,SceneID,Description,RefType,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType,FirstWord,TargetModificationType,ExactMatch,InitialMatch,MorphemeIncluded,SynFirst,SynIncluded
1,TlessC1,1,dotted square,1,Contrast,square,bumpy,blue,Min,dotted,0,0,0,0,0,0
2,TlessC1,1,square with bumps,1,Contrast,square,bumpy,blue,Min,square,N,0,0,1,1,1
4,TlessC1,1,lego square,1,Contrast,square,bumpy,blue,Min,lego,0,0,0,0,0,0
6,TlessC1,1,square with dots,1,Contrast,square,bumpy,blue,Min,square,0,0,0,0,0,0
12,TlessC1,1,textured lego square,1,Contrast,square,bumpy,blue,Min,textured,0,0,0,0,0,0
25,TlessC1,1,square with bubbles,1,Contrast,square,bumpy,blue,Min,square,0,0,0,0,0,0
26,TlessC1,1,spotted square,1,Contrast,square,bumpy,blue,Min,spotted,0,0,0,0,0,0
28,TlessC1,1,square with 5 dots,1,Contrast,square,bumpy,blue,Min,square,0,0,0,0,0,0
29,TlessC1,1,lego square,1,Contrast,square,bumpy,blue,Min,lego,0,0,0,0,0,0
30,TlessC1,1,5 dots,1,Contrast,square,bumpy,blue,Min,5,0,0,0,0,0,0
31,TlessC1,1,five dotted object,1,Contrast,square,bumpy,blue,Min,five,0,0,0,0,0,0
35,TlessC1,1,square with dots,1,Contrast,square,bumpy,blue,Min,square,0,0,0,0,0,0
37,TlessC1,1,5 dotted square,1,Contrast,square,bumpy,blue,Min,5,0,0,0,0,0,0
38,TlessC1,1,square with 5 dots,1,Contrast,square,bumpy,blue,Min,square,0,0,0,0,0,0
44,TlessC1,1,circle,1,Contrast,square,bumpy,blue,Min,circle,!,0,0,0,0,0
46,TlessC1,1,bumpy square,1,Contrast,square,bumpy,blue,Min,bumpy,1,1,1,1,1,1
47,TlessC1,1,square,1,Contrast,square,bumpy,blue,Min,square,0,0,0,0,0,0
48,TlessC1,1,lego with five dots,1,Contrast,square,bumpy,blue,Min,lego,0,0,0,0,0,0
