condition,target.adjective,target.noun,target.color,group,itemid,Window,Region,adjType,totalLooks,Sum,Proportion
contrast,big,square,red,TlessC,23,adj_early,competitor,rel,5,55,0.0909090909090909
contrast,big,square,red,TlessC,23,adj_early,distractor,rel,9,50,0.18
contrast,big,square,red,TlessC,23,adj_early,distractor.contrast,rel,12,71,0.169014084507042
contrast,big,square,red,TlessC,23,adj_early,target,rel,29,183,0.158469945355191
contrast,big,square,red,TlessC,23,adj_late,competitor,rel,9,104,0.0865384615384615
contrast,big,square,red,TlessC,23,adj_late,distractor,rel,0,95,0
contrast,big,square,red,TlessC,23,adj_late,distractor.contrast,rel,10,79,0.126582278481013
contrast,big,square,red,TlessC,23,adj_late,target,rel,31,212,0.14622641509434
contrast,big,square,red,TlessC,23,noun,competitor,rel,8,93,0.0860215053763441
contrast,big,square,red,TlessC,23,noun,distractor,rel,0,84,0
contrast,big,square,red,TlessC,23,noun,distractor.contrast,rel,23,73,0.315068493150685
contrast,big,square,red,TlessC,23,noun,target,rel,40,255,0.156862745098039
contrast,big,square,red,TlessC,23,prior,competitor,rel,41,71,0.577464788732394
contrast,big,square,red,TlessC,23,prior,distractor,rel,62,92,0.673913043478261
contrast,big,square,red,TlessC,23,prior,distractor.contrast,rel,54,93,0.580645161290323
contrast,big,square,red,TlessC,23,prior,target,rel,26,194,0.134020618556701
contrast,big,square,red,TmoreC,23,adj_early,competitor,rel,0,87,0
contrast,big,square,red,TmoreC,23,adj_early,distractor,rel,0,163,0
contrast,big,square,red,TmoreC,23,adj_early,distractor.contrast,rel,13,30,0.433333333333333
contrast,big,square,red,TmoreC,23,adj_early,target,rel,91,245,0.371428571428571
contrast,big,square,red,TmoreC,23,adj_late,competitor,rel,0,121,0
contrast,big,square,red,TmoreC,23,adj_late,distractor,rel,0,197,0
contrast,big,square,red,TmoreC,23,adj_late,distractor.contrast,rel,8,34,0.235294117647059
contrast,big,square,red,TmoreC,23,adj_late,target,rel,87,308,0.282467532467532
contrast,big,square,red,TmoreC,23,noun,competitor,rel,0,106,0
contrast,big,square,red,TmoreC,23,noun,distractor,rel,0,176,0
contrast,big,square,red,TmoreC,23,noun,distractor.contrast,rel,5,32,0.15625
contrast,big,square,red,TmoreC,23,noun,target,rel,74,360,0.205555555555556
contrast,big,square,red,TmoreC,23,prior,competitor,rel,37,95,0.389473684210526
contrast,big,square,red,TmoreC,23,prior,distractor,rel,32,185,0.172972972972973
contrast,big,square,red,TmoreC,23,prior,distractor.contrast,rel,17,31,0.548387096774194
contrast,big,square,red,TmoreC,23,prior,target,rel,126,293,0.430034129692833
contrast,big,triangle,yellow,TlessC,33,adj_early,competitor,rel,42,109,0.385321100917431
contrast,big,triangle,yellow,TlessC,33,adj_early,distractor,rel,15,86,0.174418604651163
contrast,big,triangle,yellow,TlessC,33,adj_early,distractor.contrast,rel,0,24,0
contrast,big,triangle,yellow,TlessC,33,adj_early,target,rel,36,315,0.114285714285714
contrast,big,triangle,yellow,TlessC,33,adj_late,competitor,rel,10,118,0.0847457627118644
contrast,big,triangle,yellow,TlessC,33,adj_late,distractor,rel,9,112,0.0803571428571429
contrast,big,triangle,yellow,TlessC,33,adj_late,distractor.contrast,rel,14,65,0.215384615384615
contrast,big,triangle,yellow,TlessC,33,adj_late,target,rel,51,357,0.142857142857143
contrast,big,triangle,yellow,TlessC,33,noun,competitor,rel,7,92,0.0760869565217391
contrast,big,triangle,yellow,TlessC,33,noun,distractor,rel,5,96,0.0520833333333333
contrast,big,triangle,yellow,TlessC,33,noun,distractor.contrast,rel,34,66,0.515151515151515
contrast,big,triangle,yellow,TlessC,33,noun,target,rel,27,237,0.113924050632911
contrast,big,triangle,yellow,TlessC,33,prior,competitor,rel,106,101,1.04950495049505
contrast,big,triangle,yellow,TlessC,33,prior,distractor,rel,71,121,0.586776859504132
contrast,big,triangle,yellow,TlessC,33,prior,distractor.contrast,rel,52,96,0.541666666666667
contrast,big,triangle,yellow,TlessC,33,prior,target,rel,26,311,0.0836012861736334
contrast,big,triangle,yellow,TmoreC,33,adj_early,competitor,rel,29,110,0.263636363636364
contrast,big,triangle,yellow,TmoreC,33,adj_early,distractor,rel,7,101,0.0693069306930693
contrast,big,triangle,yellow,TmoreC,33,adj_early,distractor.contrast,rel,9,81,0.111111111111111
contrast,big,triangle,yellow,TmoreC,33,adj_early,target,rel,26,330,0.0787878787878788
contrast,big,triangle,yellow,TmoreC,33,adj_late,competitor,rel,20,78,0.256410256410256
contrast,big,triangle,yellow,TmoreC,33,adj_late,distractor,rel,0,96,0
contrast,big,triangle,yellow,TmoreC,33,adj_late,distractor.contrast,rel,9,73,0.123287671232877
contrast,big,triangle,yellow,TmoreC,33,adj_late,target,rel,63,256,0.24609375
contrast,big,triangle,yellow,TmoreC,33,noun,competitor,rel,12,102,0.117647058823529
contrast,big,triangle,yellow,TmoreC,33,noun,distractor,rel,0,118,0
contrast,big,triangle,yellow,TmoreC,33,noun,distractor.contrast,rel,14,71,0.197183098591549
contrast,big,triangle,yellow,TmoreC,33,noun,target,rel,67,320,0.209375
contrast,big,triangle,yellow,TmoreC,33,prior,competitor,rel,33,129,0.255813953488372
contrast,big,triangle,yellow,TmoreC,33,prior,distractor,rel,6,137,0.0437956204379562
contrast,big,triangle,yellow,TmoreC,33,prior,distractor.contrast,rel,124,79,1.56962025316456
contrast,big,triangle,yellow,TmoreC,33,prior,target,rel,31,311,0.0996784565916399
contrast,closed,circle,blue,TlessC,17,adj_early,competitor,max,12,112,0.107142857142857
contrast,closed,circle,blue,TlessC,17,adj_early,distractor,max,0,134,0
contrast,closed,circle,blue,TlessC,17,adj_early,distractor.contrast,max,15,57,0.263157894736842
contrast,closed,circle,blue,TlessC,17,adj_early,target,max,60,315,0.19047619047619
contrast,closed,circle,blue,TlessC,17,adj_late,competitor,max,38,123,0.308943089430894
contrast,closed,circle,blue,TlessC,17,adj_late,distractor,max,10,148,0.0675675675675676
contrast,closed,circle,blue,TlessC,17,adj_late,distractor.contrast,max,45,67,0.671641791044776
contrast,closed,circle,blue,TlessC,17,adj_late,target,max,70,340,0.205882352941176
contrast,closed,circle,blue,TlessC,17,noun,competitor,max,6,106,0.0566037735849057
contrast,closed,circle,blue,TlessC,17,noun,distractor,max,6,115,0.0521739130434783
contrast,closed,circle,blue,TlessC,17,noun,distractor.contrast,max,9,58,0.155172413793103
contrast,closed,circle,blue,TlessC,17,noun,target,max,9,219,0.0410958904109589
contrast,closed,circle,blue,TlessC,17,prior,competitor,max,22,97,0.22680412371134
contrast,closed,circle,blue,TlessC,17,prior,distractor,max,92,138,0.666666666666667
contrast,closed,circle,blue,TlessC,17,prior,distractor.contrast,max,55,74,0.743243243243243
contrast,closed,circle,blue,TlessC,17,prior,target,max,76,241,0.315352697095436
contrast,closed,circle,blue,TmoreC,17,adj_early,competitor,max,33,114,0.289473684210526
