condition,target.adjective,target.noun,target.color,group,itemid,Window,Region,adjType,totalLooks,Sum,Proportion
contrast,big,square,red,TlessC,23,adjective,competitor,rel,14,105,0.133333333333333
contrast,big,square,red,TlessC,23,adjective,distractor,rel,9,105,0.0857142857142857
contrast,big,square,red,TlessC,23,adjective,distractor.contrast,rel,22,105,0.20952380952381
contrast,big,square,red,TlessC,23,adjective,target,rel,60,105,0.571428571428571
contrast,big,square,red,TlessC,23,noun,competitor,rel,8,71,0.112676056338028
contrast,big,square,red,TlessC,23,noun,distractor,rel,0,71,0
contrast,big,square,red,TlessC,23,noun,distractor.contrast,rel,23,71,0.323943661971831
contrast,big,square,red,TlessC,23,noun,target,rel,40,71,0.563380281690141
contrast,big,square,red,TlessC,23,prior,competitor,rel,41,183,0.224043715846995
contrast,big,square,red,TlessC,23,prior,distractor,rel,62,183,0.33879781420765
contrast,big,square,red,TlessC,23,prior,distractor.contrast,rel,54,183,0.295081967213115
contrast,big,square,red,TlessC,23,prior,target,rel,26,183,0.14207650273224
contrast,big,square,red,TmoreC,23,adjective,competitor,rel,0,199,0
contrast,big,square,red,TmoreC,23,adjective,distractor,rel,0,199,0
contrast,big,square,red,TmoreC,23,adjective,distractor.contrast,rel,21,199,0.105527638190955
contrast,big,square,red,TmoreC,23,adjective,target,rel,178,199,0.894472361809045
contrast,big,square,red,TmoreC,23,noun,competitor,rel,0,79,0
contrast,big,square,red,TmoreC,23,noun,distractor,rel,0,79,0
contrast,big,square,red,TmoreC,23,noun,distractor.contrast,rel,5,79,0.0632911392405063
contrast,big,square,red,TmoreC,23,noun,target,rel,74,79,0.936708860759494
contrast,big,square,red,TmoreC,23,prior,competitor,rel,37,212,0.174528301886792
contrast,big,square,red,TmoreC,23,prior,distractor,rel,32,212,0.150943396226415
contrast,big,square,red,TmoreC,23,prior,distractor.contrast,rel,17,212,0.080188679245283
contrast,big,square,red,TmoreC,23,prior,target,rel,126,212,0.594339622641509
contrast,big,triangle,yellow,TlessC,33,adjective,competitor,rel,52,177,0.293785310734463
contrast,big,triangle,yellow,TlessC,33,adjective,distractor,rel,24,177,0.135593220338983
contrast,big,triangle,yellow,TlessC,33,adjective,distractor.contrast,rel,14,177,0.0790960451977401
contrast,big,triangle,yellow,TlessC,33,adjective,target,rel,87,177,0.491525423728814
contrast,big,triangle,yellow,TlessC,33,noun,competitor,rel,7,73,0.0958904109589041
contrast,big,triangle,yellow,TlessC,33,noun,distractor,rel,5,73,0.0684931506849315
contrast,big,triangle,yellow,TlessC,33,noun,distractor.contrast,rel,34,73,0.465753424657534
contrast,big,triangle,yellow,TlessC,33,noun,target,rel,27,73,0.36986301369863
contrast,big,triangle,yellow,TlessC,33,prior,competitor,rel,106,255,0.415686274509804
contrast,big,triangle,yellow,TlessC,33,prior,distractor,rel,71,255,0.27843137254902
contrast,big,triangle,yellow,TlessC,33,prior,distractor.contrast,rel,52,255,0.203921568627451
contrast,big,triangle,yellow,TlessC,33,prior,target,rel,26,255,0.101960784313725
contrast,big,triangle,yellow,TmoreC,33,adjective,competitor,rel,49,163,0.300613496932515
contrast,big,triangle,yellow,TmoreC,33,adjective,distractor,rel,7,163,0.0429447852760736
contrast,big,triangle,yellow,TmoreC,33,adjective,distractor.contrast,rel,18,163,0.110429447852761
contrast,big,triangle,yellow,TmoreC,33,adjective,target,rel,89,163,0.54601226993865
contrast,big,triangle,yellow,TmoreC,33,noun,competitor,rel,12,93,0.129032258064516
contrast,big,triangle,yellow,TmoreC,33,noun,distractor,rel,0,93,0
contrast,big,triangle,yellow,TmoreC,33,noun,distractor.contrast,rel,14,93,0.150537634408602
contrast,big,triangle,yellow,TmoreC,33,noun,target,rel,67,93,0.720430107526882
contrast,big,triangle,yellow,TmoreC,33,prior,competitor,rel,33,194,0.170103092783505
contrast,big,triangle,yellow,TmoreC,33,prior,distractor,rel,6,194,0.0309278350515464
contrast,big,triangle,yellow,TmoreC,33,prior,distractor.contrast,rel,124,194,0.639175257731959
contrast,big,triangle,yellow,TmoreC,33,prior,target,rel,31,194,0.15979381443299
contrast,closed,circle,blue,TlessC,17,adjective,competitor,max,50,250,0.2
contrast,closed,circle,blue,TlessC,17,adjective,distractor,max,10,250,0.04
contrast,closed,circle,blue,TlessC,17,adjective,distractor.contrast,max,60,250,0.24
contrast,closed,circle,blue,TlessC,17,adjective,target,max,130,250,0.52
contrast,closed,circle,blue,TlessC,17,noun,competitor,max,6,30,0.2
contrast,closed,circle,blue,TlessC,17,noun,distractor,max,6,30,0.2
contrast,closed,circle,blue,TlessC,17,noun,distractor.contrast,max,9,30,0.3
contrast,closed,circle,blue,TlessC,17,noun,target,max,9,30,0.3
contrast,closed,circle,blue,TlessC,17,prior,competitor,max,22,245,0.0897959183673469
contrast,closed,circle,blue,TlessC,17,prior,distractor,max,92,245,0.375510204081633
contrast,closed,circle,blue,TlessC,17,prior,distractor.contrast,max,55,245,0.224489795918367
contrast,closed,circle,blue,TlessC,17,prior,target,max,76,245,0.310204081632653
contrast,closed,circle,blue,TmoreC,17,adjective,competitor,max,46,318,0.144654088050314
contrast,closed,circle,blue,TmoreC,17,adjective,distractor,max,11,318,0.0345911949685535
contrast,closed,circle,blue,TmoreC,17,adjective,distractor.contrast,max,48,318,0.150943396226415
contrast,closed,circle,blue,TmoreC,17,adjective,target,max,213,318,0.669811320754717
contrast,closed,circle,blue,TmoreC,17,noun,competitor,max,0,34,0
contrast,closed,circle,blue,TmoreC,17,noun,distractor,max,0,34,0
contrast,closed,circle,blue,TmoreC,17,noun,distractor.contrast,max,9,34,0.264705882352941
contrast,closed,circle,blue,TmoreC,17,noun,target,max,25,34,0.735294117647059
contrast,closed,circle,blue,TmoreC,17,prior,competitor,max,165,308,0.535714285714286
contrast,closed,circle,blue,TmoreC,17,prior,distractor,max,25,308,0.0811688311688312
contrast,closed,circle,blue,TmoreC,17,prior,distractor.contrast,max,57,308,0.185064935064935
contrast,closed,circle,blue,TmoreC,17,prior,target,max,61,308,0.198051948051948
contrast,closed,circle,green,TlessC,12,adjective,competitor,max,27,282,0.0957446808510638
contrast,closed,circle,green,TlessC,12,adjective,distractor,max,17,282,0.0602836879432624
contrast,closed,circle,green,TlessC,12,adjective,distractor.contrast,max,65,282,0.230496453900709
contrast,closed,circle,green,TlessC,12,adjective,target,max,173,282,0.613475177304965
contrast,closed,circle,green,TlessC,12,noun,competitor,max,6,32,0.1875
contrast,closed,circle,green,TlessC,12,noun,distractor,max,3,32,0.09375
contrast,closed,circle,green,TlessC,12,noun,distractor.contrast,max,6,32,0.1875
contrast,closed,circle,green,TlessC,12,noun,target,max,17,32,0.53125
contrast,closed,circle,green,TlessC,12,prior,competitor,max,70,360,0.194444444444444
contrast,closed,circle,green,TlessC,12,prior,distractor,max,84,360,0.233333333333333
contrast,closed,circle,green,TlessC,12,prior,distractor.contrast,max,37,360,0.102777777777778
contrast,closed,circle,green,TlessC,12,prior,target,max,169,360,0.469444444444444
contrast,closed,circle,green,TmoreC,12,adjective,competitor,max,14,280,0.05
contrast,closed,circle,green,TmoreC,12,adjective,distractor,max,2,280,0.00714285714285714
contrast,closed,circle,green,TmoreC,12,adjective,distractor.contrast,max,43,280,0.153571428571429
contrast,closed,circle,green,TmoreC,12,adjective,target,max,221,280,0.789285714285714
contrast,closed,circle,green,TmoreC,12,noun,competitor,max,0,31,0
contrast,closed,circle,green,TmoreC,12,noun,distractor,max,3,31,0.0967741935483871
contrast,closed,circle,green,TmoreC,12,noun,distractor.contrast,max,2,31,0.0645161290322581
contrast,closed,circle,green,TmoreC,12,noun,target,max,26,31,0.838709677419355
contrast,closed,circle,green,TmoreC,12,prior,competitor,max,107,293,0.36518771331058
contrast,closed,circle,green,TmoreC,12,prior,distractor,max,113,293,0.385665529010239
contrast,closed,circle,green,TmoreC,12,prior,distractor.contrast,max,22,293,0.0750853242320819
contrast,closed,circle,green,TmoreC,12,prior,target,max,51,293,0.174061433447099
contrast,empty,cube,transparent,TlessC,15,adjective,competitor,max,80,195,0.41025641025641
contrast,empty,cube,transparent,TlessC,15,adjective,distractor,max,12,195,0.0615384615384615
contrast,empty,cube,transparent,TlessC,15,adjective,distractor.contrast,max,16,195,0.0820512820512821
contrast,empty,cube,transparent,TlessC,15,adjective,target,max,87,195,0.446153846153846
contrast,empty,cube,transparent,TlessC,15,noun,competitor,max,1,24,0.0416666666666667
contrast,empty,cube,transparent,TlessC,15,noun,distractor,max,0,24,0
contrast,empty,cube,transparent,TlessC,15,noun,distractor.contrast,max,5,24,0.208333333333333
contrast,empty,cube,transparent,TlessC,15,noun,target,max,18,24,0.75
contrast,empty,cube,transparent,TlessC,15,prior,competitor,max,69,315,0.219047619047619
contrast,empty,cube,transparent,TlessC,15,prior,distractor,max,44,315,0.13968253968254
contrast,empty,cube,transparent,TlessC,15,prior,distractor.contrast,max,49,315,0.155555555555556
contrast,empty,cube,transparent,TlessC,15,prior,target,max,153,315,0.485714285714286
contrast,empty,cylinder,transparent,TlessC,20,adjective,competitor,max,65,230,0.282608695652174
contrast,empty,cylinder,transparent,TlessC,20,adjective,distractor,max,12,230,0.0521739130434783
contrast,empty,cylinder,transparent,TlessC,20,adjective,distractor.contrast,max,31,230,0.134782608695652
contrast,empty,cylinder,transparent,TlessC,20,adjective,target,max,122,230,0.530434782608696
contrast,empty,cylinder,transparent,TlessC,20,noun,competitor,max,5,65,0.0769230769230769
contrast,empty,cylinder,transparent,TlessC,20,noun,distractor,max,6,65,0.0923076923076923
contrast,empty,cylinder,transparent,TlessC,20,noun,distractor.contrast,max,18,65,0.276923076923077
contrast,empty,cylinder,transparent,TlessC,20,noun,target,max,36,65,0.553846153846154
contrast,empty,cylinder,transparent,TlessC,20,prior,competitor,max,155,357,0.434173669467787
contrast,empty,cylinder,transparent,TlessC,20,prior,distractor,max,28,357,0.0784313725490196
contrast,empty,cylinder,transparent,TlessC,20,prior,distractor.contrast,max,75,357,0.210084033613445
contrast,empty,cylinder,transparent,TlessC,20,prior,target,max,99,357,0.277310924369748
contrast,flat,circle,green,TlessC,11,adjective,competitor,max,20,188,0.106382978723404
contrast,flat,circle,green,TlessC,11,adjective,distractor,max,30,188,0.159574468085106
contrast,flat,circle,green,TlessC,11,adjective,distractor.contrast,max,19,188,0.101063829787234
contrast,flat,circle,green,TlessC,11,adjective,target,max,119,188,0.632978723404255
contrast,flat,circle,green,TlessC,11,noun,competitor,max,20,66,0.303030303030303
contrast,flat,circle,green,TlessC,11,noun,distractor,max,0,66,0
contrast,flat,circle,green,TlessC,11,noun,distractor.contrast,max,15,66,0.227272727272727
contrast,flat,circle,green,TlessC,11,noun,target,max,31,66,0.46969696969697
contrast,flat,circle,green,TlessC,11,prior,competitor,max,25,237,0.105485232067511
contrast,flat,circle,green,TlessC,11,prior,distractor,max,65,237,0.274261603375527
contrast,flat,circle,green,TlessC,11,prior,distractor.contrast,max,61,237,0.257383966244726
contrast,flat,circle,green,TlessC,11,prior,target,max,86,237,0.362869198312236
contrast,flat,circle,green,TmoreC,11,adjective,competitor,max,49,222,0.220720720720721
contrast,flat,circle,green,TmoreC,11,adjective,distractor,max,107,222,0.481981981981982
contrast,flat,circle,green,TmoreC,11,adjective,distractor.contrast,max,26,222,0.117117117117117
contrast,flat,circle,green,TmoreC,11,adjective,target,max,40,222,0.18018018018018
contrast,flat,circle,green,TmoreC,11,noun,competitor,max,6,96,0.0625
contrast,flat,circle,green,TmoreC,11,noun,distractor,max,5,96,0.0520833333333333
contrast,flat,circle,green,TmoreC,11,noun,distractor.contrast,max,23,96,0.239583333333333
contrast,flat,circle,green,TmoreC,11,noun,target,max,62,96,0.645833333333333
contrast,flat,circle,green,TmoreC,11,prior,competitor,max,102,311,0.327974276527331
contrast,flat,circle,green,TmoreC,11,prior,distractor,max,50,311,0.160771704180064
contrast,flat,circle,green,TmoreC,11,prior,distractor.contrast,max,47,311,0.15112540192926
contrast,flat,circle,green,TmoreC,11,prior,target,max,112,311,0.360128617363344
contrast,flat,triangle,yellow,TlessC,16,adjective,competitor,max,42,211,0.199052132701422
contrast,flat,triangle,yellow,TlessC,16,adjective,distractor,max,68,211,0.322274881516588
contrast,flat,triangle,yellow,TlessC,16,adjective,distractor.contrast,max,36,211,0.170616113744076
contrast,flat,triangle,yellow,TlessC,16,adjective,target,max,65,211,0.308056872037915
contrast,flat,triangle,yellow,TlessC,16,noun,competitor,max,24,81,0.296296296296296
contrast,flat,triangle,yellow,TlessC,16,noun,distractor,max,8,81,0.0987654320987654
contrast,flat,triangle,yellow,TlessC,16,noun,distractor.contrast,max,33,81,0.407407407407407
contrast,flat,triangle,yellow,TlessC,16,noun,target,max,16,81,0.197530864197531
contrast,flat,triangle,yellow,TlessC,16,prior,competitor,max,86,330,0.260606060606061
contrast,flat,triangle,yellow,TlessC,16,prior,distractor,max,92,330,0.278787878787879
contrast,flat,triangle,yellow,TlessC,16,prior,distractor.contrast,max,77,330,0.233333333333333
