condition,target.adjective,target.noun,target.color,group,itemid,Window,Region,adjType,AdjWindow,totalLooks,Sum,Proportion
contrast,big,square,red,TlessC,23,adjective,competitor,rel,early,5,55,0.0909090909090909
contrast,big,square,red,TlessC,23,adjective,competitor,rel,late,9,50,0.18
contrast,big,square,red,TlessC,23,adjective,distractor,rel,early,9,71,0.126760563380282
contrast,big,square,red,TlessC,23,adjective,distractor,rel,late,0,183,0
contrast,big,square,red,TlessC,23,adjective,distractor.contrast,rel,early,12,104,0.115384615384615
contrast,big,square,red,TlessC,23,adjective,distractor.contrast,rel,late,10,95,0.105263157894737
contrast,big,square,red,TlessC,23,adjective,target,rel,early,29,79,0.367088607594937
contrast,big,square,red,TlessC,23,adjective,target,rel,late,31,212,0.14622641509434
contrast,big,square,red,TlessC,23,noun,competitor,rel,none,8,93,0.0860215053763441
contrast,big,square,red,TlessC,23,noun,distractor,rel,none,0,84,0
contrast,big,square,red,TlessC,23,noun,distractor.contrast,rel,none,23,73,0.315068493150685
contrast,big,square,red,TlessC,23,noun,target,rel,none,40,255,0.156862745098039
contrast,big,square,red,TlessC,23,prior,competitor,rel,none,41,71,0.577464788732394
contrast,big,square,red,TlessC,23,prior,distractor,rel,none,62,92,0.673913043478261
contrast,big,square,red,TlessC,23,prior,distractor.contrast,rel,none,54,93,0.580645161290323
contrast,big,square,red,TlessC,23,prior,target,rel,none,26,194,0.134020618556701
contrast,big,square,red,TmoreC,23,adjective,competitor,rel,early,0,87,0
contrast,big,square,red,TmoreC,23,adjective,competitor,rel,late,0,163,0
contrast,big,square,red,TmoreC,23,adjective,distractor,rel,early,0,30,0
contrast,big,square,red,TmoreC,23,adjective,distractor,rel,late,0,245,0
contrast,big,square,red,TmoreC,23,adjective,distractor.contrast,rel,early,13,121,0.107438016528926
contrast,big,square,red,TmoreC,23,adjective,distractor.contrast,rel,late,8,197,0.0406091370558376
contrast,big,square,red,TmoreC,23,adjective,target,rel,early,91,34,2.67647058823529
contrast,big,square,red,TmoreC,23,adjective,target,rel,late,87,308,0.282467532467532
contrast,big,square,red,TmoreC,23,noun,competitor,rel,none,0,106,0
contrast,big,square,red,TmoreC,23,noun,distractor,rel,none,0,176,0
contrast,big,square,red,TmoreC,23,noun,distractor.contrast,rel,none,5,32,0.15625
contrast,big,square,red,TmoreC,23,noun,target,rel,none,74,360,0.205555555555556
contrast,big,square,red,TmoreC,23,prior,competitor,rel,none,37,95,0.389473684210526
contrast,big,square,red,TmoreC,23,prior,distractor,rel,none,32,185,0.172972972972973
contrast,big,square,red,TmoreC,23,prior,distractor.contrast,rel,none,17,31,0.548387096774194
contrast,big,square,red,TmoreC,23,prior,target,rel,none,126,293,0.430034129692833
contrast,big,triangle,yellow,TlessC,33,adjective,competitor,rel,early,42,109,0.385321100917431
contrast,big,triangle,yellow,TlessC,33,adjective,competitor,rel,late,10,86,0.116279069767442
contrast,big,triangle,yellow,TlessC,33,adjective,distractor,rel,early,15,24,0.625
contrast,big,triangle,yellow,TlessC,33,adjective,distractor,rel,late,9,315,0.0285714285714286
contrast,big,triangle,yellow,TlessC,33,adjective,distractor.contrast,rel,early,0,118,0
contrast,big,triangle,yellow,TlessC,33,adjective,distractor.contrast,rel,late,14,112,0.125
contrast,big,triangle,yellow,TlessC,33,adjective,target,rel,early,36,65,0.553846153846154
contrast,big,triangle,yellow,TlessC,33,adjective,target,rel,late,51,357,0.142857142857143
contrast,big,triangle,yellow,TlessC,33,noun,competitor,rel,none,7,92,0.0760869565217391
contrast,big,triangle,yellow,TlessC,33,noun,distractor,rel,none,5,96,0.0520833333333333
contrast,big,triangle,yellow,TlessC,33,noun,distractor.contrast,rel,none,34,66,0.515151515151515
contrast,big,triangle,yellow,TlessC,33,noun,target,rel,none,27,237,0.113924050632911
