Input.List,SceneID,Weight,Nested,Procedure,Condition,TrialType,TargetNoun,TargetAdjective,TargetColor,PicFileTarget,PicFileCompetitor,PicFileDistractor1,PicFileContrastDistractor2,soundFile,itemID,AdjectiveID,AdjectiveOnset,NounOnset,AdjectiveType
TlessC1,1,1,XPositions,TrialProc,Contrast,test,square,bumpy,blue,images\bumpy_bluesquare6.jpg,images\bumpy_greencircle7.jpg,images\#tall_yellowcylinder3.jpg,images\bumpy_redsquare1.jpg,sounds\K9_BumpySquare1.wav,1,1,511,960,Min
TlessC1,2,1,XPositions,TrialProc,NoContrast,test,circle,open,blue,images\open_bluecircle6.jpg,images\open_redtriangle7.jpg,images\yellow_cloud.jpg,images\green_garabato.jpg,sounds\K9_OpenCircle3.wav,2,2,603,972,Min
TlessC1,3,1,XPositions,TrialProc,Contrast,test,line,bent,green,images\bent_greenline6.jpg,images\bent_redarrow7.jpg,images\yellow_cloud.jpg,images\bent_blueline1.jpg,sounds\K9_BentLine3.wav,3,3,501,1025,Min
TlessC1,4,1,XPositions,TrialProc,NoContrast,test,line,curved,red,images\curved_redline6.jpg,images\curved_greenarrow7.jpg,images\yellow_star.jpg,images\striped_bluetriangle4.jpg ,sounds\K9_CurvedLine2.wav,4,4,527,1090,Min
TlessC1,5,1,XPositions,TrialProc,Contrast,test,circle,spotted,yellow,images\spotted_yellowcircle6.jpg,images\spotted_redsquare7.jpg,images\striped_bluetriangle4.jpg,images\spotted_greencircle1.jpg,sounds\K9_SpottedCircle1.wav,5,5,482,981,Min
TlessC1,6,1,XPositions,TrialProc,NoContrast,test,square,striped,yellow,images\striped_yellowsquare6.jpg,images\striped_bluetriangle7.jpg,images\spotted_redstar.jpg,images\bumpy_greencircle4.jpg,sounds\K9_StripedSquare1.wav,6,6,514,1106,Min
TlessC1,7,1,XPositions,TrialProc,Contrast,test,triangle,bumpy,red,images\bumpy_redtriangle6.jpg,images\bumpy_bluesquare7.jpg,images\spotted_greencircle4.jpg,images\bumpy_yellowtriangle1.jpg,sounds\K9_BumpyTriangle1.wav,7,1,478,876,Min
TlessC1,8,1,XPositions,TrialProc,NoContrast,test,line,curved,blue,images\curved_blueline6.jpg,images\curved_redarrow7.jpg,images\bumpy_yellowtriangle1.jpg,images\green_lightning.jpg,sounds\K9_CurvedLine2.wav,8,4,527,1090,Min
TlessC1,9,1,XPositions,TrialProc,Contrast,test,square,spotted,yellow,images\spotted_yellowsquare6.jpg,images\spotted_greentriangle7.jpg,images\diagonal_bluearrow.jpg  ,images\spotted_redsquare1.jpg,sounds\K9_SpottedSquare1.wav,9,5,497,988,Min
TlessC1,10,1,XPositions,TrialProc,NoContrast,test,triangle,striped,red,images\striped_redtriangle6.jpg,images\striped_greensquare7.jpg,images\chereos_yellowoval.jpg,images\bumpy_blueshape.jpg,sounds\K9_StripedTriangle1.wav,10,6,487,1076,Min
TlessC1,11,1,XPositions,TrialProc,Contrast,test,cirlce,flat,green,images\bumpy_greencircle2.jpg,images\bumpy_yellowtriangle1.jpg,images\full_cube8.jpg,images\bumpy_bluecircle5.jpg,sounds\K9_FlatCircle1.wav,11,7,474,890,Max
