WorkerId,Answer.wrongAdj,Answer.wrongShape,Input.List,SceneID,Answer.choicePrior,Answer.choiceAdj,Answer.choiceWhole,Turn,sceneConfigs,timePrior,timeAdj,timeWhole,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType
plecti36g9fb,No,No,TmoreC1,1,Target,Target,Target,79,ACBD,2054,1553,1448,Contrast,square,bumpy,blue,Min
plecti36g9fb,No,No,TmoreC1,2,Competitor,Competitor,Target,27,BCAD,2141,2064,1952,NoContrast,circle,open,blue,Min
plecti36g9fb,No,No,TmoreC1,3,Target,Target,Target,5,ABDC,2999,1883,1741,Contrast,line,bent,green,Min
plecti36g9fb,No,No,TmoreC1,4,Distractor,Target,Target,115,DACB,2204,2409,1489,NoContrast,line,curved,red,Min
plecti36g9fb,No,No,TmoreC1,5,Target,Target,Target,96,ACDB,2019,1528,1317,Contrast,circle,spotted,yellow,Min
plecti36g9fb,No,No,TmoreC1,6,Target,Target,Target,120,ACBD,1935,1246,1377,NoContrast,square,striped,yellow,Min
plecti36g9fb,No,No,TmoreC1,7,Competitor,Competitor,Target,56,CADB,1937,2447,1731,Contrast,triangle,bumpy,red,Min
plecti36g9fb,No,No,TmoreC1,8,Target,Target,Target,99,ADBC,2199,1463,1479,NoContrast,line,curved,blue,Min
plecti36g9fb,No,No,TmoreC1,9,Distractor,Target,Target,106,BDAC,2080,2094,1210,Contrast,square,spotted,yellow,Min
plecti36g9fb,No,No,TmoreC1,10,Contrast,Competitor,Target,45,CDBA,2307,1718,1808,NoContrast,triangle,striped,red,Min
plecti36g9fb,No,No,TmoreC1,11,Distractor,Competitor,Target,71,BDAC,2488,1783,1295,Contrast,cirlce,flat,green,Max
plecti36g9fb,No,No,TmoreC1,12,Distractor,Target,Target,76,BDAC,2271,2250,1440,NoContrast,cirlce,closed,green,Max
plecti36g9fb,No,No,TmoreC1,13,Competitor,Target,Target,110,BACD,2312,1632,1056,Contrast,line,straight,blue,Max
plecti36g9fb,No,No,TmoreC1,14,Target,Competitor,Target,7,BCDA,4400,1895,1662,NoContrast,cube,full,yellow,Max
plecti36g9fb,No,No,TmoreC1,15,Competitor,Competitor,Target,62,DABC,2103,1615,2991,Contrast,cube,empty ,transparent,Max
plecti36g9fb,No,No,TmoreC1,16,Target,Competitor,Target,15,ABDC,2236,2331,1809,NoContrast,triangle,flat,yellow,Max
plecti36g9fb,No,No,TmoreC1,17,Competitor,Target,Target,35,CABD,2073,1883,1107,Contrast,circle,closed,blue,Max
plecti36g9fb,No,No,TmoreC1,18,Contrast,Target,Target,52,DCBA,1759,2103,1450,NoContrast,line,straight,red,Max
plecti36g9fb,No,No,TmoreC1,19,Contrast,Target,Target,41,CBDA,1951,1480,1124,Contrast,cylinder,full,blue,Max
plecti36g9fb,No,No,TmoreC1,20,Target,Competitor,Target,113,ADBC,2049,1529,1606,NoContrast,cylinder,empty ,transparent,Max
plecti36g9fb,No,No,TmoreC1,21,Competitor,Target,Target,100,CADB,1992,1857,1087,Contrast,line,long,red,Rel
plecti36g9fb,No,No,TmoreC1,22,Contrast,Target,Target,42,CDBA,2812,2495,4688,NoContrast,line,short ,blue,Rel
plecti36g9fb,No,No,TmoreC1,23,Target,Target,Target,64,ADCB,1911,1425,1147,Contrast,square,big,red,Rel
plecti36g9fb,No,No,TmoreC1,24,Competitor,Target,Target,32,ADBC,3152,3733,2013,NoContrast,triangle,small,yellow,Rel
plecti36g9fb,No,No,TmoreC1,25,Competitor,Target,Target,48,DACB,2041,2501,1240,Contrast,oval,wide,green,Rel
plecti36g9fb,No,No,TmoreC1,26,Competitor,Target,Target,23,CABD,2080,1991,1408,NoContrast,rectangle,narrow,red,Rel
plecti36g9fb,No,No,TmoreC1,27,Distractor,Competitor,Target,55,DBAC,4047,1625,1796,Contrast,spiral,tall,blue,Rel
plecti36g9fb,No,No,TmoreC1,28,Target,Competitor,Target,4,ABDC,2615,2858,2069,NoContrast,spiral,short,red,Rel
plecti36g9fb,No,No,TmoreC1,29,Distractor,Target,Target,111,BDAC,1911,1999,1458,Contrast,line,thick,yellow,Rel
plecti36g9fb,No,No,TmoreC1,30,Competitor,Target,Target,63,ABCD,2257,1943,1744,NoContrast,line,thin,blue,Rel
plecti36g9fb,No,No,TmoreC1,31,Contrast,Target,Target,85,CDBA,2440,2144,1167,Contrast,line,long ,green,Rel
