WorkerId,Answer.wrongAdj,Answer.wrongShape,Input.List,SceneID,Input.Condition,Input.Noun,Input.Adj,Input.Target,Input.Competitor,Input.Distractor,Input.Contrast,Answer.choicePrior,Answer.choiceAdj,Answer.choiceWhole,turnOrder,sceneConfigs
eqgd4baq65cz,No,No,TlessC1,1,Contrast,square,bumpy,bumpy_bluesquare6.jpg,bumpy_greencircle7.jpg,%23tall_yellowcylinder3.jpg,bumpy_redsquare1.jpg,Contrast,Competitor,Target,59,ABCD
eqgd4baq65cz,No,No,TlessC1,2,NoContrast,circle,open,open_bluecircle6.jpg,open_redtriangle7.jpg,yellow_cloud.jpg,green_garabato.jpg,Distractor,Target,Target,33,CBAD
eqgd4baq65cz,No,No,TlessC1,3,Contrast,line,bent,bent_greenline6.jpg,bent_redarrow7.jpg,yellow_cloud.jpg,bent_blueline1.jpg,Distractor,Competitor,Target,108,BCAD
eqgd4baq65cz,No,No,TlessC1,4,NoContrast,line,curved,curved_redline6.jpg,curved_greenarrow7.jpg,yellow_star.jpg,striped_bluetriangle4.jpg,Contrast,Target,Target,99,BDCA
eqgd4baq65cz,No,No,TlessC1,5,Contrast,circle,spotted,spotted_yellowcircle6.jpg,spotted_redsquare7.jpg,striped_bluetriangle4.jpg,spotted_greencircle1.jpg,Target,Target,Target,7,ADCB
eqgd4baq65cz,No,No,TlessC1,6,NoContrast,square,striped,striped_yellowsquare6.jpg,striped_bluetriangle7.jpg,spotted_redstar.jpg,bumpy_greencircle4.jpg,Target,Target,Target,1,DBCA
eqgd4baq65cz,No,No,TlessC1,7,Contrast,triangle,bumpy,bumpy_redtriangle6.jpg,bumpy_bluesquare7.jpg,spotted_greencircle4.jpg,bumpy_yellowtriangle1.jpg,Distractor,Distractor,Target,50,BCDA
eqgd4baq65cz,No,No,TlessC1,8,NoContrast,line,curved,curved_blueline6.jpg,curved_redarrow7.jpg,bumpy_yellowtriangle1.jpg,green_lightning.jpg,Contrast,Target,Target,72,ABCD
eqgd4baq65cz,No,No,TlessC1,9,Contrast,square,spotted,spotted_yellowsquare6.jpg,spotted_greentriangle7.jpg,diagonal_bluearrow.jpg,spotted_redsquare1.jpg,Competitor,Competitor,Target,6,DBCA
eqgd4baq65cz,No,No,TlessC1,10,NoContrast,triangle,striped,striped_redtriangle6.jpg,striped_greensquare7.jpg,chereos_yellowoval.jpg,bumpy_blueshape.jpg,Distractor,Competitor,Target,96,CBAD
