"WorkerId","Answer.wrongAdj","Answer.wrongShape","Input.List","SceneID","Answer.choicePrior","Answer.choiceAdj","Answer.choiceWhole","Turn","sceneConfigs","timePrior","timeAdj","timeWhole","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType"
"A3URMVMNIEN5LX","No","No","TlessC1",1,"Target","Competitor","Competitor",95,"ACBD","2154","3910","820","Contrast","square","bumpy","blue","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",2,"Competitor","Competitor","Target",109,"ABCD","3287","2217","1843","NoContrast","circle","open","blue","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",3,"Distractor","Target","Target",102,"CBDA","3402","3249","1955","Contrast","line","bent","green","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",4,"Distractor","Competitor","Target",93,"BACD","3313","2465","2154","NoContrast","line","curved","red","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",5,"Competitor","Competitor","Target",51,"BDAC","6214","3757","4960","Contrast","circle","spotted","yellow","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",6,"Distractor","Target","Target",90,"DABC","39937","2780","1704","NoContrast","square","striped","yellow","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",7,"Competitor","Competitor","Target",62,"DCBA","2046","1756","2243","Contrast","triangle","bumpy","red","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",8,"Contrast","Target","Target",92,"BDCA","2019","2338","1708","NoContrast","line","curved","blue","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",9,"Distractor","Competitor","Target",120,"DBAC","3859","2403","2478","Contrast","square","spotted","yellow","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",10,"Distractor","Competitor","Target",59,"DACB","3027","2690","4393","NoContrast","triangle","striped","red","Min"
"A3URMVMNIEN5LX","No","No","TlessC1",11,"Distractor","Distractor","Target",38,"ADBC","3094","3316","6116","Contrast","cirlce","flat","green","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",12,"Distractor","Distractor","Target",45,"CABD","3144","1443","1818","NoContrast","cirlce","closed","green","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",13,"Competitor","Competitor","Competitor",98,"CDAB","3749","2214","2269","Contrast","line","straight","blue","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",14,"Distractor","Competitor","Target",52,"CDBA","8259","2739","2100","NoContrast","cube","full","yellow","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",15,"Competitor","Competitor","Competitor",79,"CBDA","3272","2098","1379","Contrast","cube","empty ","transparent","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",16,"Distractor","Competitor","Target",75,"ADCB","2110","2163","2233","NoContrast","triangle","flat","yellow","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",17,"Competitor","Competitor","Target",18,"BACD","3485","4255","2537","Contrast","circle","closed","blue","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",18,"Distractor","Competitor","Competitor",76,"BCAD","2055","2639","1528","NoContrast","line","straight","red","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",19,"Contrast","Target","Target",25,"CDBA","3232","2440","1962","Contrast","cylinder","full","blue","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",20,"Contrast","Competitor","Target",116,"CDAB","4284","2466","2342","NoContrast","cylinder","empty ","transparent","Max"
"A3URMVMNIEN5LX","No","No","TlessC1",21,"Competitor","Competitor","Competitor",3,"ACDB","4497","2408","1983","Contrast","line","long","red","Rel"
