condition,target.adjective,target.noun,target.color,itemid,adjectivetype,Window,Region,totalLooks,Proportion
contrast,big,square,red,23,rel,adjective,competitor,27,0.192857142857143
contrast,big,square,red,23,rel,adjective,distractor,46,0.328571428571429
contrast,big,square,red,23,rel,adjective,distractor.contrast,39,0.278571428571429
contrast,big,square,red,23,rel,adjective,target,28,0.2
contrast,big,square,red,23,rel,noun,competitor,22,0.140127388535032
contrast,big,square,red,23,rel,noun,distractor,4,0.0254777070063694
contrast,big,square,red,23,rel,noun,distractor.contrast,40,0.254777070063694
contrast,big,square,red,23,rel,noun,target,91,0.579617834394904
contrast,big,square,red,23,rel,prior,competitor,17,0.236111111111111
contrast,big,square,red,23,rel,prior,distractor,23,0.319444444444444
contrast,big,square,red,23,rel,prior,distractor.contrast,23,0.319444444444444
contrast,big,square,red,23,rel,prior,target,9,0.125
contrast,big,triangle,yellow,33,rel,adjective,competitor,119,0.506382978723404
contrast,big,triangle,yellow,33,rel,adjective,distractor,75,0.319148936170213
contrast,big,triangle,yellow,33,rel,adjective,distractor.contrast,19,0.0808510638297872
contrast,big,triangle,yellow,33,rel,adjective,target,22,0.0936170212765957
contrast,big,triangle,yellow,33,rel,noun,competitor,39,0.184834123222749
contrast,big,triangle,yellow,33,rel,noun,distractor,21,0.0995260663507109
contrast,big,triangle,yellow,33,rel,noun,distractor.contrast,48,0.227488151658768
contrast,big,triangle,yellow,33,rel,noun,target,103,0.488151658767773
contrast,big,triangle,yellow,33,rel,prior,competitor,7,0.104477611940299
contrast,big,triangle,yellow,33,rel,prior,distractor,4,0.0597014925373134
contrast,big,triangle,yellow,33,rel,prior,distractor.contrast,37,0.552238805970149
contrast,big,triangle,yellow,33,rel,prior,target,19,0.283582089552239
contrast,closed,circle,blue,17,max,adjective,competitor,38,0.136690647482014
contrast,closed,circle,blue,17,max,adjective,distractor,46,0.165467625899281
contrast,closed,circle,blue,17,max,adjective,distractor.contrast,58,0.20863309352518
contrast,closed,circle,blue,17,max,adjective,target,136,0.489208633093525
contrast,closed,circle,blue,17,max,noun,competitor,40,0.25
contrast,closed,circle,blue,17,max,noun,distractor,16,0.1
contrast,closed,circle,blue,17,max,noun,distractor.contrast,42,0.2625
contrast,closed,circle,blue,17,max,noun,target,62,0.3875
contrast,closed,circle,blue,17,max,prior,distractor,46,0.528735632183908
contrast,closed,circle,blue,17,max,prior,distractor.contrast,24,0.275862068965517
contrast,closed,circle,blue,17,max,prior,target,17,0.195402298850575
contrast,closed,circle,green,12,max,adjective,competitor,39,0.102094240837696
contrast,closed,circle,green,12,max,adjective,distractor,79,0.206806282722513
contrast,closed,circle,green,12,max,adjective,distractor.contrast,70,0.183246073298429
contrast,closed,circle,green,12,max,adjective,target,194,0.507853403141361
contrast,closed,circle,green,12,max,noun,competitor,18,0.105882352941176
contrast,closed,circle,green,12,max,noun,distractor,12,0.0705882352941176
contrast,closed,circle,green,12,max,noun,distractor.contrast,27,0.158823529411765
contrast,closed,circle,green,12,max,noun,target,113,0.664705882352941
contrast,closed,circle,green,12,max,prior,competitor,46,0.377049180327869
contrast,closed,circle,green,12,max,prior,distractor,13,0.10655737704918
contrast,closed,circle,green,12,max,prior,distractor.contrast,11,0.0901639344262295
contrast,closed,circle,green,12,max,prior,target,52,0.426229508196721
contrast,empty,cube,transparent,15,max,adjective,competitor,64,0.227758007117438
contrast,empty,cube,transparent,15,max,adjective,distractor,43,0.153024911032028
contrast,empty,cube,transparent,15,max,adjective,distractor.contrast,36,0.128113879003559
contrast,empty,cube,transparent,15,max,adjective,target,138,0.491103202846975
contrast,empty,cube,transparent,15,max,noun,competitor,81,0.36986301369863
contrast,empty,cube,transparent,15,max,noun,distractor,12,0.0547945205479452
contrast,empty,cube,transparent,15,max,noun,distractor.contrast,21,0.0958904109589041
contrast,empty,cube,transparent,15,max,noun,target,105,0.479452054794521
contrast,empty,cube,transparent,15,max,prior,competitor,9,0.103448275862069
contrast,empty,cube,transparent,15,max,prior,distractor,1,0.0114942528735632
contrast,empty,cube,transparent,15,max,prior,distractor.contrast,38,0.436781609195402
contrast,empty,cube,transparent,15,max,prior,target,39,0.448275862068966
contrast,empty,cylinder,transparent,20,max,adjective,competitor,127,0.405750798722045
contrast,empty,cylinder,transparent,20,max,adjective,distractor,13,0.0415335463258786
contrast,empty,cylinder,transparent,20,max,adjective,distractor.contrast,69,0.220447284345048
contrast,empty,cylinder,transparent,20,max,adjective,target,104,0.332268370607029
contrast,empty,cylinder,transparent,20,max,noun,competitor,55,0.218253968253968
contrast,empty,cylinder,transparent,20,max,noun,distractor,18,0.0714285714285714
contrast,empty,cylinder,transparent,20,max,noun,distractor.contrast,41,0.162698412698413
contrast,empty,cylinder,transparent,20,max,noun,target,138,0.547619047619048
contrast,empty,cylinder,transparent,20,max,prior,competitor,57,0.448818897637795
contrast,empty,cylinder,transparent,20,max,prior,distractor,25,0.196850393700787
contrast,empty,cylinder,transparent,20,max,prior,distractor.contrast,22,0.173228346456693
contrast,empty,cylinder,transparent,20,max,prior,target,23,0.181102362204724
contrast,flat,circle,green,11,max,adjective,competitor,32,0.139130434782609
contrast,flat,circle,green,11,max,adjective,distractor,51,0.221739130434783
contrast,flat,circle,green,11,max,adjective,distractor.contrast,21,0.091304347826087
contrast,flat,circle,green,11,max,adjective,target,126,0.547826086956522
contrast,flat,circle,green,11,max,noun,competitor,29,0.172619047619048
contrast,flat,circle,green,11,max,noun,distractor,9,0.0535714285714286
contrast,flat,circle,green,11,max,noun,distractor.contrast,34,0.202380952380952
contrast,flat,circle,green,11,max,noun,target,96,0.571428571428571
contrast,flat,circle,green,11,max,prior,competitor,4,0.043010752688172
contrast,flat,circle,green,11,max,prior,distractor,35,0.376344086021505
contrast,flat,circle,green,11,max,prior,distractor.contrast,40,0.43010752688172
contrast,flat,circle,green,11,max,prior,target,14,0.150537634408602
contrast,flat,triangle,yellow,16,max,adjective,competitor,68,0.217252396166134
contrast,flat,triangle,yellow,16,max,adjective,distractor,104,0.332268370607029
contrast,flat,triangle,yellow,16,max,adjective,distractor.contrast,75,0.23961661341853
contrast,flat,triangle,yellow,16,max,adjective,target,66,0.210862619808307
contrast,flat,triangle,yellow,16,max,noun,competitor,51,0.242857142857143
contrast,flat,triangle,yellow,16,max,noun,distractor,43,0.204761904761905
contrast,flat,triangle,yellow,16,max,noun,distractor.contrast,64,0.304761904761905
contrast,flat,triangle,yellow,16,max,noun,target,52,0.247619047619048
contrast,flat,triangle,yellow,16,max,prior,competitor,36,0.342857142857143
contrast,flat,triangle,yellow,16,max,prior,distractor,21,0.2
contrast,flat,triangle,yellow,16,max,prior,distractor.contrast,8,0.0761904761904762
contrast,flat,triangle,yellow,16,max,prior,target,40,0.380952380952381
contrast,full,cube,yellow,14,max,adjective,competitor,65,0.216666666666667
contrast,full,cube,yellow,14,max,adjective,distractor,1,0.00333333333333333
contrast,full,cube,yellow,14,max,adjective,distractor.contrast,96,0.32
contrast,full,cube,yellow,14,max,adjective,target,138,0.46
contrast,full,cube,yellow,14,max,noun,competitor,37,0.165919282511211
contrast,full,cube,yellow,14,max,noun,distractor,12,0.0538116591928251
contrast,full,cube,yellow,14,max,noun,distractor.contrast,62,0.278026905829596
contrast,full,cube,yellow,14,max,noun,target,112,0.502242152466368
contrast,full,cube,yellow,14,max,prior,competitor,42,0.403846153846154
contrast,full,cube,yellow,14,max,prior,distractor,28,0.269230769230769
contrast,full,cube,yellow,14,max,prior,distractor.contrast,20,0.192307692307692
contrast,full,cube,yellow,14,max,prior,target,14,0.134615384615385
contrast,full,cylinder,blue,19,max,adjective,competitor,47,0.145962732919255
contrast,full,cylinder,blue,19,max,adjective,distractor,73,0.226708074534162
contrast,full,cylinder,blue,19,max,adjective,distractor.contrast,94,0.291925465838509
contrast,full,cylinder,blue,19,max,adjective,target,108,0.335403726708075
contrast,full,cylinder,blue,19,max,noun,competitor,47,0.233830845771144
contrast,full,cylinder,blue,19,max,noun,distractor,15,0.0746268656716418
contrast,full,cylinder,blue,19,max,noun,distractor.contrast,32,0.159203980099502
contrast,full,cylinder,blue,19,max,noun,target,107,0.532338308457711
contrast,full,cylinder,blue,19,max,prior,competitor,37,0.359223300970874
contrast,full,cylinder,blue,19,max,prior,distractor,14,0.135922330097087
contrast,full,cylinder,blue,19,max,prior,distractor.contrast,6,0.058252427184466
contrast,full,cylinder,blue,19,max,prior,target,46,0.446601941747573
contrast,long,line,green,31,rel,adjective,competitor,65,0.273109243697479
contrast,long,line,green,31,rel,adjective,distractor,29,0.121848739495798
contrast,long,line,green,31,rel,adjective,distractor.contrast,54,0.226890756302521
contrast,long,line,green,31,rel,adjective,target,90,0.378151260504202
contrast,long,line,green,31,rel,noun,competitor,55,0.284974093264249
contrast,long,line,green,31,rel,noun,distractor.contrast,25,0.129533678756477
contrast,long,line,green,31,rel,noun,target,113,0.585492227979275
contrast,long,line,green,31,rel,prior,distractor,18,0.253521126760563
contrast,long,line,green,31,rel,prior,distractor.contrast,22,0.309859154929577
contrast,long,line,green,31,rel,prior,target,31,0.436619718309859
contrast,long,line,red,21,rel,adjective,competitor,111,0.376271186440678
contrast,long,line,red,21,rel,adjective,distractor,20,0.0677966101694915
contrast,long,line,red,21,rel,adjective,distractor.contrast,50,0.169491525423729
contrast,long,line,red,21,rel,adjective,target,114,0.386440677966102
contrast,long,line,red,21,rel,noun,competitor,45,0.215311004784689
contrast,long,line,red,21,rel,noun,distractor.contrast,12,0.0574162679425837
contrast,long,line,red,21,rel,noun,target,152,0.727272727272727
