condition,target.adjective,target.noun,target.color,itemid,adjectivetype,Window,Region,totalLooks,Proportion
contrast,big,square,red,23,rel,adjective,competitor,16,0.137931034482759
contrast,big,square,red,23,rel,adjective,distractor,6,0.0517241379310345
contrast,big,square,red,23,rel,adjective,distractor.contrast,27,0.232758620689655
contrast,big,square,red,23,rel,adjective,target,67,0.577586206896552
contrast,big,square,red,23,rel,noun,competitor,6,0.122448979591837
contrast,big,square,red,23,rel,noun,distractor.contrast,15,0.306122448979592
contrast,big,square,red,23,rel,noun,target,28,0.571428571428571
contrast,big,square,red,23,rel,prior,competitor,25,0.196850393700787
contrast,big,square,red,23,rel,prior,distractor,42,0.330708661417323
contrast,big,square,red,23,rel,prior,distractor.contrast,36,0.283464566929134
contrast,big,square,red,23,rel,prior,target,24,0.188976377952756
contrast,big,triangle,yellow,33,rel,adjective,competitor,43,0.240223463687151
contrast,big,triangle,yellow,33,rel,adjective,distractor,22,0.122905027932961
contrast,big,triangle,yellow,33,rel,adjective,distractor.contrast,24,0.134078212290503
contrast,big,triangle,yellow,33,rel,adjective,target,90,0.502793296089385
contrast,big,triangle,yellow,33,rel,noun,competitor,4,0.0833333333333333
contrast,big,triangle,yellow,33,rel,noun,distractor,2,0.0416666666666667
contrast,big,triangle,yellow,33,rel,noun,distractor.contrast,24,0.5
contrast,big,triangle,yellow,33,rel,noun,target,18,0.375
contrast,big,triangle,yellow,33,rel,prior,competitor,110,0.518867924528302
contrast,big,triangle,yellow,33,rel,prior,distractor,70,0.330188679245283
contrast,big,triangle,yellow,33,rel,prior,distractor.contrast,16,0.0754716981132075
contrast,big,triangle,yellow,33,rel,prior,target,16,0.0754716981132075
contrast,closed,circle,blue,17,max,adjective,competitor,53,0.200757575757576
contrast,closed,circle,blue,17,max,adjective,distractor,16,0.0606060606060606
contrast,closed,circle,blue,17,max,adjective,distractor.contrast,67,0.253787878787879
contrast,closed,circle,blue,17,max,adjective,target,128,0.484848484848485
contrast,closed,circle,blue,17,max,prior,competitor,25,0.137362637362637
contrast,closed,circle,blue,17,max,prior,distractor,50,0.274725274725275
contrast,closed,circle,blue,17,max,prior,distractor.contrast,35,0.192307692307692
contrast,closed,circle,blue,17,max,prior,target,72,0.395604395604396
contrast,closed,circle,green,12,max,adjective,competitor,32,0.109965635738832
contrast,closed,circle,green,12,max,adjective,distractor,20,0.0687285223367698
contrast,closed,circle,green,12,max,adjective,distractor.contrast,62,0.213058419243986
contrast,closed,circle,green,12,max,adjective,target,177,0.608247422680412
contrast,closed,circle,green,12,max,prior,competitor,27,0.1
contrast,closed,circle,green,12,max,prior,distractor,74,0.274074074074074
contrast,closed,circle,green,12,max,prior,distractor.contrast,35,0.12962962962963
contrast,closed,circle,green,12,max,prior,target,134,0.496296296296296
contrast,empty,cube,transparent,15,max,adjective,competitor,64,0.33160621761658
contrast,empty,cube,transparent,15,max,adjective,distractor,9,0.0466321243523316
contrast,empty,cube,transparent,15,max,adjective,distractor.contrast,21,0.10880829015544
contrast,empty,cube,transparent,15,max,adjective,target,99,0.512953367875648
contrast,empty,cube,transparent,15,max,prior,competitor,68,0.264591439688716
contrast,empty,cube,transparent,15,max,prior,distractor,40,0.155642023346304
contrast,empty,cube,transparent,15,max,prior,distractor.contrast,25,0.0972762645914397
contrast,empty,cube,transparent,15,max,prior,target,124,0.482490272373541
contrast,empty,cylinder,transparent,20,max,adjective,competitor,56,0.243478260869565
contrast,empty,cylinder,transparent,20,max,adjective,distractor,15,0.0652173913043478
contrast,empty,cylinder,transparent,20,max,adjective,distractor.contrast,34,0.147826086956522
contrast,empty,cylinder,transparent,20,max,adjective,target,125,0.543478260869565
contrast,empty,cylinder,transparent,20,max,noun,competitor,3,0.0909090909090909
contrast,empty,cylinder,transparent,20,max,noun,distractor,3,0.0909090909090909
contrast,empty,cylinder,transparent,20,max,noun,distractor.contrast,9,0.272727272727273
contrast,empty,cylinder,transparent,20,max,noun,target,18,0.545454545454545
contrast,empty,cylinder,transparent,20,max,prior,competitor,107,0.389090909090909
contrast,empty,cylinder,transparent,20,max,prior,distractor,10,0.0363636363636364
contrast,empty,cylinder,transparent,20,max,prior,distractor.contrast,64,0.232727272727273
contrast,empty,cylinder,transparent,20,max,prior,target,94,0.341818181818182
contrast,flat,circle,green,11,max,adjective,competitor,23,0.121693121693122
contrast,flat,circle,green,11,max,adjective,distractor,25,0.132275132275132
contrast,flat,circle,green,11,max,adjective,distractor.contrast,25,0.132275132275132
contrast,flat,circle,green,11,max,adjective,target,116,0.613756613756614
contrast,flat,circle,green,11,max,noun,competitor,14,0.333333333333333
contrast,flat,circle,green,11,max,noun,distractor.contrast,9,0.214285714285714
contrast,flat,circle,green,11,max,noun,target,19,0.452380952380952
contrast,flat,circle,green,11,max,prior,competitor,24,0.131868131868132
contrast,flat,circle,green,11,max,prior,distractor,39,0.214285714285714
contrast,flat,circle,green,11,max,prior,distractor.contrast,28,0.153846153846154
contrast,flat,circle,green,11,max,prior,target,91,0.5
contrast,flat,triangle,yellow,16,max,adjective,competitor,46,0.212962962962963
contrast,flat,triangle,yellow,16,max,adjective,distractor,62,0.287037037037037
contrast,flat,triangle,yellow,16,max,adjective,distractor.contrast,45,0.208333333333333
contrast,flat,triangle,yellow,16,max,adjective,target,63,0.291666666666667
contrast,flat,triangle,yellow,16,max,noun,competitor,15,0.294117647058824
contrast,flat,triangle,yellow,16,max,noun,distractor,5,0.0980392156862745
contrast,flat,triangle,yellow,16,max,noun,distractor.contrast,21,0.411764705882353
contrast,flat,triangle,yellow,16,max,noun,target,10,0.196078431372549
contrast,flat,triangle,yellow,16,max,prior,competitor,58,0.2265625
contrast,flat,triangle,yellow,16,max,prior,distractor,80,0.3125
contrast,flat,triangle,yellow,16,max,prior,distractor.contrast,73,0.28515625
contrast,flat,triangle,yellow,16,max,prior,target,45,0.17578125
contrast,full,cube,yellow,14,max,adjective,competitor,37,0.165178571428571
contrast,full,cube,yellow,14,max,adjective,distractor,11,0.0491071428571429
contrast,full,cube,yellow,14,max,adjective,distractor.contrast,46,0.205357142857143
contrast,full,cube,yellow,14,max,adjective,target,130,0.580357142857143
contrast,full,cube,yellow,14,max,noun,competitor,4,0.0975609756097561
contrast,full,cube,yellow,14,max,noun,distractor,1,0.024390243902439
contrast,full,cube,yellow,14,max,noun,distractor.contrast,20,0.48780487804878
contrast,full,cube,yellow,14,max,noun,target,16,0.390243902439024
contrast,full,cube,yellow,14,max,prior,competitor,58,0.232
contrast,full,cube,yellow,14,max,prior,distractor.contrast,90,0.36
contrast,full,cube,yellow,14,max,prior,target,102,0.408
contrast,full,cylinder,blue,19,max,adjective,competitor,52,0.210526315789474
contrast,full,cylinder,blue,19,max,adjective,distractor,23,0.0931174089068826
contrast,full,cylinder,blue,19,max,adjective,distractor.contrast,46,0.186234817813765
contrast,full,cylinder,blue,19,max,adjective,target,126,0.510121457489879
contrast,full,cylinder,blue,19,max,noun,competitor,4,0.142857142857143
contrast,full,cylinder,blue,19,max,noun,distractor.contrast,6,0.214285714285714
contrast,full,cylinder,blue,19,max,noun,target,18,0.642857142857143
contrast,full,cylinder,blue,19,max,prior,competitor,38,0.153225806451613
contrast,full,cylinder,blue,19,max,prior,distractor,65,0.262096774193548
contrast,full,cylinder,blue,19,max,prior,distractor.contrast,74,0.298387096774194
contrast,full,cylinder,blue,19,max,prior,target,71,0.286290322580645
contrast,long,line,green,31,rel,adjective,competitor,70,0.311111111111111
contrast,long,line,green,31,rel,adjective,distractor,5,0.0222222222222222
contrast,long,line,green,31,rel,adjective,distractor.contrast,23,0.102222222222222
contrast,long,line,green,31,rel,adjective,target,127,0.564444444444444
contrast,long,line,green,31,rel,noun,competitor,8,0.235294117647059
contrast,long,line,green,31,rel,noun,distractor.contrast,3,0.0882352941176471
contrast,long,line,green,31,rel,noun,target,23,0.676470588235294
contrast,long,line,green,31,rel,prior,competitor,42,0.244186046511628
contrast,long,line,green,31,rel,prior,distractor,24,0.13953488372093
contrast,long,line,green,31,rel,prior,distractor.contrast,53,0.308139534883721
contrast,long,line,green,31,rel,prior,target,53,0.308139534883721
contrast,long,line,red,21,rel,adjective,competitor,74,0.312236286919831
