HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.experimentName,Input.List,Answer.comment,Answer.freeGenCrit,Answer.freeGenCrit1,Answer.freeGenCrit10,Answer.freeGenCrit11,Answer.freeGenCrit12,Answer.freeGenCrit13,Answer.freeGenCrit14,Answer.freeGenCrit15,Answer.freeGenCrit16,Answer.freeGenCrit17,Answer.freeGenCrit18,Answer.freeGenCrit19,Answer.freeGenCrit2,Answer.freeGenCrit20,Answer.freeGenCrit21,Answer.freeGenCrit22,Answer.freeGenCrit23,Answer.freeGenCrit24,Answer.freeGenCrit25,Answer.freeGenCrit26,Answer.freeGenCrit27,Answer.freeGenCrit28,Answer.freeGenCrit29,Answer.freeGenCrit3,Answer.freeGenCrit30,Answer.freeGenCrit31,Answer.freeGenCrit32,Answer.freeGenCrit33,Answer.freeGenCrit34,Answer.freeGenCrit35,Answer.freeGenCrit36,Answer.freeGenCrit37,Answer.freeGenCrit38,Answer.freeGenCrit39,Answer.freeGenCrit4,Answer.freeGenCrit40,Answer.freeGenCrit5,Answer.freeGenCrit6,Answer.freeGenCrit7,Answer.freeGenCrit8,Answer.freeGenCrit9,Answer.freeWordCheck,Answer.refTypes,Answer.sceneConfigs,Answer.sceneTime,Answer.shapeCheck,Answer.turnOrder,Answer.wrongShape,Approve,Reject
3MD8CKRQZZ0TNWU5A7KWA4L8LMVJRQ,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:53 PST 2017,,,30MVJZJNHNQQ6GWC6SPC83HYRUPJ9E,mpn1q3ix8v,Approved,Fri Feb 10 07:47:35 PST 2017,Fri Feb 10 07:57:24 PST 2017,Fri Feb 10 10:57:24 PST 2017,Fri Feb 10 08:04:56 PST 2017,,,589,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,{},{},cylinder,square with lots of lines,triangle,box,arch line,ribbon,mostly full box,large cyclone,half circle,bent line,ribbon cyclone,wavey line,cylinder,large line,arrow,triangle,ribbon on side,broken quare,tall retangle,large cyclon,cylinder,thick line,line,line,longer line,circle with dots,line,square,partial triangle,tall retangle,small cylinder,cloud,star,arched arrow,square with dots,square with dots,square with lines,square,arched arrow,trinagle,sun,3;4;4;2;2;1;2;2;2;2;2;2;4;4;4;4;4;1;3;1;1;2;2;3;3;1;1;2;1;1;1;4;3;1;3;2;4;3;3;4,CADB;DABC;CADB;ADBC;BCDA;ADBC;BACD;ADBC;ADBC;ABCD;DBCA;CABD;BDCA;ACDB;CDBA;BACD;BACD;DCBA;DCBA;ABDC;BCDA;ADBC;DABC;CBDA;ADBC;DCBA;ABCD;CBDA;CABD;CBDA;CABD;DCAB;DCBA;CBDA;ACBD;DBAC;BACD;ABDC;BDAC;ABCD,55906;9253;13199;8711;7213;16021;10727;7335;11733;10871;13199;7662;42940;7947;5647;8326;10520;8302;8167;6367;38762;3215;6840;3806;4232;3375;3839;8545;6643;8754;3509;3000;3704;2454;5647;6750;5608;23724;26356;3246,sun,21;32;40;31;20;22;1;17;14;15;27;16;35;12;8;6;10;23;26;5;29;30;19;13;7;34;39;28;2;24;11;3;9;33;18;36;25;37;4;38,0,,
3MD8CKRQZZ0TNWU5A7KWA4L8LMVJRQ,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:53 PST 2017,,,33F859I567QD33GJGC0NNWW922OHBH,ryq99q7fry,Approved,Fri Feb 10 07:47:38 PST 2017,Fri Feb 10 07:55:29 PST 2017,Fri Feb 10 10:55:29 PST 2017,Fri Feb 10 08:04:56 PST 2017,,,471,100% (4/4),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,{},{},6 circle,cookie,triangle,square,arc,diagonal,arc,sphere,horseshoe,right arrow,half full,wave,segment,sun,right arrow,small square,square,rectangle,oval,small ribbon,square,thin line,segment,dotted circle,short segment,cookie,segment,triangle,oval,oval,wide cylinder,cloud,thin segment,star,segment,dotted circle,square,6,arc,dotted square,sun,2;4;4;3;1;1;2;1;1;3;2;2;4;3;3;3;4;2;4;4;3;2;4;2;2;2;4;4;4;3;4;4;3;2;2;1;4;3;4;1,BCAD;CBDA;DBAC;CBAD;ACBD;DBCA;ABDC;BCDA;ADBC;DCAB;ABCD;BDCA;BADC;DACB;DABC;BACD;CBDA;CABD;DACB;BACD;BADC;DCAB;CDBA;BADC;BDAC;CBAD;CBAD;ADBC;CADB;ABCD;DBAC;CBAD;ABDC;BACD;CDAB;DCAB;BDAC;CDAB;DCAB;BCAD,22499;6140;7385;12838;5743;2710;4499;3645;3867;3378;4407;8437;6975;6763;4077;4654;8465;11783;11409;11080;4466;2038;8940;4696;9413;4495;3524;3606;10090;2490;2238;6163;3707;3349;8105;9849;2866;2304;2799;5510,sun,27;22;16;37;8;4;29;24;35;13;18;31;10;33;34;12;23;5;30;17;32;21;2;9;7;6;28;11;19;26;15;1;20;25;14;36;3;38;40;39,0,,
3MD8CKRQZZ0TNWU5A7KWA4L8LMVJRQ,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:53 PST 2017,,,37M28K1J0RQ4BZ6HYY3C4YSIXC7JAT,moyxgjnhp5,Approved,Fri Feb 10 07:53:04 PST 2017,Fri Feb 10 08:49:35 PST 2017,Fri Feb 10 11:49:35 PST 2017,Fri Feb 10 09:51:24 PST 2017,,,3391,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,"A couple of times after hitting 'ENTER,' the dotted line box would move as it should, but the images would not refresh quickly, and I would begin typing and/or hit enter having described the wrong object, as the object image would change just as I was hitting enter.",{},star,square,circle with four dots on it,square,arrow,arrows,box with less water in it,circle,semi circle with the larger gap,cylinder,spiral,semi-circle,line,sun,arrow,triangle,arrows,larger oval,rectangle,larger spiral,short wide cylinder,arrow,cloud,arrow,long line without an arrow head,line without an arrow head,square,triangle,wide rectangle,rectangle,line,cylindrical object,thick line without an arrow head,arrow,line without an arrow head,triangle,triangle,circle,lightening bolt,triangle,circle,4;1;3;2;3;2;3;4;2;2;4;2;2;3;1;3;4;4;3;4;3;2;2;4;1;1;1;2;2;2;1;1;2;2;1;2;3;1;1;1,CDAB;ADCB;CBAD;DBCA;DABC;DCBA;BDAC;CADB;DBCA;CADB;BACD;BDAC;ACBD;DBAC;ADBC;ADBC;DABC;ACDB;ADCB;BDAC;BDCA;DCAB;DABC;CBDA;BDAC;DABC;DCBA;DACB;BDAC;DACB;DACB;CDBA;BACD;BACD;BACD;DBAC;BDAC;BDCA;BDCA;DABC,14139;9145;6672;3262;13297;8910;2790;2149;6491;5322;11104;6288;3588;2936;3296;2948;6966;2900;4095;3442;3274;3341;3004;2284;1946;5074;13658;4443;2486;5569;2857;4647;15131;10778;7425;3409;3341;3780;2520;6278,sun,29;14;35;13;31;10;7;21;5;16;38;32;26;24;22;18;36;33;34;6;1;30;3;20;37;40;17;27;12;15;4;25;2;39;11;23;9;8;19;28,0,,
3MD8CKRQZZ0TNWU5A7KWA4L8LMVJRQ,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:53 PST 2017,,,3A9AA95ATXZ3R4XYYFHFTJY8EXCP5T,6x81pdsevc,Approved,Fri Feb 10 07:47:33 PST 2017,Fri Feb 10 07:58:58 PST 2017,Fri Feb 10 10:58:58 PST 2017,Fri Feb 10 08:04:56 PST 2017,,,685,100% (2/2),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,{},Target square.,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},Target sun.,4;4;3;4;1;4;2;1;2;2;1;4;3;3;3;2;4;2;2;2;2;3;2;3;3;4;4;4;4;2;4;4;2;2;1;1;3;1;2;2,ADBC;,{},sun,10;3;22;17;19;7;28;40;25;32;34;33;15;5;30;12;11;27;14;13;8;31;18;38;20;37;6;36;29;16;2;24;1;35;23;39;26;4;21;9,0,,
3MD8CKRQZZ0TNWU5A7KWA4L8LMVJRQ,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:53 PST 2017,,,3NXNZ5RS1BAXMLVA5J0F5DCP0ZP97X,jf0xkmpnlh,Approved,Fri Feb 10 07:47:59 PST 2017,Fri Feb 10 08:02:24 PST 2017,Fri Feb 10 11:02:24 PST 2017,Fri Feb 10 08:04:56 PST 2017,,,865,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,{},{},Square with raised circles,Trapezoid with raised circles,Empty 3D square,Thick swish,Slightly curved line,Line with two arrows,Filled square,Swirled confetti,Hollow triangle,Straight line with arrow,Square,Swished line,Empty 3D square,Straight line with arrow,Heart,Thick swish,Line with arrows,Long rectangle,Long Oval,Medium swirly,Sun,"straight, thin line",Horizontal line,Star,Short horizontal line,Circle withd ots,Square,Swished line,Thin rectangle,Square with little fill,Tall cylinder,Cylinder,Thick line with arrow,arched curve with arrow,Straight line with arrow,Triangle with stripes,circle with raised dots,Triangle with no raised circles,Triangle,Line with arrows,Sun,1;4;4;2;3;4;4;3;3;4;3;4;1;3;4;4;2;2;2;2;2;4;3;4;2;2;1;3;4;4;4;4;2;3;4;3;1;1;2;2,DCAB;DCAB;ABCD;BACD;CDAB;CABD;BACD;CBDA;ACDB;CBDA;BACD;DABC;CDAB;BADC;DACB;CDBA;DCAB;CBAD;BDCA;CADB;CABD;BACD;ADCB;DABC;ADCB;ABCD;DABC;BACD;ACBD;BDAC;BDAC;DCBA;ACBD;BCDA;ADBC;CDAB;BCAD;CABD;CDAB;BDCA,54336;8688;6015;4493;5583;4419;5125;6711;3471;6970;12931;9669;34083;3167;3379;8459;8628;6435;7540;7584;8155;8390;7659;9141;6533;4742;9740;4690;4388;9536;11871;12825;3935;2610;4628;7842;2701;5819;3722;34370,sun,38;13;2;26;5;34;24;3;9;17;16;35;22;30;32;12;15;27;31;4;6;29;18;7;40;21;1;39;23;14;20;37;33;28;19;36;8;11;25;10,0,,
38XPGNCKHTDVDLS1GK225ZLSOVI4VD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:54 PST 2017,,,3A1COHJ8NK8U15ICD0GDWU68UW3H8I,pxek2d2btx,Approved,Fri Feb 10 07:47:42 PST 2017,Fri Feb 10 08:39:04 PST 2017,Fri Feb 10 11:39:04 PST 2017,Fri Feb 10 09:51:21 PST 2017,,,3082,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,{},{},6 clear dot circle,circles in oval,4 clear dot circle,square outline,slightly curved line,solid cylinder,cube almost solid,large swirl,more partial circle,circles in oval,almost solid cylinder,solid cloud,empty cube,sun,solid star,solid triangle,thin continuing line,solid wide oval,dotted pentagon,big solid cylinder,small swirl,solid sun,solid cloud,thin arrow,big arrow,dash,short solid triangle,sharp curved line,thin vertical rectangle,square outline partial solid,short solid cylinder,short solid cylinder,thick arrow,curved line,3 clear dot square,dotted circle,lined triangle,6 clear dot square,curved line,dotted triangle,sun,2;3;3;1;1;2;2;1;2;3;4;2;1;2;4;4;4;3;1;2;3;3;2;4;1;4;2;1;3;2;2;1;4;3;4;3;4;1;2;4,BACD;DACB;CDBA;CDAB;ADBC;ADBC;DABC;CBAD;CDAB;ACBD;ACBD;ABCD;DCAB;DBCA;CBAD;BDCA;BDAC;BCAD;ACDB;ADCB;DABC;CDAB;DBCA;DACB;DBCA;BADC;BCAD;BADC;DACB;ACDB;BDCA;DBAC;DCAB;ADBC;ADBC;BACD;ADCB;DBCA;ABCD;DBCA,19614;6071;10869;18625;22003;9798;6130;9669;7275;9266;8103;9650;5973;9761;8476;8222;10739;22574;10817;10052;6781;13945;17034;6391;9778;9670;7174;3931;12732;7724;5976;4877;10280;8860;7651;5372;8995;7873;8106;6076,sun,36;16;15;9;34;11;6;13;20;14;28;12;21;35;27;26;25;18;1;8;3;17;10;29;31;39;32;2;7;40;30;23;4;24;5;22;19;38;33;37,0,,
38XPGNCKHTDVDLS1GK225ZLSOVI4VD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:54 PST 2017,,,3CCZ6YKWR8WIZHHRHQLI7TYT9TU95I,g48iph3ihz,Approved,Fri Feb 10 07:47:50 PST 2017,Fri Feb 10 07:51:59 PST 2017,Fri Feb 10 10:51:59 PST 2017,Fri Feb 10 08:04:52 PST 2017,,,249,100% (3/3),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,thanks! neat hit,{},circle,triangel,cube,wispy swirly thing,arrow,cube,cylinder,circle,more unfinished circle,arrow,cube,squiggle,cloud,longer line,star,smaller square,swish,bigger oval,rectangle,cylinder,line with arrows,sun,straight line,arrow,longer plain line,arrow,bigger triangle,thinner swirl,thicker rectangle,square,shorter cylinder,cylinder,thicker line,arrow,arrow,circle without dots,square,square,lightning bolt,square with dots,sun,2;4;4;2;4;1;2;4;1;1;3;4;2;1;2;3;4;2;2;3;1;3;4;3;1;1;2;4;3;2;1;2;1;4;1;3;4;1;1;2,DCBA;DCBA;ABDC;CDAB;BCDA;BDCA;BDAC;DCAB;CADB;CDAB;DACB;ADBC;CABD;DCBA;DACB;CBDA;BCAD;CBDA;BACD;DBCA;DABC;ADBC;DBCA;DBCA;CDAB;ACBD;DABC;ACBD;CDAB;ABCD;BCDA;ACBD;ADBC;BACD;BDAC;ABCD;ABCD;DABC;BACD;BDAC,8967;2559;3101;13088;13503;4034;8269;4385;3263;3712;4479;4269;3123;16626;3310;2935;3593;2006;2302;3116;2821;3915;5361;9919;4848;4104;2951;1952;3761;4867;5213;5374;1824;2291;3070;6799;3935;3954;2176;7488,sun,35;29;16;33;34;30;12;21;27;4;23;15;1;7;38;40;8;18;22;2;24;28;3;17;14;37;20;32;26;39;25;31;11;13;19;9;10;36;6;5,0,,
38XPGNCKHTDVDLS1GK225ZLSOVI4VD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:54 PST 2017,,,3G5F9DBFOQASCHEPLTRNO8QG5U4VH1,rjjnw3v5od,Approved,Fri Feb 10 07:47:46 PST 2017,Fri Feb 10 08:26:57 PST 2017,Fri Feb 10 11:26:57 PST 2017,Fri Feb 10 09:51:21 PST 2017,,,2351,100% (2/2),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,{},{},circle,triangle,circle with one dot,square,arrow,arrows,arch,triangle,u line,cylinder,square,cloud,cylinder,short line,heart,smallest square,triangle,thin circle,rectangle,circle,tornado,longest line,cloud,line,arrow,circle,line,square,circle,oval,cylinder full,star,thick line,arch,circle,solid circle,striped square,circle,arch,arrows,sun,2;3;3;1;4;1;3;1;3;1;1;2;2;3;3;1;4;4;2;1;4;4;4;1;4;1;3;1;4;1;2;4;3;1;2;1;1;4;1;3,ACBD;BCAD;ACDB;DCAB;ABDC;CDBA;DABC;CABD;ABDC;ACBD;ADBC;DBAC;CBDA;BDAC;DACB;CADB;ADBC;ACBD;DCAB;CDAB;ADCB;ABCD;BDAC;CABD;ACBD;CABD;CABD;CADB;BDAC;ACBD;ABDC;BDCA;BCDA;CADB;ABCD;BDAC;BCDA;BACD;DCBA;BADC,10426;11099;2623;3294;2105;1483;5878;6408;8417;2739;1640;6120;2669;3024;1863;4415;5150;2023;1721;2441;2010;3525;2768;2047;5020;2348;2383;3255;2495;3143;3248;7447;1991;2375;2119;2769;3191;2255;23321;4422,sun,13;25;21;26;36;38;17;5;29;12;33;23;35;18;3;37;6;30;22;16;31;2;14;7;24;9;32;28;10;4;39;11;34;8;1;19;27;15;40;20,0,,
38XPGNCKHTDVDLS1GK225ZLSOVI4VD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:54 PST 2017,,,3TESA3PJ32NVE8LRYY69THFZVNRMMK,f2uw8j0knq,Approved,Fri Feb 10 07:47:44 PST 2017,Fri Feb 10 08:50:42 PST 2017,Fri Feb 10 11:50:42 PST 2017,Fri Feb 10 09:51:22 PST 2017,,,3778,100% (2/2),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,{},{},not flat,triangle,circle w/ 4 dots,sqaure,curved,line,nearly empty cube,ball,half circle,tube,squigle,cloud,line,line,line,wispy,square,half square,circle,little squigle,sun,thick line,chair,line,short line,block,line,triangle,thin rectangle,line,short tube,star,arrow,star,circle,cloud,circle,block with six dots,lightning,line,sun,3;3;1;3;2;4;2;4;3;1;4;2;4;3;1;3;4;4;3;4;4;1;3;2;3;2;4;3;1;1;4;3;3;2;4;3;4;4;2;3,ACBD;CADB;BDAC;BDCA;CDAB;ABDC;CADB;CBAD;DACB;ACDB;DCAB;ADBC;BCDA;CADB;DCBA;DCAB;DACB;CDAB;CBDA;BACD;ABDC;DBCA;CADB;DBCA;DCAB;DBAC;ABCD;DBCA;BCDA;DABC;ADBC;CABD;ADBC;BCDA;BCDA;ACBD;ADCB;CABD;DCAB;BADC,19923;7577;4907;3390;3963;4389;12098;12484;2402;1826;4962;3406;5518;4478;5168;3488;4961;5359;3002;3486;16241;3901;3326;11316;3266;4112;10945;10675;3354;1977;9061;3249;2792;6318;2760;6119;2490;3723;1799;2080,sun,13;25;23;33;21;40;1;3;5;36;26;38;29;31;10;9;17;32;14;16;15;22;12;27;39;8;11;35;24;4;7;2;6;18;34;37;28;19;30;20,0,,
38XPGNCKHTDVDLS1GK225ZLSOVI4VD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:54 PST 2017,,,3W2LOLRXLCSRL0YGIUPA03H5C5VRK8,llm51n92pu,Approved,Fri Feb 10 07:51:07 PST 2017,Fri Feb 10 08:03:07 PST 2017,Fri Feb 10 11:03:07 PST 2017,Fri Feb 10 08:04:53 PST 2017,,,720,100% (2/2),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC1,{},{},square without dots,cup,circle with one circle inside,circle,straight line without the arrow,box,cube with less water,dna helix,circle with the smaller break,line with arrow,cube,partial triangle,line,shorter line,arrow,smaller square,square,sun,rectangle,cylinder,disc,line with the arrow,bent line without the arrow,star,line with the arrow,box,small triangle,triangle,oval,oval,puck,star,arrow,line with no arrow,arrow,square,square,triangle with circles inside,line with the arrow,square with dots,click the sun,4;2;1;1;2;1;1;2;1;4;1;1;1;1;1;4;1;2;2;4;4;2;4;2;4;1;2;2;2;4;2;3;4;2;2;1;4;4;2;2,BCDA;BDAC;ACBD;ABCD;CABD;ACDB;BDCA;CDBA;DCBA;ACDB;ACDB;CDBA;DCAB;ABCD;DABC;ACDB;DCAB;DCAB;BACD;DACB;ABDC;ACDB;DCBA;ABDC;ADBC;DCAB;ABCD;BCDA;DBCA;DCAB;BDAC;DCBA;CBDA;BACD;BDCA;CBDA;BDAC;CBAD;CBAD;CABD,14294;13962;3521;7489;9215;12448;11144;8916;7348;5347;14793;5772;2184;16639;9877;6043;13249;2950;7076;8909;13887;8836;5571;3853;4853;3695;4517;6605;2071;11496;5486;4798;8382;5168;3020;13300;3057;2613;8821;3444,sun,36;11;32;2;26;15;4;31;8;14;13;29;25;7;3;28;16;35;6;33;17;5;21;12;18;37;27;23;30;40;34;19;9;24;22;1;39;20;10;38,0,,
