,,WorkerId,Answer.wrongShape,Input.List,SceneID,Answer.freeGenCrit,turnOrder,sceneConfigs,RT,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType,refType
1,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,1,cylinder,21,BCDA,38762,Contrast,square,bumpy,blue,Min,3
2,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,2,wavey line,32,DCAB,3000,NoContrast,circle,open,blue,Min,4
3,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,3,line,40,ABCD,3246,Contrast,line,bent,green,Min,4
4,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,4,arched arrow,31,CABD,3509,NoContrast,line,curved,red,Min,2
5,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,5,square with dots,20,ABDC,6367,Contrast,circle,spotted,yellow,Min,2
6,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,6,square with lines,22,ADBC,3215,NoContrast,square,striped,yellow,Min,1
7,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,7,square,1,CADB,55906,Contrast,triangle,bumpy,red,Min,2
8,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,8,arched arrow,17,BACD,10520,NoContrast,line,curved,blue,Min,2
9,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,9,trinagle,14,ACDB,7947,Contrast,square,spotted,yellow,Min,2
10,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,10,square with lots of lines,15,CDBA,5647,NoContrast,triangle,striped,red,Min,2
11,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,11,triangle,27,ABCD,3839,Contrast,cirlce,flat,green,Max,2
12,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,12,box,16,BACD,8326,NoContrast,cirlce,closed,green,Max,2
13,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,13,arch line,35,ACBD,5647,Contrast,line,straight,blue,Max,4
14,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,14,ribbon,12,CABD,7662,NoContrast,cube,full,yellow,Max,4
15,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,15,mostly full box,8,ADBC,7335,Contrast,cube,empty ,transparent,Max,4
16,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,16,large cyclone,6,ADBC,16021,NoContrast,triangle,flat,yellow,Max,4
17,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,17,half circle,10,ABCD,10871,Contrast,circle,closed,blue,Max,4
18,mpn1q3ix8v,A3C0LPVN749UF3,0,TlessC1,18,bent line,23,DABC,6840,NoContrast,line,straight,red,Max,1
