,WorkerId,Input.List,SceneID,Description,RefType
1,46f7kxujtr,TlessC1,1,dotted square,1
2,js7qgaptak,TlessC1,1,square with dots,1
3,44s79gig2j,TlessC1,1,square circles,1
4,1zfh15ephg,TlessC1,1,dotted square,1
5,tgrx7cff1v,TlessC1,1,square with bumps,1
6,6xxpzwzple,TlessC1,1,square with dots,1
7,k3btsw99p8,TlessC1,1,circle,2
8,07arv648s8,TlessC1,1,square,2
9,7m2t6oo0lp,TlessC1,1,circle,2
10,q5h8kuy9j1,TlessC1,1,circle,2
11,zoixf8k59p,TlessC1,1,corcle,2
12,zelsvrkkw8,TlessC1,1,circle,2
13,46f7kxujtr,TlessC1,2,bowl,1
14,js7qgaptak,TlessC1,2,half circle,1
15,07arv648s8,TlessC1,2,cloud,1
16,44s79gig2j,TlessC1,2,half circle,1
17,1zfh15ephg,TlessC1,2,circle,1
18,7m2t6oo0lp,TlessC1,2,horseshow shaped line,1
19,q5h8kuy9j1,TlessC1,2,circular shape,1
20,zoixf8k59p,TlessC1,2,half circle,1
21,tgrx7cff1v,TlessC1,2,semi-circle,1
22,k3btsw99p8,TlessC1,2,partial triangle,2
23,zelsvrkkw8,TlessC1,2,half triangle,2
24,6xxpzwzple,TlessC1,2,unfinished triangle,2
25,k3btsw99p8,TlessC1,3,bent line with no arrow,1
26,44s79gig2j,TlessC1,3,2 lines NO arrow,1
27,1zfh15ephg,TlessC1,3,chair,1
28,7m2t6oo0lp,TlessC1,3,bent line with no arrow,1
29,tgrx7cff1v,TlessC1,3,curved line,1
30,46f7kxujtr,TlessC1,3,arrow,2
31,js7qgaptak,TlessC1,3,bent arrow,2
32,07arv648s8,TlessC1,3,line,2
33,q5h8kuy9j1,TlessC1,3,arrow,2
34,zoixf8k59p,TlessC1,3,arrow,2
35,zelsvrkkw8,TlessC1,3,arrow,2
36,6xxpzwzple,TlessC1,3,arrow,2
37,k3btsw99p8,TlessC1,4,bent line with no arrow,1
38,js7qgaptak,TlessC1,4,curved line,1
39,1zfh15ephg,TlessC1,4,curve,1
40,7m2t6oo0lp,TlessC1,4,curved line with no pointer,1
41,q5h8kuy9j1,TlessC1,4,line,1
42,zelsvrkkw8,TlessC1,4,arrowless arch,1
43,tgrx7cff1v,TlessC1,4,curvy line,1
44,6xxpzwzple,TlessC1,4,"curved line, no arrow",1
45,46f7kxujtr,TlessC1,4,arrow,2
46,07arv648s8,TlessC1,4,star,2
47,44s79gig2j,TlessC1,4,arrow,2
48,zoixf8k59p,TlessC1,4,curved arrow,2
49,k3btsw99p8,TlessC1,5,circle with dots,1
50,07arv648s8,TlessC1,5,triangle,1
51,44s79gig2j,TlessC1,5,circle dots,1
52,7m2t6oo0lp,TlessC1,5,circle with dots,1
53,q5h8kuy9j1,TlessC1,5,circle,1
54,zoixf8k59p,TlessC1,5,circle dots,1
55,zelsvrkkw8,TlessC1,5,dotted circle,1
56,tgrx7cff1v,TlessC1,5,circle with dots,1
57,46f7kxujtr,TlessC1,5,square,2
58,js7qgaptak,TlessC1,5,square,2
59,1zfh15ephg,TlessC1,5,square,2
60,6xxpzwzple,TlessC1,5,square,2
61,46f7kxujtr,TlessC1,6,square,1
62,zoixf8k59p,TlessC1,6,bsquare lines,1
63,6xxpzwzple,TlessC1,6,square,1
64,k3btsw99p8,TlessC1,6,triangle,2
65,js7qgaptak,TlessC1,6,triangle,2
66,07arv648s8,TlessC1,6,star,2
67,44s79gig2j,TlessC1,6,triangle,2
68,1zfh15ephg,TlessC1,6,triangle,2
69,7m2t6oo0lp,TlessC1,6,triangle,2
70,q5h8kuy9j1,TlessC1,6,triangle,2
71,zelsvrkkw8,TlessC1,6,triangle,2
