HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.experimentName,Input.List,Answer.age,Answer.assess,Answer.comments,Answer.education,Answer.enjoyment,Answer.fairprice,Answer.freeGenCrit,Answer.freeGenCrit1,Answer.freeGenCrit10,Answer.freeGenCrit11,Answer.freeGenCrit12,Answer.freeGenCrit13,Answer.freeGenCrit14,Answer.freeGenCrit15,Answer.freeGenCrit16,Answer.freeGenCrit17,Answer.freeGenCrit18,Answer.freeGenCrit19,Answer.freeGenCrit2,Answer.freeGenCrit20,Answer.freeGenCrit21,Answer.freeGenCrit22,Answer.freeGenCrit23,Answer.freeGenCrit24,Answer.freeGenCrit25,Answer.freeGenCrit26,Answer.freeGenCrit27,Answer.freeGenCrit28,Answer.freeGenCrit29,Answer.freeGenCrit3,Answer.freeGenCrit30,Answer.freeGenCrit31,Answer.freeGenCrit32,Answer.freeGenCrit33,Answer.freeGenCrit34,Answer.freeGenCrit35,Answer.freeGenCrit36,Answer.freeGenCrit37,Answer.freeGenCrit38,Answer.freeGenCrit39,Answer.freeGenCrit4,Answer.freeGenCrit40,Answer.freeGenCrit5,Answer.freeGenCrit6,Answer.freeGenCrit7,Answer.freeGenCrit8,Answer.freeGenCrit9,Answer.freeWordCheck,Answer.gender,Answer.listenerChoice,Answer.listenerSceneConfigs,Answer.listenerTurnOrder,Answer.litChoice1,Answer.litChoice2,Answer.litChoice3,Answer.litChoice4,Answer.litChoice5,Answer.litChoice6,Answer.litChoice7,Answer.litChoice8,Answer.nativeEnglish,Answer.othernativelanguage,Answer.problems,Answer.refTypes,Answer.sceneConfigs,Answer.sceneTime,Answer.shapeCheck,Answer.turnOrder,Answer.wrongShape,Approve,Reject
3BC9H1KCYUPOQH6QV1V57Q8DVZFYWR,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:55 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:55 PDT 2017,,,32SVAV9L3GMTQL4SVDBPORBTNFX3AZ,6y1l9wre8j,Approved,Wed Oct 25 08:09:22 PDT 2017,Wed Oct 25 08:23:48 PDT 2017,Wed Oct 25 09:23:48 PDT 2017,2017-10-25 16:24:28 UTC,,,866,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,45,Yes,{},3,1,Yes,{},square with bubbles,pyramid with lines,pyramid shape,broken circle,line with very slight curve and no arrow,cylinder,empty cylinder,square,partial circle,line with arrow,cylinder most filled,partial circle,cylinder with some liquid in it,line with arrow,line without arrow,pyramid,square,widest oval,oval,cylinder shape,cylinder,line with arrow,bent line without arrow,line with arrow,longest line without arrow,short line without arrow,square,pyramid shape,thicker long square,thick line,taller cylinder,spiral,thicker line,line with arrow,line without arrow,circle with dots,pyramid with lines,triangle with bubbles,line with arrow,square with dots,sun,Female,,BADC;BADC;DACB;CDBA;ACDB;BDAC;CABD;CABD,2;5;3;8;7;6;4;1,1,1,1,1,1,1,1,1,yes,{},No,1;1;1;2;1;2;1;2;1;1;2;1;1;2;2;2;1;2;1;1;2;1;2;2;1;2;2;2;2;2;1;1;2;2;1;2;1;2;1;1,ADCB;DBAC;BCAD;BCDA;BACD;CBDA;BCAD;BCAD;CBAD;BACD;DBAC;DACB;ACBD;ABDC;BDAC;ACDB;DACB;ABCD;DCBA;DBCA;ABDC;CDAB;CADB;DACB;ABDC;DBAC;BDCA;ABDC;DACB;ACBD;CBDA;ADCB;ADBC;DABC;ADCB;ACBD;BACD;BDCA;CDBA;CDAB,16508;17760;14641;33714;9004;9447;18468;8728;19566;5651;5528;4937;6902;5993;5455;8814;7202;12161;11414;7297;3598;5115;7902;7775;5346;5395;5990;17582;7221;8522;6858;6181;6640;5693;8513;5893;5081;9163;5552;6809,sun,24;35;7;33;39;9;34;3;20;36;11;16;12;5;30;27;4;2;32;14;26;25;37;31;8;18;21;13;40;10;28;38;1;6;15;23;17;19;29;22,0,,
3BC9H1KCYUPOQH6QV1V57Q8DVZFYWR,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:55 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:55 PDT 2017,,,3L6L49WXW1AH2BBF0VPRQLND91R45E,wk9op58cbz,Approved,Wed Oct 25 08:01:00 PDT 2017,Wed Oct 25 08:15:10 PDT 2017,Wed Oct 25 09:15:10 PDT 2017,2017-10-25 16:15:28 UTC,,,850,100% (2/2),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,{},,{},-1,99,{},{},spotted square,square,triangle,ring,slight curve,cylinder,cylinder,square,triangle,boomerang,cuboid,curve,cylinder,long line,arrow,square,square,rectangle,ovoid,cylinder,cylinder,arrow,boomerang,arrow,line,line,traingle,triangle,rectangle,rectangle,cylinder,spiral,thick line,arrow,arrow,spotted circle,square,spotted triangle,arrow,spotted square,sun,{},,DACB;CDBA;ABCD;CDBA;BACD;BDAC;CABD;BDAC,3;1;2;6;7;4;5;8,1,1,1,1,1,1,1,1,yes,{},{},1;1;1;2;1;1;1;2;1;2;2;1;1;2;2;2;2;1;2;1;1;2;1;2;2;2;2;2;2;2;1;1;1;2;1;2;1;2;1;2,ABCD;BDAC;CBDA;ABDC;DCBA;CADB;DABC;BDCA;DBAC;DABC;DCBA;CADB;CDAB;BADC;BDCA;ACDB;CDBA;DABC;DABC;ADCB;CBDA;CDAB;BCDA;CADB;ACDB;CDBA;CADB;CDAB;CDBA;DABC;CBAD;DCAB;CBAD;ADCB;ACBD;DBCA;ABCD;ADCB;CBAD;ACDB,37288;11854;75840;7019;9907;2714;3234;4938;2364;2787;5292;9133;8542;11714;13646;2574;3766;6173;5740;2593;3650;7885;3066;4031;4042;5843;8002;2033;3838;4386;6018;5743;1960;8040;9096;3781;6712;4544;3971;5652,sun,25;11;6;35;14;30;33;20;40;23;8;9;1;12;16;4;24;2;3;22;32;5;27;38;37;19;17;31;10;18;26;39;29;7;13;34;28;15;36;21,0,,
3BC9H1KCYUPOQH6QV1V57Q8DVZFYWR,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:55 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:55 PDT 2017,,,3M0NZ3JDP2BX58Z4LOFHKH0MAWU5ZR,g9t4v5zjps,Approved,Wed Oct 25 08:05:22 PDT 2017,Wed Oct 25 08:16:17 PDT 2017,Wed Oct 25 09:16:17 PDT 2017,2017-10-25 16:16:28 UTC,,,655,100% (2/2),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,68,Yes,thanks!,2,1,yes,{},circle,triangle,triangle,broken circle,arrow,cube,cube with the least liquid,triangle,circle with smallest break,arrow,fullest cylinder,cut triangle,cube,longest line,arrow,triangle,square,rectangle,rectangle,long spiral,flat cylinder,arrow,angle,line,longest plain line,arrow,big triangle,square,big rectangle,oval,spiral,spiral,arrow,arc,arrow,circle with dots,square,square,plain arc,triangle,sun shape,Male,1,DCBA;CADB;ACDB;BCAD;ADBC;DCAB;ABDC;DBCA,8;4;6;3;2;1;5;7,1,1,1,1,1,1,1,1,yes,{},no,2;2;1;1;1;1;2;1;2;1;2;1;2;1;1;1;1;2;1;2;1;2;2;2;2;1;1;2;2;1;1;2;1;1;1;1;2;2;2;2,ADBC;ACBD;ACBD;DABC;ABCD;CBDA;ACBD;DACB;BDAC;DABC;BCDA;DABC;CBAD;ABCD;BACD;BCAD;CBAD;CADB;CDBA;BCDA;BADC;DCBA;DACB;BACD;ACBD;BCDA;BDAC;CADB;CBDA;DABC;DABC;CBAD;DBAC;CDAB;ACBD;BDCA;DACB;ACBD;ADBC;BACD,17951;8523;12410;12206;8169;7519;8073;3665;9161;12369;3266;6371;5360;9362;4935;4813;4032;11648;7156;2827;4334;3624;2845;8260;12920;7774;8862;8856;2728;11212;20783;5610;10114;3500;3786;5868;15642;9149;3402;9275,sun,30;36;39;7;1;16;27;24;35;19;34;11;6;14;38;26;22;28;23;40;20;10;29;25;3;4;2;33;18;12;17;9;8;32;13;21;15;5;37;31,0,,
3BC9H1KCYUPOQH6QV1V57Q8DVZFYWR,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:55 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:55 PDT 2017,,,3QILPRALQ68MB14NGYBQ1E3428N8NF,eoq3n5hcky,Approved,Wed Oct 25 08:04:38 PDT 2017,Wed Oct 25 08:15:40 PDT 2017,Wed Oct 25 09:15:40 PDT 2017,2017-10-25 16:16:28 UTC,,,662,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,30,Yes,None,3,0,$3.50 ,{},square with 5 dots,square,circle with 1 dot,square,slightly curved line,cylinder,cylinder,triangle,triangle,arrow,box,unfinished triangle,box,arrow,arrow,triangle,triangle,rectangle,rectangle,big tornado,cylinder slice,bolder line,angled arrow,line,arrow,arrow,big triangle,square,big rectangle,rectangle,tornado,cylinder slice,bold line,curved line without arrow,bold line,spotted circle,square,triangle with 5 dots,curved line,triangle,sun,Female,,BCDA;CBDA;DCAB;BDAC;DABC;ABCD;BDAC;DCAB,4;2;7;5;3;8;6;1,1,1,1,1,1,1,1,1,yes,{},No problems or bugs.,1;2;2;1;1;1;1;1;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;1;2;1;1;2;1;1;2;2;1;1;1;2;2;1;1;1,DBAC;BDCA;DBAC;DCBA;ACDB;BCDA;CADB;DBCA;DCBA;CBDA;BACD;DACB;CDBA;DCBA;DBCA;ACBD;DABC;BCAD;ACBD;BADC;DACB;DBAC;BDAC;CBAD;DCBA;CBDA;ABCD;CBAD;CBAD;BCDA;CBDA;DCAB;BCAD;CABD;ACBD;ABCD;ADCB;ACBD;DBCA;CDBA,12452;3892;12929;14304;3792;17720;6312;9880;5040;7952;4688;5528;14833;3840;3336;8640;3528;10112;4688;3593;8696;4729;7801;3287;4144;3490;7702;4241;4711;6872;3760;3424;3176;12656;3737;4192;3423;2833;3672;6424,sun,14;24;29;13;16;5;33;27;12;20;23;32;4;21;22;35;18;1;15;30;7;39;3;19;40;17;11;6;25;26;36;9;31;28;8;38;37;10;34;2,0,,
3ZZAYRN1I64K4MYUU9HWIF3CDVYTOL,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:55 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:55 PDT 2017,,,30OG32W0SVO3K2EET1XQTOZQDBLNET,0rtbp7l5cm,Approved,Wed Oct 25 08:03:37 PDT 2017,Wed Oct 25 08:49:39 PDT 2017,Wed Oct 25 09:49:39 PDT 2017,2017-10-25 16:50:28 UTC,,,2762,100% (2/2),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,30,Yes,{},2,1,2,{},Click on the lego square.,Click on the triangle.,Click on the triangle.,Click on the circle.,Click on the arrow.,Click on the cylinder.,Click on the cylinder.,Click on the square.,Click on the circle that is almost complete.,Click on the bent line.,Click on the cube.,Click on the incomplete circle.,Click on the cylinder.,Click on the longest line.,Click on the line.,Click on the triangle.,Click on the triangle.,Click on the rectangle.,Click on the rectangle.,Click on the cylinder.,Click on the cylinder.,Click on the arrow.,Click on the bent line.,Click on the line.,Click on the arrow.,Click on the arrow.,Click on the big triangle.,Click on the triangle.,Click on the thickest rectangle.,Click on the rectangle.,Click on the tallest cylinder.,Click on the cylinder.,Click on the thickest line.,Click on the arc.,Click on the arrow.,Click on the spotted circle.,Click on the triangle.,Click on the lego triangle.,Click on the arc.,Click on the spotted square.,Click on the sun.,Female,,DCAB;CDAB;DACB;CADB;CDAB;ABCD;BADC;ADCB,5;7;1;4;6;2;8;3,1,1,1,1,1,1,1,1,yes,{},No.,1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;1;2;1;1;1;2;1;2;1;2;2;2;1;2;2;1;2;1;2;1;1;1;2,DBCA;BDCA;ADCB;BDAC;ACDB;CABD;ADBC;BCAD;BCDA;BDCA;ABDC;BADC;CADB;CADB;CADB;CBAD;CADB;DBAC;DABC;BCAD;BACD;BCDA;ACDB;DCBA;DCAB;DABC;DCBA;ACDB;ACBD;DCAB;DBCA;CDBA;CBAD;BADC;DBAC;CDAB;CBDA;DCBA;DBAC;BDCA,24227;11406;7980;16604;5137;7263;5796;5244;9486;8724;6020;4493;7294;12133;5961;9441;10719;4827;4783;5120;12921;5990;5777;7327;7277;5695;8452;8924;7676;6890;5437;5941;7117;5150;7038;5996;6345;6930;33626;6508,sun,9;14;21;39;13;23;24;19;5;37;6;34;2;35;25;7;3;32;31;38;17;18;28;1;40;8;16;20;22;26;30;29;36;12;33;10;4;15;27;11,0,,
3ZZAYRN1I64K4MYUU9HWIF3CDVYTOL,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:55 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:55 PDT 2017,,,382M9COHEISGFSYNQ29C7JRKL7DUER,oi7dwk58zt,Approved,Wed Oct 25 08:00:57 PDT 2017,Wed Oct 25 08:07:48 PDT 2017,Wed Oct 25 09:07:48 PDT 2017,2017-10-25 16:08:28 UTC,,,411,100% (2/2),100% (2/2),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,34,Yes,{},2,0,2,{},5 dots,vertical close stripes,3 sided object,box,arrow,cylinder,cylinder,plain flat shape,3 sided object,arrow,fullest cylinder,linear lines,cylinder,arrow,arrow,triangle,4 sided object,4 sided object,4 sided object,long ribbon,ribbon,horizontal thick line,arrow,line,longest line,line,box,shape with 4 sides,widest 4 sided object,4 sided filled object,ribbon,cylinder,widest line,arrow,arrow,largest concentration dots,vertical spaced stripes,6 dots,curved line,triangle,sun,Male,,ACDB;ACDB;ADCB;ABDC;CADB;CBAD;BDAC;BDCA,3;7;4;6;2;5;1;8,1,1,1,1,1,1,1,1,yes,{},no,1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;1;2;2;1;1;2,BCAD;DABC;BACD;ADCB;BADC;BDCA;DCAB;ADCB;BCAD;BDAC;BDAC;BDAC;CADB;CABD;BADC;DCBA;CDAB;CADB;DCBA;BADC;DCAB;ADCB;CABD;DCAB;BCDA;BADC;DABC;BCAD;BACD;CABD;DBCA;CBAD;ABDC;DBCA;DBCA;BDCA;BADC;DABC;CBAD;BACD,21686;7673;5968;6464;9511;14216;8266;8239;11056;5600;10704;8535;15691;5712;4663;6272;7169;14001;6871;5095;4352;5019;4552;10111;3439;13072;4488;6040;4960;8953;9785;5631;7503;5727;5697;3833;3847;5191;4161;10183,sun,10;6;1;15;29;16;34;21;25;14;36;11;2;3;18;24;26;5;38;13;22;32;12;27;30;35;28;39;37;8;7;31;17;23;9;4;40;33;20;19,0,,
3ZZAYRN1I64K4MYUU9HWIF3CDVYTOL,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:55 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:55 PDT 2017,,,3NLZY2D53Q22T51YQFCBADKFRJ9LQ1,9oc3sp4ckt,Approved,Wed Oct 25 08:05:22 PDT 2017,Wed Oct 25 08:13:32 PDT 2017,Wed Oct 25 09:13:32 PDT 2017,2017-10-25 16:14:28 UTC,,,490,100% (3/3),100% (2/2),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,31,No,{},3,1,2,{},five dotted object,triangle,triangle,circle,speckled object,less completely filled object,emptier cube,triangle,triangle,object pointing some way,mostly filled object,arc,cylinder,wide line,arrow,large square,quadrilateral,rotund round object,vertical rectangle,cylinder,spinning object,thick line,elbow,line,wide line,bar,larger triangle,square,oval,tall rectangle,spinning object,spiral,thick line,arc,arrow,speckled circle,dashed triangle,four dotted object,arc,speckled square,sky object,Male,,CABD;ABDC;CADB;DCBA;CDBA;CABD;BDCA;ACDB,7;4;5;3;8;1;2;6,1,1,1,1,1,1,1,1,yes,{},no,1;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;2;2;1;2,CDAB;CDAB;ADBC;DACB;CDAB;ADBC;ADCB;ACBD;ADBC;ADBC;ACDB;DACB;BCDA;DCBA;ADCB;BACD;ABDC;BDAC;BACD;ACBD;BCDA;CDAB;ACBD;DBCA;DCBA;CADB;BADC;ABDC;BADC;ABCD;BACD;DCBA;CBDA;CBDA;ABDC;ABDC;BADC;ADBC;ABDC;DBCA,11790;21862;11533;11068;19214;8969;7463;7013;3929;4095;14718;9548;11007;7927;5696;4942;3745;3847;11003;7926;5407;7510;7265;18758;4127;9508;3899;12763;5406;6495;5135;5209;6654;5903;3937;4043;7826;5493;4047;4071,sun,13;14;18;28;32;4;37;19;8;2;25;5;26;31;16;20;38;22;7;6;29;9;40;36;30;1;12;33;24;21;27;34;35;3;17;39;15;23;11;10,1,,
3ZZAYRN1I64K4MYUU9HWIF3CDVYTOL,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:55 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:55 PDT 2017,,,3PPTZCWALRXMYUI25G3KISVD6SGZQX,fkwvpmug2q,Approved,Wed Oct 25 08:01:00 PDT 2017,Wed Oct 25 08:11:53 PDT 2017,Wed Oct 25 09:11:53 PDT 2017,2017-10-25 16:12:28 UTC,,,653,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,37,Yes,{},3,1,2,{},dotted circle,square,circle with fewest dots,circle,arrow,box,cylinder,square,circle,arrow,full container,semicircle,box,longer line no arrow,arrow,triangle,square,wide oval,oval,large spiral,puck,wider line no arrow,bent line no arrow,arrow,longer line no arrow,arrow,square,triangle,oval,rectangle,taller cylinder,spiral,arrow,arrow,arrow,dotted circle,square,dotted triangle,arrow,dotted square,sun,Female,,BADC;CDAB;DBAC;CBAD;CBAD;CDAB;CDAB;ABCD,2;1;3;5;4;7;8;6,1,1,1,1,1,1,1,1,yes,{},no,2;1;1;2;1;1;1;2;1;2;1;1;2;1;2;2;1;2;1;2;1;2;2;2;1;2;1;2;1;2;1;2;2;2;2;2;1;2;2;2,CBAD;ABCD;BACD;DBAC;BDCA;ABCD;BCDA;BCAD;CDBA;CBDA;DBAC;DCBA;BCAD;ACBD;DCBA;DCAB;DBCA;BCAD;CDBA;ABCD;DCAB;BACD;DBAC;DBAC;DBAC;CABD;CADB;CDBA;ADBC;ADBC;ACBD;CBAD;BACD;BACD;DCAB;DABC;CBDA;BDCA;ACBD;DBAC,15240;8560;8245;6520;14157;6511;5284;8981;7602;4481;7570;3632;3568;4248;5166;5140;4011;4970;7645;5532;14186;3945;4681;6260;3507;5985;3364;3405;7963;9584;4600;4368;4397;4098;8469;5947;9331;7920;20469;5259,sun,27;28;25;23;32;19;12;3;10;35;2;30;26;33;36;17;16;8;9;20;21;39;24;15;22;38;40;13;37;7;14;6;18;34;31;5;1;29;11;4,1,,
3S37Y8CWI8D8SAS66U7YR1460YGW44,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:56 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:56 PDT 2017,,,32VNZTT0A8H67Y9DX22UTMS91KP4R3,qmjwoz196w,Approved,Wed Oct 25 09:23:00 PDT 2017,Wed Oct 25 09:38:45 PDT 2017,Wed Oct 25 10:38:45 PDT 2017,2017-10-25 17:39:28 UTC,,,945,100% (1/1),100% (1/1),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,23,Yes,none,3,0,yes,{},circle,triangle,circle with one dot,square,arrow,cube,cube with little volume,square,triangle,slanted line,nearly filled cylinder,half formed triangle,cylinder,arrow,straight line,triangle,triangle,rectangle,oval,long ribbon,hockey puck,arrow,intersecting straight lines,arrow,arrow,line,square,square,wide rectangle,square,ribbons,cylinder,thick line,arcing line,arrow,square,square,triangle with dots,arcing line,triangle,sun,Male,,CADB;CBAD;ABDC;CADB;BDCA;CBAD;ABDC;ACBD,4;5;8;6;3;7;2;1,1,1,1,1,1,1,1,1,yes,{},no,2;2;1;1;2;1;1;1;2;1;1;2;2;1;1;2;2;1;1;1;2;1;2;1;2;2;1;2;2;2;2;1;2;1;1;2;2;1;1;2,CBDA;ACBD;ABCD;ADBC;CBDA;BACD;ACDB;DABC;DCBA;ACBD;DBAC;ACBD;BADC;ABDC;DACB;ABCD;CDBA;ABCD;BACD;ABDC;BACD;DACB;ADCB;BCDA;CDAB;CDAB;CBAD;DBAC;DBAC;DCAB;ABDC;DCAB;CABD;ACBD;BCDA;CDBA;ABDC;BDCA;ADCB;ABDC,17587;9336;7624;4776;4303;4418;4662;10009;4368;3759;5688;3930;46589;4744;4775;12575;19256;3890;3568;3685;13712;22257;8184;3232;16969;5017;8682;15693;15688;4016;3577;3343;4967;8127;3888;10600;5495;5655;8216;17295,sun,40;1;14;34;36;21;5;32;24;16;25;26;3;33;9;28;18;13;17;31;11;15;38;12;8;23;7;19;35;6;30;29;37;22;10;27;4;20;39;2,0,,
3S37Y8CWI8D8SAS66U7YR1460YGW44,33YD3YS58SIZ71J94O34UJ34SNQCZQ,Describe an image among several other images (about 10 min),Native English speaker required. You need to allow Javascript to work on the HIT. In this task you will be asked to describe an image among several other images . You may take ONLY 1 HIT for this task.,"image, description, game",$2.00 ,Wed Oct 25 07:59:56 PDT 2017,4,BatchId:2983980;OriginalHitTemplateId:920937340;,3600,3600,Wed Nov 01 07:59:56 PDT 2017,,,33LK57MYLUIYBAXFXKSPDSAEOG1ZSM,tkoz6qw5v1,Approved,Wed Oct 25 08:01:02 PDT 2017,Wed Oct 25 08:56:23 PDT 2017,Wed Oct 25 09:56:23 PDT 2017,2017-10-25 16:56:28 UTC,,,3321,100% (7/7),100% (2/2),100% (1/1),impreciseAdjPracticeListenerFreeProduction,TlessC1,34,Yes,Thanks!,1,1,"Yes, very.",{},circle,triangle,triangle,circle,arrow,round jar,box with less water,square,almost full circle,line,full jar,L shape,box,long line,line,triangle,bxo,fatter oval,oval,tornado,tornado,arrow,arrow,line,long line,arrow,square,triangle,fat square,tall rectangle,tornado,ribbon,arrow,arrow,line,circle with dots,square,triangle with dots,arrow,triangle,sun,Male,,DACB;BCDA;ACDB;DCAB;BADC;CABD;BADC;BACD,3;6;8;4;2;7;1;5,1,1,1,21,1,1,1,1,yes,{},No,2;2;2;2;1;1;1;2;2;1;2;1;2;2;1;2;1;1;1;2;1;1;2;2;1;2;1;1;2;1;1;2;2;2;1;2;2;2;2;1,BCAD;DCAB;CABD;BDAC;CBDA;BDAC;BCAD;DCAB;ABCD;CABD;CBDA;CDBA;CDBA;DBAC;BCDA;ADCB;CABD;CDAB;BCDA;CDAB;CBDA;CDAB;BCDA;CADB;BACD;CDBA;BCAD;ADBC;BCAD;BDCA;DACB;BADC;BCDA;CADB;DABC;ACDB;CDAB;BCDA;BDAC;BCDA,25086;4600;7993;4232;9648;3439;2816;3193;5103;5560;10056;3800;2520;25393;6863;2695;2304;4576;4640;5328;2880;3176;2096;3544;2464;2032;2192;2104;14385;2687;3616;4912;2032;3608;9016;2081;3207;1920;2440;2104,sun,23;11;15;32;2;18;37;8;35;17;7;10;33;25;19;28;1;21;36;31;6;22;20;38;13;39;12;27;16;9;3;34;24;4;14;26;5;30;40;29,0,,
