"WorkerId","Input.List","SceneID","Description","RefType","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType","FirstWord"
1,"TlessC1",1,"dotted square","1","Contrast","square","bumpy","blue","Min","dotted"
2,"TlessC1",1,"square with bumps","1","Contrast","square","bumpy","blue","Min","square"
4,"TlessC1",1,"lego square","1","Contrast","square","bumpy","blue","Min","lego"
6,"TlessC1",1,"square with dots","1","Contrast","square","bumpy","blue","Min","square"
12,"TlessC1",1,"textured lego square","1","Contrast","square","bumpy","blue","Min","textured"
25,"TlessC1",1,"square with bubbles","1","Contrast","square","bumpy","blue","Min","square"
26,"TlessC1",1,"spotted square","1","Contrast","square","bumpy","blue","Min","spotted"
28,"TlessC1",1,"square with 5 dots","1","Contrast","square","bumpy","blue","Min","square"
29,"TlessC1",1,"lego square","1","Contrast","square","bumpy","blue","Min","lego"
30,"TlessC1",1,"5 dots","1","Contrast","square","bumpy","blue","Min","5"
31,"TlessC1",1,"five dotted object","1","Contrast","square","bumpy","blue","Min","five"
35,"TlessC1",1,"square with dots","1","Contrast","square","bumpy","blue","Min","square"
37,"TlessC1",1,"5 dotted square","1","Contrast","square","bumpy","blue","Min","5"
38,"TlessC1",1,"square with 5 dots","1","Contrast","square","bumpy","blue","Min","square"
44,"TlessC1",1,"circle","1","Contrast","square","bumpy","blue","Min","circle"
46,"TlessC1",1,"bumpy square","1","Contrast","square","bumpy","blue","Min","bumpy"
47,"TlessC1",1,"square","1","Contrast","square","bumpy","blue","Min","square"
48,"TlessC1",1,"lego with five dots","1","Contrast","square","bumpy","blue","Min","lego"
49,"TlessC1",1,"square with dots","1","Contrast","square","bumpy","blue","Min","square"
51,"TlessC1",1,"box with dots","1","Contrast","square","bumpy","blue","Min","box"
52,"TlessC1",1,"square with dots in it","1","Contrast","square","bumpy","blue","Min","square"
54,"TlessC1",1,"dotted square","1","Contrast","square","bumpy","blue","Min","dotted"
55,"TlessC1",1,"square with shadowed dots","1","Contrast","square","bumpy","blue","Min","square"
57,"TlessC1",1,"square with dots","1","Contrast","square","bumpy","blue","Min","square"
59,"TlessC1",1,"bumpy square","1","Contrast","square","bumpy","blue","Min","bumpy"
64,"TlessC1",1,"textured square","1","Contrast","square","bumpy","blue","Min","textured"
65,"TlessC1",1,"bottom right","1","Contrast","square","bumpy","blue","Min","bottom"
66,"TlessC1",1,"5 dot square","1","Contrast","square","bumpy","blue","Min","5"
67,"TlessC1",1,"square with spots","1","Contrast","square","bumpy","blue","Min","square"
68,"TlessC1",1,"square with buttons","1","Contrast","square","bumpy","blue","Min","square"
72,"TlessC1",1,"five square","1","Contrast","square","bumpy","blue","Min","five"
5,"TlessC1",1,"circle dots","2","Contrast","square","bumpy","blue","Min","circle"
8,"TlessC1",1,"6","2","Contrast","square","bumpy","blue","Min","6"
9,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
10,"TlessC1",1,"6 dotted circle","2","Contrast","square","bumpy","blue","Min","6"
11,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
27,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
32,"TlessC1",1,"dotted circle","2","Contrast","square","bumpy","blue","Min","dotted"
33,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
34,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
36,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
39,"TlessC1",1,"circle lego","2","Contrast","square","bumpy","blue","Min","circle"
40,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
41,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
42,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
43,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
45,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
50,"TlessC1",1,"circle with six dots","2","Contrast","square","bumpy","blue","Min","circle"
53,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
56,"TlessC1",1,"six circle","2","Contrast","square","bumpy","blue","Min","six"
58,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
60,"TlessC1",1,"circle with dots","2","Contrast","square","bumpy","blue","Min","circle"
61,"TlessC1",1,"circle with 6","2","Contrast","square","bumpy","blue","Min","circle"
63,"TlessC1",1,"circle","2","Contrast","square","bumpy","blue","Min","circle"
69,"TlessC1",1,"round leggo","2","Contrast","square","bumpy","blue","Min","round"
70,"TlessC1",1,"number 6","2","Contrast","square","bumpy","blue","Min","number"
71,"TlessC1",1,"circle with dots","2","Contrast","square","bumpy","blue","Min","circle"
1,"TlessC1",2,"arc","1","NoContrast","circle","open","blue","Min","arc"
6,"TlessC1",2,"semi circle","1","NoContrast","circle","open","blue","Min","semi"
9,"TlessC1",2,"near circle","1","NoContrast","circle","open","blue","Min","near"
11,"TlessC1",2,"curved line","1","NoContrast","circle","open","blue","Min","curved"
12,"TlessC1",2,"semi-circle","1","NoContrast","circle","open","blue","Min","semi-circle"
25,"TlessC1",2,"partial circle","1","NoContrast","circle","open","blue","Min","partial"
26,"TlessC1",2,"curve","1","NoContrast","circle","open","blue","Min","curve"
29,"TlessC1",2,"incomplete circle","1","NoContrast","circle","open","blue","Min","incomplete"
31,"TlessC1",2,"arc","1","NoContrast","circle","open","blue","Min","arc"
32,"TlessC1",2,"semicircle","1","NoContrast","circle","open","blue","Min","semicircle"
36,"TlessC1",2,"half circle","1","NoContrast","circle","open","blue","Min","half"
37,"TlessC1",2,"3/4 circle","1","NoContrast","circle","open","blue","Min","3/4"
38,"TlessC1",2,"semi circle","1","NoContrast","circle","open","blue","Min","semi"
39,"TlessC1",2,"almost circle","1","NoContrast","circle","open","blue","Min","almost"
40,"TlessC1",2,"semi-circle","1","NoContrast","circle","open","blue","Min","semi-circle"
43,"TlessC1",2,"open circle","1","NoContrast","circle","open","blue","Min","open"
45,"TlessC1",2,"u","1","NoContrast","circle","open","blue","Min","u"
46,"TlessC1",2,"semi circle","1","NoContrast","circle","open","blue","Min","semi"
47,"TlessC1",2,"unfinished circle","1","NoContrast","circle","open","blue","Min","unfinished"
56,"TlessC1",2,"half circle","1","NoContrast","circle","open","blue","Min","half"
57,"TlessC1",2,"u","1","NoContrast","circle","open","blue","Min","u"
58,"TlessC1",2,"semi-circle","1","NoContrast","circle","open","blue","Min","semi-circle"
61,"TlessC1",2,"incomplete circle","1","NoContrast","circle","open","blue","Min","incomplete"
64,"TlessC1",2,"u shape","1","NoContrast","circle","open","blue","Min","u"
66,"TlessC1",2,"open circle","1","NoContrast","circle","open","blue","Min","open"
67,"TlessC1",2,"semi-circle","1","NoContrast","circle","open","blue","Min","semi-circle"
68,"TlessC1",2,"half circle","1","NoContrast","circle","open","blue","Min","half"
69,"TlessC1",2,"loop","1","NoContrast","circle","open","blue","Min","loop"
72,"TlessC1",2,"horse shoe","1","NoContrast","circle","open","blue","Min","horse"
2,"TlessC1",2,"partial triangle","2","NoContrast","circle","open","blue","Min","partial"
4,"TlessC1",2,"half a triangle","2","NoContrast","circle","open","blue","Min","half"
5,"TlessC1",2,"angular","2","NoContrast","circle","open","blue","Min","angular"
8,"TlessC1",2,"unfinished triangle","2","NoContrast","circle","open","blue","Min","unfinished"
10,"TlessC1",2,"unfinished triangle","2","NoContrast","circle","open","blue","Min","unfinished"
27,"TlessC1",2,"cut triangle","2","NoContrast","circle","open","blue","Min","cut"
28,"TlessC1",2,"unfinished triangle","2","NoContrast","circle","open","blue","Min","unfinished"
30,"TlessC1",2,"linear lines","2","NoContrast","circle","open","blue","Min","linear"
33,"TlessC1",2,"half formed triangle","2","NoContrast","circle","open","blue","Min","half"
34,"TlessC1",2,"l shape","2","NoContrast","circle","open","blue","Min","l"
35,"TlessC1",2,"partial triangle","2","NoContrast","circle","open","blue","Min","partial"
41,"TlessC1",2,"broken triangle","2","NoContrast","circle","open","blue","Min","broken"
42,"TlessC1",2,"partial triangle","2","NoContrast","circle","open","blue","Min","partial"
44,"TlessC1",2,"cloud","2","NoContrast","circle","open","blue","Min","cloud"
48,"TlessC1",2,"incomplete triangle","2","NoContrast","circle","open","blue","Min","incomplete"
49,"TlessC1",2,"half triangle","2","NoContrast","circle","open","blue","Min","half"
50,"TlessC1",2,"triangle that is missing a corner","2","NoContrast","circle","open","blue","Min","triangle"
51,"TlessC1",2,"line almost a triangle","2","NoContrast","circle","open","blue","Min","line"
52,"TlessC1",2,"partial triangle","2","NoContrast","circle","open","blue","Min","partial"
53,"TlessC1",2,"partial triangle","2","NoContrast","circle","open","blue","Min","partial"
54,"TlessC1",2,"semi triangle","2","NoContrast","circle","open","blue","Min","semi"
55,"TlessC1",2,"partial triangle","2","NoContrast","circle","open","blue","Min","partial"
59,"TlessC1",2,"incomplete triangle","2","NoContrast","circle","open","blue","Min","incomplete"
60,"TlessC1",2,"broken triangle","2","NoContrast","circle","open","blue","Min","broken"
63,"TlessC1",2,"curved line","2","NoContrast","circle","open","blue","Min","curved"
65,"TlessC1",2,"top left","2","NoContrast","circle","open","blue","Min","top"
70,"TlessC1",2,"half triangle","2","NoContrast","circle","open","blue","Min","half"
71,"TlessC1",2,"almost triangle","2","NoContrast","circle","open","blue","Min","almost"
8,"TlessC1",3,"angle (not arrow)","1","Contrast","line","bent","green","Min","angle"
9,"TlessC1",3,"bent line","1","Contrast","line","bent","green","Min","bent"
10,"TlessC1",3,"obtuse line no arrow","1","Contrast","line","bent","green","Min","obtuse"
12,"TlessC1",3,"angle with no arrow","1","Contrast","line","bent","green","Min","angle"
25,"TlessC1",3,"bent line without arrow","1","Contrast","line","bent","green","Min","bent"
26,"TlessC1",3,"boomerang","1","Contrast","line","bent","green","Min","boomerang"
27,"TlessC1",3,"angle","1","Contrast","line","bent","green","Min","angle"
29,"TlessC1",3,"bent line","1","Contrast","line","bent","green","Min","bent"
31,"TlessC1",3,"elbow","1","Contrast","line","bent","green","Min","elbow"
32,"TlessC1",3,"bent line no arrow","1","Contrast","line","bent","green","Min","bent"
33,"TlessC1",3,"intersecting straight lines","1","Contrast","line","bent","green","Min","intersecting"
35,"TlessC1",3,"bent line with no arrowhead","1","Contrast","line","bent","green","Min","bent"
43,"TlessC1",3,"l shape without arrow","1","Contrast","line","bent","green","Min","l"
44,"TlessC1",3,"cloud","1","Contrast","line","bent","green","Min","cloud"
47,"TlessC1",3,"angle without arrow","1","Contrast","line","bent","green","Min","angle"
49,"TlessC1",3,"right angle with no arrow","1","Contrast","line","bent","green","Min","right"
50,"TlessC1",3,"obtuse angle with no arrow","1","Contrast","line","bent","green","Min","obtuse"
54,"TlessC1",3,"crooked line","1","Contrast","line","bent","green","Min","crooked"
57,"TlessC1",3,"andled line, no arrow","1","Contrast","line","bent","green","Min","andled"
59,"TlessC1",3,"bent line","1","Contrast","line","bent","green","Min","bent"
61,"TlessC1",3,"angel with no arrow head","1","Contrast","line","bent","green","Min","angel"
63,"TlessC1",3,"angle line","1","Contrast","line","bent","green","Min","angle"
65,"TlessC1",3,"bottom right","1","Contrast","line","bent","green","Min","bottom"
66,"TlessC1",3,"bent line","1","Contrast","line","bent","green","Min","bent"
67,"TlessC1",3,"bent line with no arrow","1","Contrast","line","bent","green","Min","bent"
68,"TlessC1",3,"bent line without arrow","1","Contrast","line","bent","green","Min","bent"
71,"TlessC1",3,"bent line","1","Contrast","line","bent","green","Min","bent"
1,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
2,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
4,"TlessC1",3,"bent arrow","2","Contrast","line","bent","green","Min","bent"
5,"TlessC1",3,"angular arrow","2","Contrast","line","bent","green","Min","angular"
6,"TlessC1",3,"angled arrow","2","Contrast","line","bent","green","Min","angled"
11,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
28,"TlessC1",3,"angled arrow","2","Contrast","line","bent","green","Min","angled"
30,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
34,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
36,"TlessC1",3,"bent arrow","2","Contrast","line","bent","green","Min","bent"
37,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
38,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
39,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
40,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
41,"TlessC1",3,"angle with an arrow","2","Contrast","line","bent","green","Min","angle"
42,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
45,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
46,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
48,"TlessC1",3,"angled line that is an arrow","2","Contrast","line","bent","green","Min","angled"
51,"TlessC1",3,"line with arrow","2","Contrast","line","bent","green","Min","line"
52,"TlessC1",3,"bent line with an arrow","2","Contrast","line","bent","green","Min","bent"
53,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
55,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
56,"TlessC1",3,"bent arrow","2","Contrast","line","bent","green","Min","bent"
58,"TlessC1",3,"arrow","2","Contrast","line","bent","green","Min","arrow"
60,"TlessC1",3,"bent line with arrow","2","Contrast","line","bent","green","Min","bent"
64,"TlessC1",3,"arrowed bend","2","Contrast","line","bent","green","Min","arrowed"
69,"TlessC1",3,"chart line","2","Contrast","line","bent","green","Min","chart"
70,"TlessC1",3,"arrow that points right","2","Contrast","line","bent","green","Min","arrow"
72,"TlessC1",3,"line with arrow","2","Contrast","line","bent","green","Min","line"
1,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
4,"TlessC1",4,"curved plain line","1","NoContrast","line","curved","red","Min","curved"
5,"TlessC1",4,"curve","1","NoContrast","line","curved","red","Min","curve"
8,"TlessC1",4,"curved line (not arrow)","1","NoContrast","line","curved","red","Min","curved"
10,"TlessC1",4,"curved line no arrow","1","NoContrast","line","curved","red","Min","curved"
11,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
27,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
28,"TlessC1",4,"curved line without arrow","1","NoContrast","line","curved","red","Min","curved"
29,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
31,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
33,"TlessC1",4,"arcing line","1","NoContrast","line","curved","red","Min","arcing"
40,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
41,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
44,"TlessC1",4,"triangle","1","NoContrast","line","curved","red","Min","triangle"
45,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
46,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
47,"TlessC1",4,"curve without arrow","1","NoContrast","line","curved","red","Min","curve"
51,"TlessC1",4,"line","1","NoContrast","line","curved","red","Min","line"
52,"TlessC1",4,"bent line with no arrow","1","NoContrast","line","curved","red","Min","bent"
53,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
58,"TlessC1",4,"line","1","NoContrast","line","curved","red","Min","line"
61,"TlessC1",4,"rainbow with no arrow head","1","NoContrast","line","curved","red","Min","rainbow"
