,trialType,cond,utterance_type,instruction,target,contrastGood,contrastBad,big_filler,small_Filler
0,test,contrast,modified,Click on the big pickle,pickle_big.jpg,pickle_small.jpg,pickle_small.jpg,stapler_big.jpg,tennisball_small.jpg
1,test,contrast,modified,Click on the small lobster,lobster_small.jpg,lobster_big.jpg,lobster_big.jpg,windmill_big.jpg,cake_small.jpg
2,test,contrast,modified,Click on the big corn,corn_big.jpg,corn_small.jpg,corn_small.jpg,muffin_big.jpg,lacrosse_small.jpg
3,test,contrast,modified,Click on the small cookie,cookie_small.jpg,cookie_big.jpg,cookie_big.jpg,speaker_big.jpg,teapot_small.jpg
4,test,contrast,modified,Click on the big hat,hat_big.jpg,hat_small.jpg,hat_small.jpg,helmet_big.jpg,wreath_small.jpg
5,test,contrast,modified,Click on the small backpack,backpack_small.jpg,backpack_big.jpg,backpack_big.jpg,broccoli_big.jpg,shovel_small.jpg
6,test,contrast,modified,Click on the big ballerina,ballerina_big.jpg,ballerina_small.jpg,ballerina_small.jpg,piano_big.jpg,cables_small.jpg
7,test,contrast,modified,Click on the small icecream,icecream_small.jpg,icecream_big.jpg,icecream_big.jpg,funnel_big.jpg,pizza_small.jpg
8,test,contrast,modified,Click on the big pear,pear_big.jpg,pear_small.jpg,pear_small.jpg,soap_big.jpg,cannoli_small.jpg
9,test,contrast,modified,Click on the small bird,bird_small.jpg,bird_big.jpg,bird_big.jpg,hairclip_big.jpg,trophy_small.jpg
10,test,contrast,modified,Click on the big dog,dog_big.jpg,dog_small.jpg,dog_small.jpg,dinosaur_big.jpg,palette_small.jpg
11,test,contrast,modified,Click on the small cat,cat_small.jpg,cat_big.jpg,cat_big.jpg,veggieplatter_big.jpg,recliner_small.jpg
12,test,contrast,modified,Click on the small flower,flower_small.jpg,flower_big.jpg,flower_big.jpg,mug_big.jpg,fireextinguisher_small.jpg
13,test,contrast,modified,Click on the big ball,ball_big.jpg,ball_small.jpg,ball_small.jpg,iguana_big.jpg,lime_small.jpg
14,test,contrast,modified,Click on the small bottle,bottle_small.jpg,bottle_big.jpg,bottle_big.jpg,microwave_big.jpg,paperclips_small.jpg
15,test,contrast,modified,Click on the big plant,plant_big.jpg,plant_small.jpg,plant_small.jpg,blackspaceship_big.jpg,bucket_small.jpg
16,test,contrast,modified,Click on the small fish,fish_small.jpg,fish_big.jpg,fish_big.jpg,scissors_big.jpg,rollerblades_small.jpg
17,test,contrast,modified,Click on the big lock,lock_big.jpg,lock_small.jpg,lock_small.jpg,molecule_big.jpg,sneaker_small.jpg
18,test,contrast,modified,Click on the small monkey,monkey_small.jpg,monkey_big.jpg,monkey_big.jpg,sponge_big.jpg,sportsbag_small.jpg
19,test,contrast,modified,Click on the big ribbon,ribbon_big.jpg,ribbon_small.jpg,ribbon_small.jpg,toyfarm_big.jpg,tissues_small.jpg
20,test,no_contrast,modified,Click on the small hammer,hammer_small.jpg,pickle_big.jpg,pickle_big.jpg,cork_big.jpg,yoyo_small.jpg
21,test,no_contrast,modified,Click on the big brush,brush_big.jpg,lobster_small.jpg,lobster_small.jpg,panflute_big.jpg,dolphin_small.jpg
22,test,no_contrast,modified,Click on the small pencil,pencil_small.jpg,corn_big.jpg,corn_big.jpg,bone_big.jpg,screwdriver_small.jpg
23,test,no_contrast,modified,Click on the big tuxedo,tuxedo_big.jpg,cookie_small.jpg,cookie_small.jpg,shapestoy_big.jpg,pillow_small.jpg
