workerid,proliferate.condition,time_in_minutes,error
521,List2,19.420383333333337,
524,List2,26.625333333333337,
519,List2,22.780066666666663,
517,List2,16.522,
537,List2,50.34315,
509,List2,13.88345,
495,List2,16.128683333333335,
493,List2,23.811133333333338,
515,List2,15.96255,
534,List2,19.684783333333332,
507,List2,23.534116666666662,
485,List2,11.90825,
503,List2,14.591666666666669,
499,List2,19.933566666666668,
541,List2,25.03665,
491,List2,14.59255,
527,List2,24.867233333333335,
543,List2,15.852533333333334,
532,List2,15.912633333333334,
544,List2,37.48681666666667,
528,List2,13.726366666666667,
497,List2,18.656233333333333,
501,List2,33.40285,
513,List2,12.115466666666666,
481,List2,21.43435,
511,List2,14.685666666666666,
489,List2,26.426566666666663,
531,List2,19.06635,
539,List2,18.0923,
505,List2,13.891583333333331,
479,List2,31.54125,
487,List2,17.02035,
536,List1,14.18455,
504,List1,22.8601,
480,List1,23.873916666666663,
478,List1,19.959033333333338,
510,List1,20.082166666666662,
494,List1,11.363816666666668,
535,List1,18.4251,
498,List1,23.75005,
512,List1,15.541116666666667,
508,List1,15.26155,
546,List1,12.504483333333331,
500,List1,24.963166666666663,
545,List1,13.675333333333333,
520,List1,26.792166666666667,
529,List1,16.4101,
488,List1,16.011166666666668,
540,List1,38.91068333333333,
514,List1,11.89585,
525,List1,13.11265,
518,List1,21.56945,
522,List1,17.787,
486,List1,23.246966666666665,
533,List1,15.826016666666666,
516,List1,13.1234,
496,List1,23.002383333333334,
538,List1,16.608366666666665,
506,List1,31.043466666666667,
490,List1,29.120966666666668,
482,List1,31.40505,
530,List1,23.2566,
492,List1,22.27455,
502,List1,25.507,
