"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","target","test","big","ball",1,0.944444444444444,0.833333333333333,1,0.330853174603175
"contrast","unreliable","adjective","competitor","test","big","ball",1,0.0555555555555556,0,0.166666666666667,0.274305555555556
"contrast","unreliable","adjective","other","test","big","ball",1,0,0,0,0.39484126984127
"contrast","unreliable","adjective","target","test","big","ballerina",1,0.823529411764706,0.647058823529412,1,0.40922619047619
"contrast","unreliable","adjective","competitor","test","big","ballerina",1,0,0,0,0.311011904761905
"contrast","unreliable","adjective","other","test","big","ballerina",1,0.176470588235294,0,0.352941176470588,0.279761904761905
"contrast","unreliable","adjective","target","test","big","corn",1,0.666666666666667,0.444444444444444,0.888888888888889,0.278386454183267
"contrast","unreliable","adjective","competitor","test","big","corn",1,0,0,0,0.453685258964143
"contrast","unreliable","adjective","other","test","big","corn",1,0.333333333333333,0.111111111111111,0.555555555555556,0.26792828685259
"contrast","unreliable","adjective","target","test","big","dog",1,0.888888888888889,0.722222222222222,1,0.50297619047619
"contrast","unreliable","adjective","competitor","test","big","dog",1,0,0,0,0.15327380952381
"contrast","unreliable","adjective","other","test","big","dog",1,0.111111111111111,0,0.277777777777778,0.34375
"contrast","unreliable","adjective","target","test","big","hat",1,0.722222222222222,0.5,0.888888888888889,0.484430832057172
"contrast","unreliable","adjective","competitor","test","big","hat",1,0.0555555555555556,0,0.166666666666667,0.253190403266973
"contrast","unreliable","adjective","other","test","big","hat",1,0.222222222222222,0.0555555555555556,0.444444444444444,0.262378764675855
"contrast","unreliable","adjective","target","test","big","lock",1,0.888888888888889,0.722222222222222,1,0.443948412698413
"contrast","unreliable","adjective","competitor","test","big","lock",1,0,0,0,0.145833333333333
"contrast","unreliable","adjective","other","test","big","lock",1,0.111111111111111,0,0.277777777777778,0.410218253968254
"contrast","unreliable","adjective","target","test","big","pear",1,0.888888888888889,0.722222222222222,1,0.458829365079365
"contrast","unreliable","adjective","competitor","test","big","pear",1,0.0555555555555556,0,0.166666666666667,0.258928571428571
"contrast","unreliable","adjective","other","test","big","pear",1,0.0555555555555556,0,0.166666666666667,0.282242063492063
"contrast","unreliable","adjective","target","test","big","pickle",1,0.944444444444444,0.833333333333333,1,0.491071428571429
"contrast","unreliable","adjective","competitor","test","big","pickle",1,0,0,0,0.306547619047619
"contrast","unreliable","adjective","other","test","big","pickle",1,0.0555555555555556,0,0.166666666666667,0.202380952380952
"contrast","unreliable","adjective","target","test","big","plant",1,0.944444444444444,0.833333333333333,1,0.404761904761905
"contrast","unreliable","adjective","competitor","test","big","plant",1,0,0,0,0.276289682539683
"contrast","unreliable","adjective","other","test","big","plant",1,0.0555555555555556,0,0.166666666666667,0.318948412698413
"contrast","unreliable","adjective","target","test","big","ribbon",1,0.882352941176471,0.705882352941177,1,0.358630952380952
"contrast","unreliable","adjective","competitor","test","big","ribbon",1,0,0,0,0.451884920634921
"contrast","unreliable","adjective","other","test","big","ribbon",1,0.117647058823529,0,0.294117647058824,0.189484126984127
