"cond","pragContext","window","Region","trialType","quarter","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","target","test",1,"big","ball",1,1,1,1,0.333333333333333
"contrast","unreliable","adjective","competitor","test",1,"big","ball",1,0,0,0,0.426587301587302
"contrast","unreliable","adjective","other","test",1,"big","ball",1,0,0,0,0.240079365079365
"contrast","unreliable","adjective","target","test",1,"big","ballerina",1,0.875,0.625,1,0.436507936507937
"contrast","unreliable","adjective","competitor","test",1,"big","ballerina",1,0.125,0,0.375,0.185185185185185
"contrast","unreliable","adjective","other","test",1,"big","ballerina",1,0,0,0,0.378306878306878
"contrast","unreliable","adjective","target","test",1,"big","corn",1,0.375,0.125,0.75,0.268145161290323
"contrast","unreliable","adjective","competitor","test",1,"big","corn",1,0.625,0.25,0.875,0.606854838709677
"contrast","unreliable","adjective","other","test",1,"big","corn",1,0,0,0,0.125
"contrast","unreliable","adjective","target","test",1,"big","dog",1,0.5,0,1,0.434920634920635
"contrast","unreliable","adjective","competitor","test",1,"big","dog",1,0,0,0,0.228571428571429
"contrast","unreliable","adjective","other","test",1,"big","dog",1,0.5,0,1,0.336507936507937
"contrast","unreliable","adjective","target","test",1,"big","hat",1,1,1,1,0.550403225806452
"contrast","unreliable","adjective","competitor","test",1,"big","hat",1,0,0,0,0.209677419354839
"contrast","unreliable","adjective","other","test",1,"big","hat",1,0,0,0,0.23991935483871
"contrast","unreliable","adjective","target","test",1,"big","lock",1,1,1,1,0.412698412698413
"contrast","unreliable","adjective","competitor","test",1,"big","lock",1,0,0,0,0.0380952380952381
"contrast","unreliable","adjective","other","test",1,"big","lock",1,0,0,0,0.549206349206349
"contrast","unreliable","adjective","target","test",1,"big","pear",1,0.666666666666667,0,1,0.504761904761905
"contrast","unreliable","adjective","competitor","test",1,"big","pear",1,0,0,0,0.282539682539683
"contrast","unreliable","adjective","other","test",1,"big","pear",1,0.333333333333333,0,1,0.212698412698413
"contrast","unreliable","adjective","target","test",1,"big","pickle",1,1,1,1,0.444444444444444
"contrast","unreliable","adjective","competitor","test",1,"big","pickle",1,0,0,0,0.226757369614512
