workerid,proliferate.condition,big_filler,cond,instruction,loc_big_filler,loc_contrast,loc_small_filler,loc_target_pic,modifier,modifier_use,noun,pragContext,response,response_times,small_filler,target_contrast_bad,target_contrast_good,target_pic,trial,trialID,trialType,trial_number,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
470,List2,measuringtape_big.jpg,semantic_contrast,Click on the open box,.loc2,.loc1,.loc4,.loc3,open,modifier,box,good,"['loc4', 'loc3', 'loc3']","[6927, 8774, 10703]",screw_small.jpg,skeleton.jpg,box_closed.jpg,box_open.jpg,168,filler48,filler,3,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,spring_big.jpg,semantic_contrast,Click on the rubber duck,.loc2,.loc1,.loc4,.loc3,rubber,modifier,duck,good,"['loc2', 'loc3', 'loc3']","[3150, 4550, 5054]",parsley_small.jpg,nailclippers.jpg,duck_plush.jpg,duck_rubber.jpg,152,filler32,filler,4,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,milkshake_big.jpg,contrast,Click on the big turtle,.loc1,.loc3,.loc2,.loc4,big,modifier,turtle,good,"['loc1', 'loc4', 'loc4']","[1999, 3759, 4311]",baseballglove_small.jpg,turtle_small.jpg,turtle_small.jpg,turtle_big.jpg,12,test12,test,5,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,pen_green.jpg,semantic_control,Click on the lollipops,.loc3,.loc4,.loc2,.loc1,big,no_modifier,lollipops,good,"['loc2', 'loc1']","[5680, 6976]",pen_black.jpg,lollipops_small.jpg,pitchfork_small.jpg,lollipops_big.jpg,275,filler155,filler,6,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,train_big.jpg,no_contrast,Click on the cherry,.loc2,.loc1,.loc4,.loc3,small,no_modifier,cherry,good,"['loc2', 'loc3']","[3136, 4216]",jetski_small.jpg,cherry_big.jpg,briefcase_big.jpg,cherry_small.jpg,85,train45,train,7,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,anchor_big.jpg,contrast_control,Click on the bill,.loc2,.loc4,.loc3,.loc1,big,no_modifier,bill,good,"['loc3', 'loc1']","[6192, 7239]",anchor_small.jpg,bill_small.jpg,babycup_small.jpg,bill_big.jpg,213,filler93,filler,8,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,tractor_big.jpg,contrast,Click on the big dress,.loc2,.loc1,.loc3,.loc4,big,modifier,dress,good,"['loc2', 'loc4', 'loc4']","[53863, 55256, 55913]",nest_small.jpg,dress_small.jpg,dress_small.jpg,dress_big.jpg,6,test6,test,9,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,crutches_big.jpg,semantic_contrast,Click on the round tupperware,.loc1,.loc4,.loc2,.loc3,round,modifier,tupperware,good,"['loc2', 'loc3', 'loc3']","[2077, 3310, 3694]",powder_small.jpg,rockingchair.jpg,tupperware_rectangular.jpg,tupperware_round.jpg,162,filler42,filler,10,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,orangephone_big.jpg,contrast,Click on the small guitar,.loc4,.loc1,.loc2,.loc3,small,modifier,guitar,good,"['loc2', 'loc3', 'loc3']","[5984, 7440, 7856]",pie_small.jpg,guitar_big.jpg,guitar_big.jpg,guitar_small.jpg,16,test16,test,11,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
470,List2,laptop_big.jpg,contrast,Click on the big starfish,.loc2,.loc4,.loc3,.loc1,big,modifier,starfish,good,"['loc2', 'loc1', 'loc1']","[4215, 5703, 6079]",toyoctopus_small.jpg,starfish_small.jpg,starfish_small.jpg,starfish_big.jpg,15,test15,test,12,[],34,Yes,No comment.,2,2,5.00,Female,English,No problems.,Firefox,Windows,768,1366,30.312683333333332,
