workerid,proliferate.condition,big_filler,cond,instruction,loc_big_filler,loc_contrast,loc_small_filler,loc_target_pic,modifier,modifier_use,noun,pragContext,response,response_times,small_filler,target_contrast_bad,target_contrast_good,target_pic,trial,trialID,trialType,trial_number,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
730,List2,carkeys_big.jpg,semantic_contrast,Click on the coffee cup,.loc4,.loc1,.loc3,.loc2,coffee,modifier,cup,bad,"['loc1', 'loc2', 'loc2']","[2772, 5378, 7484]",oven_small.jpg,icecubetray.jpg,cup_plastic.jpg,cup_coffee.jpg,149,filler29,filler,3,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,victrola_big.jpg,contrast,Click on the small butterfly,.loc4,.loc1,.loc2,.loc3,small,modifier,butterfly,bad,"['loc4', 'loc3', 'loc3']","[2980, 5034, 6219]",bed_small.jpg,parkingmeter_big.jpg,butterfly_big.jpg,butterfly_small.jpg,48,train8,train,4,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,muffin_big.jpg,no_contrast,Click on the big corn,.loc3,.loc2,.loc1,.loc4,big,modifier,corn,bad,"['loc3', 'loc1', 'loc4']","[3457, 5905, 7271]",lacrosse_small.jpg,pencil_small.jpg,pencil_small.jpg,corn_big.jpg,23,test23,test,5,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,pineapple_big.jpg,contrast,Click on the small igloo,.loc3,.loc2,.loc1,.loc4,small,modifier,igloo,bad,"['loc4', 'loc1', 'loc4']","[1688, 3678, 5168]",snowflake_small.jpg,canon_big.jpg,igloo_big.jpg,igloo_small.jpg,78,train38,train,6,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,sponge_big.jpg,no_contrast,Click on the small monkey,.loc4,.loc2,.loc3,.loc1,small,modifier,monkey,bad,"['loc2', 'loc1', 'loc1']","[2041, 4367, 5657]",sportsbag_small.jpg,grapes_big.jpg,grapes_big.jpg,monkey_small.jpg,39,test39,test,7,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,coconut_big.jpg,contrast_control,Click on the piano,.loc1,.loc3,.loc2,.loc4,big,no_modifier,piano,bad,"['loc1', 'loc3']","[1517, 3728]",coconut_small.jpg,piano_small.jpg,paperclips_small.jpg,piano_big.jpg,187,filler67,filler,8,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,footstool_big.jpg,no_contrast,Click on the tacos,.loc4,.loc2,.loc3,.loc1,big,no_modifier,tacos,bad,"['loc1', 'loc1']","[2086, 4953]",sunflower_small.jpg,tacos_small.jpg,nut_small.jpg,tacos_big.jpg,104,train64,train,9,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,coffeemaker_orange.jpg,semantic_control,Click on the button,.loc3,.loc4,.loc2,.loc1,big,no_modifier,button,bad,"['loc1', 'loc1']","[1517, 3199]",coffeemaker_blue.jpg,button_small.jpg,congadrum_small.jpg,button_big.jpg,241,filler121,filler,10,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,broom_big.jpg,no_contrast,Click on the bagel,.loc2,.loc1,.loc3,.loc4,big,no_modifier,bagel,bad,"['loc1', 'loc1']","[1713, 3047]",nutcracker_small.jpg,bagel_small.jpg,igloo_small.jpg,bagel_big.jpg,118,train78,train,11,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
730,List2,pineapple_big.jpg,contrast_control,Click on the cork,.loc1,.loc4,.loc3,.loc2,big,no_modifier,cork,bad,"['loc1', 'loc4']","[1633, 3951]",pineapple_small.jpg,cork_small.jpg,toolbox_small.jpg,cork_big.jpg,201,filler81,filler,12,[],24,Yes,N/A,3,1,The price was fine.,Male,English,N/A,Chrome,Mac,900,1440,19.4816,
