"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","target","test","big","ball",1,0.857142857142857,0.642857142857143,1,0.326388888888889
"contrast","unreliable","adjective","competitor","test","big","ball",1,0.0714285714285714,0,0.214285714285714,0.279265873015873
"contrast","unreliable","adjective","other","test","big","ball",1,0.0714285714285714,0,0.214285714285714,0.394345238095238
"contrast","unreliable","adjective","target","test","big","ballerina",1,0.214285714285714,0,0.428571428571429,0.408730158730159
"contrast","unreliable","adjective","competitor","test","big","ballerina",1,0,0,0,0.311011904761905
"contrast","unreliable","adjective","other","test","big","ballerina",1,0.785714285714286,0.571428571428571,1,0.280257936507937
"contrast","unreliable","adjective","target","test","big","corn",1,0.384615384615385,0.153846153846154,0.615384615384615,0.27390438247012
"contrast","unreliable","adjective","competitor","test","big","corn",1,0.0769230769230769,0,0.230769230769231,0.455677290836653
"contrast","unreliable","adjective","other","test","big","corn",1,0.538461538461538,0.230769230769231,0.769230769230769,0.270418326693227
"contrast","unreliable","adjective","target","test","big","dog",1,0.928571428571429,0.785714285714286,1,0.499007936507937
"contrast","unreliable","adjective","competitor","test","big","dog",1,0,0,0,0.154761904761905
"contrast","unreliable","adjective","other","test","big","dog",1,0.0714285714285714,0,0.214285714285714,0.346230158730159
"contrast","unreliable","adjective","target","test","big","hat",1,0.571428571428571,0.357142857142857,0.857142857142857,0.48876404494382
"contrast","unreliable","adjective","competitor","test","big","hat",1,0.142857142857143,0,0.357142857142857,0.25076608784474
"contrast","unreliable","adjective","other","test","big","hat",1,0.285714285714286,0.0714285714285714,0.571428571428571,0.26046986721144
"contrast","unreliable","adjective","target","test","big","lock",1,0.714285714285714,0.5,0.928571428571429,0.439484126984127
"contrast","unreliable","adjective","competitor","test","big","lock",1,0,0,0,0.147321428571429
"contrast","unreliable","adjective","other","test","big","lock",1,0.285714285714286,0.0714285714285714,0.571428571428571,0.413194444444444
"contrast","unreliable","adjective","target","test","big","pear",1,0.866666666666667,0.666666666666667,1,0.458333333333333
"contrast","unreliable","adjective","competitor","test","big","pear",1,0.0666666666666667,0,0.2,0.259920634920635
"contrast","unreliable","adjective","other","test","big","pear",1,0.0666666666666667,0,0.2,0.281746031746032
"contrast","unreliable","adjective","target","test","big","pickle",1,0.714285714285714,0.428571428571429,0.928571428571429,0.489583333333333
"contrast","unreliable","adjective","competitor","test","big","pickle",1,0.142857142857143,0,0.357142857142857,0.306051587301587
"contrast","unreliable","adjective","other","test","big","pickle",1,0.142857142857143,0,0.357142857142857,0.204365079365079
"contrast","unreliable","adjective","target","test","big","plant",1,0.6,0.398333333333333,0.801666666666665,0.402281746031746
"contrast","unreliable","adjective","competitor","test","big","plant",1,0.0666666666666667,0,0.2,0.275793650793651
"contrast","unreliable","adjective","other","test","big","plant",1,0.333333333333333,0.133333333333333,0.6,0.321924603174603
"contrast","unreliable","adjective","target","test","big","ribbon",1,0.6,0.333333333333333,0.8,0.358134920634921
"contrast","unreliable","adjective","competitor","test","big","ribbon",1,0,0,0,0.450396825396825
"contrast","unreliable","adjective","other","test","big","ribbon",1,0.4,0.2,0.666666666666667,0.191468253968254
"contrast","unreliable","adjective","target","test","small","backpack",1,0.8,0.6,1,0.333829365079365
"contrast","unreliable","adjective","competitor","test","small","backpack",1,0.0666666666666667,0,0.2,0.173611111111111
"contrast","unreliable","adjective","other","test","small","backpack",1,0.133333333333333,0,0.333333333333333,0.492559523809524
"contrast","unreliable","adjective","target","test","small","bird",1,0.857142857142857,0.642857142857143,1,0.347718253968254
"contrast","unreliable","adjective","competitor","test","small","bird",1,0.0714285714285714,0,0.214285714285714,0.249503968253968
"contrast","unreliable","adjective","other","test","small","bird",1,0.0714285714285714,0,0.214285714285714,0.402777777777778
"contrast","unreliable","adjective","target","test","small","bottle",1,0.8,0.6,1,0.386904761904762
"contrast","unreliable","adjective","competitor","test","small","bottle",1,0,0,0,0.243055555555556
"contrast","unreliable","adjective","other","test","small","bottle",1,0.2,0,0.4,0.370039682539683
"contrast","unreliable","adjective","target","test","small","cat",1,0.785714285714286,0.571428571428571,1,0.331845238095238
"contrast","unreliable","adjective","competitor","test","small","cat",1,0.0714285714285714,0,0.214285714285714,0.242559523809524
"contrast","unreliable","adjective","other","test","small","cat",1,0.142857142857143,0,0.357142857142857,0.425595238095238
"contrast","unreliable","adjective","target","test","small","cookie",1,0.642857142857143,0.357142857142857,0.857142857142857,0.218253968253968
"contrast","unreliable","adjective","competitor","test","small","cookie",1,0.142857142857143,0,0.357142857142857,0.364087301587302
"contrast","unreliable","adjective","other","test","small","cookie",1,0.214285714285714,0,0.428571428571429,0.41765873015873
"contrast","unreliable","adjective","target","test","small","fish",1,0.857142857142857,0.642857142857143,1,0.48857994041708
"contrast","unreliable","adjective","competitor","test","small","fish",1,0,0,0,0.201092353525323
"contrast","unreliable","adjective","other","test","small","fish",1,0.142857142857143,0,0.357142857142857,0.310327706057597
