"condition","size","gender","quarter","surprisal","correlation","P"
"all","big","boy",1,1.8073549220576,0.85,0.00049
"all","big","boy",1,1.8073549220576,0.85,0.00049
"all","big","boy",1,1.8073549220576,0.85,0.00049
"all","big","boy",1,1.8073549220576,0.85,0.00049
"all","big","girl",1,1.63226821549951,0.89,9e-05
"all","big","girl",1,1.63226821549951,0.89,9e-05
"all","big","girl",1,1.63226821549951,0.89,9e-05
"all","small","boy",4,2.35755200461808,0.79,9e-05
"all","small","boy",4,2.35755200461808,0.79,9e-05
"all","small","boy",4,2.35755200461808,0.79,9e-05
"all","small","girl",4,3.58496250072116,0.72,0.00079
"all","small","girl",4,3.58496250072116,0.72,0.00079
"all","small","girl",4,3.58496250072116,0.72,0.00079
"all","small","girl",4,3.58496250072116,0.72,0.00079
"all","small","girl",4,3.58496250072116,0.72,0.00079
"all","small","girl",4,3.58496250072116,0.72,0.00079
"number","big","boy",1,0.559427408614019,0.99,0.08574
"number","big","boy",1,0.559427408614019,0.99,0.08574
"number","big","boy",1,0.559427408614019,0.99,0.08574
"number","big","boy",1,0.559427408614019,0.99,0.08574
"number","big","boy",4,1,0.92,0.00831
"number","big","boy",4,1,0.92,0.00831
"number","big","boy",4,1,0.92,0.00831
"number","big","boy",4,1,0.92,0.00831
"number","big","boy",4,1,0.92,0.00831
"number","big","girl",1,0.713695814843359,0.91,0.00057
"number","big","girl",1,0.713695814843359,0.91,0.00057
"number","big","girl",1,0.713695814843359,0.91,0.00057
"number","big","girl",1,0.713695814843359,0.91,0.00057
"number","big","girl",1,0.713695814843359,0.91,0.00057
"number","big","girl",4,0.671377252538629,0.94,0.00015
"number","big","girl",4,0.671377252538629,0.94,0.00015
"number","big","girl",4,0.671377252538629,0.94,0.00015
"number","big","girl",4,0.671377252538629,0.94,0.00015
"number","big","girl",4,0.671377252538629,0.94,0.00015
"number","big","girl",4,0.671377252538629,0.94,0.00015
"number","small","boy",1,0.971985623830404,0.96,4e-05
"number","small","boy",1,0.971985623830404,0.96,4e-05
"number","small","boy",1,0.971985623830404,0.96,4e-05
"number","small","boy",1,0.971985623830404,0.96,4e-05
"number","small","boy",1,0.971985623830404,0.96,4e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","boy",4,0.570315724756755,0.92,3e-05
"number","small","girl",1,0.874469117916141,1,0.03272
"number","small","girl",1,0.874469117916141,1,0.03272
"number","small","girl",1,0.874469117916141,1,0.03272
"number","small","girl",1,0.874469117916141,1,0.03272
"number","small","girl",4,0.652076696579693,0.94,0.00592
"number","small","girl",4,0.652076696579693,0.94,0.00592
"number","small","girl",4,0.652076696579693,0.94,0.00592
"number","small","girl",4,0.652076696579693,0.94,0.00592
"some","big","boy",4,3.32192809488736,0.83,2e-05
"some","big","boy",4,3.32192809488736,0.83,2e-05
"some","big","boy",4,3.32192809488736,0.83,2e-05
"some","big","boy",4,3.32192809488736,0.83,2e-05
"some","big","girl",4,3.75488750216347,0.79,0.00215
"some","big","girl",4,3.75488750216347,0.79,0.00215
"some","big","girl",4,3.75488750216347,0.79,0.00215
"some","big","girl",4,3.75488750216347,0.79,0.00215
"some","small","boy",1,2.76553474636298,0.63,0.02813
"some","small","boy",1,2.76553474636298,0.63,0.02813
"some","small","boy",1,2.76553474636298,0.63,0.02813
"some","small","boy",1,2.76553474636298,0.63,0.02813
"some","small","boy",1,2.76553474636298,0.63,0.02813
"some","small","girl",1,2.84130225398094,0.68,0.01443
"some","small","girl",1,2.84130225398094,0.68,0.01443
"some","small","girl",1,2.84130225398094,0.68,0.01443
"some","small","girl",1,2.84130225398094,0.68,0.01443
"some","small","girl",1,2.84130225398094,0.68,0.01443
