"size","detUsed","quarter","mean_surprisal","CI.Low","CI.High"
"big","all",1,5.13621567770813,1.7840949321085,2.41466781104245
"big","all",4,3.74849962607302,0.318132223208511,0.343992103755474
"big","noDet",1,4.43693630675537,1.07013948880337,1.70288904042883
"big","noDet",4,3.2704191598925,0.359023931868122,0.380566369007367
"big","num",1,1.87474341243147,0.184046090034819,0.198256212330973
"big","num",4,1.83962978094782,0.134505085603988,0.153752781198173
"big","other",1,11.280427047194,2.0235252073135,2.0072853323554
"big","other",4,9.08976685273195,2.22480165712796,2.1855155264511
"big","some",1,6.01709815828601,1.5350541792589,2.20793235927913
"big","some",4,9.04703090996304,2.22618925867983,2.23811143126153
"small","all",1,3.98768284226216,0.403247986810088,0.466634639690696
"small","all",4,5.78141606609791,1.61460548387165,2.16876139651119
"small","noDet",1,3.78304288528081,0.426420502527109,0.449794811517487
"small","noDet",4,3.28152190990113,0.246394656026805,0.210869243437854
"small","num",1,1.78643641047607,0.254862716941101,0.275294529869419
"small","num",4,1.83104099666511,0.190433125834947,0.243520240121228
"small","other",1,10.4695438918789,2.21411906448997,2.08851932537755
"small","other",4,8.94996383248109,2.2058671472889,2.23984131127543
"small","some",1,5.17003090109537,1.08203871359793,1.6159480018028
"small","some",4,10.4643452215501,2.19373684119261,2.09560686401005
