"condition","size","gender","surprisal","correlation","P"
"all","big","boy",20.5261171188745,0.94,0
"all","big","girl",20.5068809000116,0.92,0
"all","small","boy",20.535639892993,0.84,0
"all","small","girl",20.535639892993,0.79,0
"number","big","boy",0.634715535918256,0.95,0
"number","big","girl",0.665580960929441,0.95,0
"number","small","boy",0.565597175854225,0.95,0
"number","small","girl",0.646890249864358,0.96,0
"some","big","boy",5.24792751344359,0.91,0
"some","big","girl",4.88752527074159,0.87,0
"some","small","boy",4.8972404255748,0.84,0
"some","small","girl",5.65344223860392,0.86,0
