,workerid,proliferate.condition,ExpFiller,Intro_object,Prime,Res_object,competitor1,competitor2,condition,condition1,correctAns1,correctAns2,determiner,determiner1,displayID,display_type,figure,instruction1,instruction3,list,location1,location10,location2,location3,location4,location5,location6,location7,location8,location9,object1,object2,object3,object4,practiceTrialType,practice_trial_number,prime,response,response_times,setting,size,size1,target1,target2,target_figure1,target_figure3,target_object1,target_object3,trial_number,error,genderUsed,correctGender,correctNoun,detUsed,correctDet
0,54,List1,Prac,kitchware_Amy_Monday,,Residue_kitchen,4,,,num,AOI3,AOI9,,three,5,44-22,Amy,Click on the girl that has three of Amy's knives,,,2_spoons,girl,3_forks,3_knives,2_plates,1_fork,1_knife,boy,boy,girl,knives,D4_forks,D2_spoons,D4_knives,production practice,1.0,GirlThreeAmyknives,girl with three knives,,kitchenwares,,big,3,,girl,,3_knives,,,,girl,0,0,three,0
1,54,List1,Prac,kitchware_Amy_Tuesday,,Slience,2,,,some,AOI4,AOI10,,some,6,33-33,Amy,Click on the girl that has some of Amy's forks,,,3_spoons,girl,2_knives,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,forks,D3_forks,D3_spoons,D3_knives,production practice,2.0,GirlSomeAmyforks,girl with two forks,,kitchenwares,,big,4,,girl,,2_forks,,,,girl,0,0,two,0
2,54,List1,Exp,,BoySomeSusanPears,,2,8.0,some,,AOI1,AOI7,some,,1,33-33,Susan's,,Click on the boy that has some of Susan's pears,1.0,2_pears,girl,3_bananas,2_apples,3_oranges,1_apple,1_pear,boy,boy,girl,,,,,,,,child with the two green pears,18672.0,fruit,small,,1,7.0,,boy,,2_pears,1.0,,noGender,1,1,two,1
3,54,List1,Exp,,GirlAllAmySpoons,,4,10.0,all,,AOI3,AOI9,all,,36,44-22,Amy's,,Click on the girl that has all of Amy's spoons,1.0,3_plates,girl,2_knives,2_spoons,3_forks,1_plate,1_fork,boy,boy,girl,,,,,,,,child with the spoons,12474.0,kitchenwares,small,,3,9.0,,girl,,2_spoons,2.0,,noGender,1,1,noDet,1
4,54,List1,Exp,,GirlAllAmyPlates,,3,9.0,all,,AOI4,AOI10,all,,35,44-22,Amy's,,Click on the girl that has all of Amy's plates,1.0,3_spoons,girl,2_forks,3_knives,2_plates,1_spoon,1_knife,boy,boy,girl,,,,,,,,child with the plates,13014.0,kitchenwares,small,,4,10.0,,girl,,2_plates,3.0,,noGender,1,1,noDet,1
5,54,List1,Exp,,BoyAllMichaelScissors,,2,8.0,all,,AOI1,AOI7,all,,7,33-33,Michael's,,Click on the boy that has all of Michael's scissors,1.0,3_scissors,girl,2_pencils,3_erasers,2_rulers,1_pencil,1_ruler,boy,boy,girl,,,,,,,,child with three scissors,23751.0,stationeries,big,,1,7.0,,boy,,3_scissors,4.0,,noGender,1,1,three,1
6,54,List1,Exp,,BoyThreeMichaelErasers,,1,7.0,num,,AOI2,AOI8,three,,27,44-22,Michael's,,Click on the boy that has three of Michael's erasers,1.0,2_rulers,girl,3_erasers,2_scissors,3_pencils,1_pencil,1_eraser,boy,boy,girl,,,,,,,,child with three erasers,5968.0,stationeries,big,,2,8.0,,boy,,3_erasers,5.0,,noGender,1,1,three,1
7,54,List1,Filler,,GirlOneSusanPears,,3,9.0,one,,AOI4,AOI10,one,,42,33-33,Susan's,,Click on the girl that has one of Susan's pears,1.0,3_bananas,girl,3_oranges,3_apples,1_pear,2_pears,0,boy,boy,girl,,,,,,,,child with one pear,4737.0,fruit,small,,4,10.0,,girl,,1_pear,6.0,,noGender,1,1,one,1
8,54,List1,Exp,,GirlSomeAmyForks,,4,10.0,some,,AOI3,AOI9,some,,34,44-22,Amy's,,Click on the girl that has some of Amy's forks,1.0,2_spoons,girl,3_plates,3_forks,2_knives,1_fork,1_plate,boy,boy,girl,,,,,,,,child with three forks,4941.0,kitchenwares,big,,3,9.0,,girl,,3_forks,7.0,,noGender,1,1,three,1
9,54,List1,Filler,,GirlFourSusanOranges,,4,10.0,four,,AOI3,AOI9,four,,45,44-22,Susan's,,Click on the girl that has four of Susan's oranges,1.0,2_pears,girl,3_apples,4_oranges,1_banana,1_banana,1_apple,boy,boy,girl,,,,,,,,child with four oranges,5345.0,fruit,big,,3,9.0,,girl,,4_oranges,8.0,,noGender,1,1,four,1
10,54,List1,Exp,,GirlSomeSusanApples,,4,10.0,some,,AOI3,AOI9,some,,20,44-22,Susan's,,Click on the girl that has some of Susan's apples,1.0,3_pears,girl,2_bananas,3_apples,2_oranges,1_apple,1_pear,boy,boy,girl,,,,,,,,child with three apples,9816.0,fruit,big,,3,9.0,,girl,,3_apples,9.0,,noGender,1,1,three,1
11,54,List1,Exp,,GirlSomeMichaelRulers,,3,9.0,some,,AOI4,AOI10,some,,30,44-22,Michael's,,Click on the girl that has some of Michael's rulers,1.0,3_erasers,girl,2_pencils,2_scissors,3_rulers,1_ruler,1_eraser,boy,boy,girl,,,,,,,,child with three rulers,4455.0,stationeries,big,,4,10.0,,girl,,3_rulers,10.0,,noGender,1,1,three,1
12,54,List1,Exp,,BoyTwoSusanApples,,2,8.0,num,,AOI1,AOI7,two,,24,44-22,Susan's,,Click on the boy that has two of Susan's apples,1.0,2_apples,girl,3_pears,3_bananas,2_oranges,1_banana,1_pear,boy,boy,girl,,,,,,,,child with two apples,4768.0,fruit,small,,1,7.0,,boy,,2_apples,11.0,,noGender,1,1,two,1
13,54,List1,Filler,,GirlFourMichaelPencils,,3,9.0,four,,AOI4,AOI10,four,,48,44-22,Michael's,,Click on the girl that has four of Michael's pencils,1.0,1_ruler,girl,2_erasers,3_scissors,4_pencils,1_ruler,1_scissor,boy,boy,girl,,,,,,,,child with four pens,6841.0,stationeries,big,,4,10.0,,girl,,4_pencils,12.0,,noGender,1,0,four,1
14,54,List1,Exp,,BoyThreeAmyKnives,,1,7.0,num,,AOI2,AOI8,three,,14,33-33,Amy's,,Click on the boy that has three of Amy's knives,1.0,2_spoons,girl,3_knives,2_plates,3_forks,1_spoon,1_plate,boy,boy,girl,,,,,,,,child with three knives,5152.0,kitchenwares,big,,2,8.0,,boy,,3_knives,13.0,,noGender,1,1,three,1
15,54,List1,Exp,,GirlThreeSusanPears,,3,9.0,num,,AOI4,AOI10,three,,6,33-33,Susan's,,Click on the girl that has three of Susan's pears,1.0,2_oranges,girl,3_bananas,2_apples,3_pears,1_apple,1_orange,boy,boy,girl,,,,,,,,child with three pears,6560.0,fruit,big,,4,10.0,,girl,,3_pears,14.0,,noGender,1,1,three,1
16,54,List1,Exp,,GirlThreeSusanOranges,,4,10.0,num,,AOI3,AOI9,three,,23,44-22,Susan's,,Click on the girl that has three of Susan's oranges,1.0,3_apples,girl,2_pears,3_oranges,2_bananas,1_apple,1_orange,boy,boy,girl,,,,,,,,child with three oranges,5287.0,fruit,big,,3,9.0,,girl,,3_oranges,15.0,,noGender,1,1,three,1
