,workerid,proliferate.condition,ExpFiller,Intro_object,Prime,Res_object,clicking_practice_trial_number,competitor1,competitor2,condition,condition1,correctAns1,correctAns2,determiner,determiner1,displayID,display_type,figure,instruction1,instruction3,list,location1,location10,location2,location3,location4,location5,location6,location7,location8,location9,object1,object2,object3,object4,practiceTrialType,practice_trial_number,prime,response,response_times,setting,size,size1,target1,target2,target_figure1,target_figure3,target_object1,target_object3,trial_number,error,genderUsed,correctGender,correctNoun,detUsed,correctDet
0,120,List1,Prac,Fruit_Susan_Monday,,Fruit_residue,1.0,2,,,two,AOI1,AOI7,,two,1,33-33,Susan,Click on the boy that has two of Susan's apples,,,2_apples,girl,3_bananas,2_pears,3_oranges,1_apple,1_pear,boy,boy,girl,apples,D3_pears,D3_bananas,D3_oranges,clicking practice,,BoyTwoSusanapples,"['aoi9', 'aoi7', 'aoi7', 'aoi7']",,fruit,,small,1,,boy,,2_apples,,,,noGender,1,0,noDet,1
1,120,List1,Prac,Fruit_Susan_Tuesday,,Slience,2.0,1,,,some,AOI3,AOI9,,some,2,44-22,Susan,Click on the girl that has some of Susan's apples,,,3_bananas,girl,2_pears,3_apples,2_oranges,1_apple,1_banana,boy,boy,girl,apples,D2_pears,D4_bananas,D2_oranges,clicking practice,,GirlSomeSusanapples,"['aoi7', 'aoi9', 'aoi10', 'aoi9']",,fruit,,small,3,,girl,,3_apples,,,,noGender,1,0,one,0
2,120,List1,Prac,Stationary_Michael_Monday,,Residue_stationary,3.0,4,,,num,AOI1,AOI7,,three,3,33-33,Michael,Click on the boy that has three of Michael's scissors,,,3_scissors,girl,2_pencils,3_erasers,2_rulers,1_pencil,1_ruler,boy,boy,girl,erasers,D3_pencils,D3_erasers,D3_rulers,clicking practice,,BoyThreeMichaelscissors,"['aoi8', 'aoi8', 'aoi8', 'aoi7']",,office supplies,,big,1,,boy,,3_scissors,,,,noGender,1,0,noDet,1
3,120,List1,Prac,Stationary_Michael_Tuesday,,Residue_stationary,4.0,3,,,all,AOI4,AOI10,,all,4,44-22,Michael,Click on the girl that has all of Michael's rulers,,,3_pencils,girl,2_scissors,3_erasers,2_rulers,1_pencil,1_eraser,boy,boy,girl,rulers,D4_pencils,D4_erasers,D2_rulers,clicking practice,,GirlAllMichaelrulers,"['aoi9', 'aoi9', 'aoi10', 'aoi10']",,office supplies,,small,4,,girl,,2_rulers,,,,noGender,1,0,one,0
4,120,List1,Prac,kitchware_Amy_Monday,,Residue_kitchen,,4,,,num,AOI3,AOI9,,three,5,44-22,Amy,Click on the girl that has three of Amy's knives,,,2_spoons,girl,3_forks,3_knives,2_plates,1_fork,1_knife,boy,boy,girl,knives,D4_forks,D2_spoons,D4_knives,production practice,1.0,GirlThreeAmyknives,girl with some of the knives,,kitchenwares,,big,3,,girl,,3_knives,,,,girl,0,0,some,1
5,120,List1,Prac,kitchware_Amy_Tuesday,,Slience,,2,,,some,AOI4,AOI10,,some,6,33-33,Amy,Click on the girl that has some of Amy's forks,,,3_spoons,girl,2_knives,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,forks,D3_forks,D3_spoons,D3_knives,production practice,2.0,GirlSomeAmyforks,girl with forks,,kitchenwares,,big,4,,girl,,2_forks,,,,girl,0,0,noDet,1
6,120,List1,Exp,,GirlAllMichaelErasers,,,4,10.0,all,,AOI3,AOI9,all,,26,44-22,Michael's,,Click on the girl that has all of Michael's erasers,1.0,3_pencils,girl,2_scissors,2_erasers,3_rulers,1_pencil,1_ruler,boy,boy,girl,,,,,,,,girl with erasers,7970.0,stationeries,small,,3,9.0,,girl,,2_erasers,1.0,,girl,1,1,noDet,1
7,120,List1,Exp,,BoyTwoAmySpoons,,,2,8.0,num,,AOI1,AOI7,two,,32,44-22,Amy's,,Click on the boy that has two of Amy's spoons,1.0,2_spoons,girl,3_knives,3_forks,2_plates,1_fork,1_knife,boy,boy,girl,,,,,,,,boy with some spoons,8112.0,kitchenwares,small,,1,7.0,,boy,,2_spoons,2.0,,boy,1,1,some,1
8,120,List1,Exp,,GirlAllSusanBananas,,,4,10.0,all,,AOI3,AOI9,all,,4,33-33,Susan's,,Click on the girl that has all of Susan's bananas,1.0,2_pears,girl,3_apples,3_bananas,2_oranges,1_orange,1_pear,boy,boy,girl,,,,,,,,girl with bananas,7985.0,fruit,big,,3,9.0,,girl,,3_bananas,3.0,,girl,1,1,noDet,1
9,120,List1,Filler,,BoyOneAmyPlates,,,2,8.0,one,,AOI1,AOI7,one,,38,33-33,Amy's,,Click on the boy that has one of Amy's plates,1.0,1_plate,girl,3_knives,3_forks,3_spoons,2_plates,0,boy,boy,girl,,,,,,,,boy with a plate,10470.0,kitchenwares,small,,1,7.0,,boy,,1_plate,4.0,,boy,1,1,a,1
