workerid,proliferate.condition,ExpFiller,Intro_object,Prime,Res_object,competitor1,competitor2,condition,condition1,correctAns1,correctAns2,determiner,determiner1,displayID,display_type,figure,instruction1,instruction3,list,location1,location10,location2,location3,location4,location5,location6,location7,location8,location9,object1,object2,object3,object4,practiceTrialType,practice_trial_number,prime,response,response_times,setting,size,size1,target1,target2,target_figure1,target_figure3,target_object1,target_object3,trial_number,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
54,List1,Prac,kitchware_Amy_Monday,,Residue_kitchen,4,,,num,AOI3,AOI9,,three,5,44-22,Amy,Click on the girl that has three of Amy's knives,,,2_spoons,girl,3_forks,3_knives,2_plates,1_fork,1_knife,boy,boy,girl,knives,D4_forks,D2_spoons,D4_knives,production practice,1,GirlThreeAmyknives,girl with three knives,,kitchenwares,,big,3,,girl,,3_knives,,,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Prac,kitchware_Amy_Tuesday,,Slience,2,,,some,AOI4,AOI10,,some,6,33-33,Amy,Click on the girl that has some of Amy's forks,,,3_spoons,girl,2_knives,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,forks,D3_forks,D3_spoons,D3_knives,production practice,2,GirlSomeAmyforks,girl with two forks,,kitchenwares,,big,4,,girl,,2_forks,,,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,BoySomeSusanPears,,2,8,some,,AOI1,AOI7,some,,1,33-33,Susan's,,Click on the boy that has some of Susan's pears,1,2_pears,girl,3_bananas,2_apples,3_oranges,1_apple,1_pear,boy,boy,girl,,,,,,,,child with the two green pears,18672,fruit,small,,1,7,,boy,,2_pears,1,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,GirlAllAmySpoons,,4,10,all,,AOI3,AOI9,all,,36,44-22,Amy's,,Click on the girl that has all of Amy's spoons,1,3_plates,girl,2_knives,2_spoons,3_forks,1_plate,1_fork,boy,boy,girl,,,,,,,,child with the spoons,12474,kitchenwares,small,,3,9,,girl,,2_spoons,2,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,GirlAllAmyPlates,,3,9,all,,AOI4,AOI10,all,,35,44-22,Amy's,,Click on the girl that has all of Amy's plates,1,3_spoons,girl,2_forks,3_knives,2_plates,1_spoon,1_knife,boy,boy,girl,,,,,,,,child with the plates,13014,kitchenwares,small,,4,10,,girl,,2_plates,3,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,BoyAllMichaelScissors,,2,8,all,,AOI1,AOI7,all,,7,33-33,Michael's,,Click on the boy that has all of Michael's scissors,1,3_scissors,girl,2_pencils,3_erasers,2_rulers,1_pencil,1_ruler,boy,boy,girl,,,,,,,,child with three scissors,23751,stationeries,big,,1,7,,boy,,3_scissors,4,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,BoyThreeMichaelErasers,,1,7,num,,AOI2,AOI8,three,,27,44-22,Michael's,,Click on the boy that has three of Michael's erasers,1,2_rulers,girl,3_erasers,2_scissors,3_pencils,1_pencil,1_eraser,boy,boy,girl,,,,,,,,child with three erasers,5968,stationeries,big,,2,8,,boy,,3_erasers,5,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Filler,,GirlOneSusanPears,,3,9,one,,AOI4,AOI10,one,,42,33-33,Susan's,,Click on the girl that has one of Susan's pears,1,3_bananas,girl,3_oranges,3_apples,1_pear,2_pears,0,boy,boy,girl,,,,,,,,child with one pear,4737,fruit,small,,4,10,,girl,,1_pear,6,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,GirlSomeAmyForks,,4,10,some,,AOI3,AOI9,some,,34,44-22,Amy's,,Click on the girl that has some of Amy's forks,1,2_spoons,girl,3_plates,3_forks,2_knives,1_fork,1_plate,boy,boy,girl,,,,,,,,child with three forks,4941,kitchenwares,big,,3,9,,girl,,3_forks,7,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Filler,,GirlFourSusanOranges,,4,10,four,,AOI3,AOI9,four,,45,44-22,Susan's,,Click on the girl that has four of Susan's oranges,1,2_pears,girl,3_apples,4_oranges,1_banana,1_banana,1_apple,boy,boy,girl,,,,,,,,child with four oranges,5345,fruit,big,,3,9,,girl,,4_oranges,8,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,GirlSomeSusanApples,,4,10,some,,AOI3,AOI9,some,,20,44-22,Susan's,,Click on the girl that has some of Susan's apples,1,3_pears,girl,2_bananas,3_apples,2_oranges,1_apple,1_pear,boy,boy,girl,,,,,,,,child with three apples,9816,fruit,big,,3,9,,girl,,3_apples,9,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,GirlSomeMichaelRulers,,3,9,some,,AOI4,AOI10,some,,30,44-22,Michael's,,Click on the girl that has some of Michael's rulers,1,3_erasers,girl,2_pencils,2_scissors,3_rulers,1_ruler,1_eraser,boy,boy,girl,,,,,,,,child with three rulers,4455,stationeries,big,,4,10,,girl,,3_rulers,10,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,BoyTwoSusanApples,,2,8,num,,AOI1,AOI7,two,,24,44-22,Susan's,,Click on the boy that has two of Susan's apples,1,2_apples,girl,3_pears,3_bananas,2_oranges,1_banana,1_pear,boy,boy,girl,,,,,,,,child with two apples,4768,fruit,small,,1,7,,boy,,2_apples,11,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Filler,,GirlFourMichaelPencils,,3,9,four,,AOI4,AOI10,four,,48,44-22,Michael's,,Click on the girl that has four of Michael's pencils,1,1_ruler,girl,2_erasers,3_scissors,4_pencils,1_ruler,1_scissor,boy,boy,girl,,,,,,,,child with four pens,6841,stationeries,big,,4,10,,girl,,4_pencils,12,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
54,List1,Exp,,BoyThreeAmyKnives,,1,7,num,,AOI2,AOI8,three,,14,33-33,Amy's,,Click on the boy that has three of Amy's knives,1,2_spoons,girl,3_knives,2_plates,3_forks,1_spoon,1_plate,boy,boy,girl,,,,,,,,child with three knives,5152,kitchenwares,big,,2,8,,boy,,3_knives,13,[],43,Yes,,4,1,$3,Male,English,no,Chrome,Windows,1080,1920,6.857083333333334,
