,workerid,proliferate.condition,ExpFiller,Intro_object,Prime,Res_object,clicking_practice_trial_number,competitor1,competitor2,condition,condition1,correctAns1,correctAns2,determiner,determiner1,displayID,display_type,figure,instruction1,instruction3,list,location1,location10,location2,location3,location4,location5,location6,location7,location8,location9,object1,object2,object3,object4,practiceTrialType,practice_trial_number,prime,response,response_times,setting,size,size1,target1,target2,target_figure1,target_figure3,target_object1,target_object3,trial_number,error,genderUsed,correctGender,correctNoun,detUsed,correctDet
0,6,condition1,Prac,Fruit_Susan_Monday,,Fruit_residue,1,2,,,two,AOI1,AOI7,,two,1,33-33,Susan,Click on the boy that has two of Susan's apples,,,2_apples,girl,3_bananas,2_pears,3_oranges,1_apple,1_pear,boy,boy,girl,apples,D3_pears,D3_bananas,D3_oranges,clicking practice,,BoyTwoSusanapples,"['AOI9', 'AOI7', 'AOI7', 'AOI7']",,fruit,,small,1,,boy,,2_apples,,,,noGender,1,0,0,1
1,6,condition1,Prac,Fruit_Susan_Tuesday,,Slience,2,1,,,some,AOI3,AOI9,,some,2,44-22,Susan,Click on the girl that has some of Susan's apples,,,3_bananas,girl,2_pears,3_apples,2_oranges,1_apple,1_banana,boy,boy,girl,apples,D2_pears,D4_bananas,D2_oranges,clicking practice,,GirlSomeSusanapples,"['AOI7', 'AOI10', 'AOI10', 'AOI10']",,fruit,,small,3,,girl,,3_apples,,,,noGender,1,0,0,1
2,6,condition1,Prac,Stationary_Michael_Monday,,Residue_stationary,3,4,,,num,AOI1,AOI7,,three,3,33-33,Michael,Click on the boy that has three of Michael's scissors,,,3_scissors,girl,2_pencils,3_erasers,2_rulers,1_pencil,1_ruler,boy,boy,girl,erasers,D3_pencils,D3_erasers,D3_rulers,clicking practice,,BoyThreeMichaelscissors,"['AOI10', 'AOI8', 'AOI8', 'AOI7']",,office supplies,,big,1,,boy,,3_scissors,,,,noGender,1,0,0,1
3,6,condition1,Prac,Stationary_Michael_Tuesday,,Residue_stationary,4,3,,,all,AOI4,AOI10,,all,4,44-22,Michael,Click on the girl that has all of Michael's rulers,,,3_pencils,girl,2_scissors,3_erasers,2_rulers,1_pencil,1_eraser,boy,boy,girl,rulers,D4_pencils,D4_erasers,D2_rulers,clicking practice,,GirlAllMichaelrulers,"['AOI9', 'AOI9', 'AOI9', 'AOI10']",,office supplies,,small,4,,girl,,2_rulers,,,,noGender,1,0,0,1
4,6,condition1,Prac,kitchware_Amy_Monday,,Residue_kitchen,,4,,,num,AOI3,AOI9,,three,5,44-22,Amy,Click on the girl that has three of Amy's knives,,,2_spoons,girl,3_forks,3_knives,2_plates,1_fork,1_knife,boy,boy,girl,knives,D4_forks,D2_spoons,D4_knives,production practice,1,GirlThreeAmyknives,girl,,kitchenwares,,big,3,,girl,,3_knives,,,,girl,0,0,noDet,1
5,6,condition1,Prac,kitchware_Amy_Tuesday,,Slience,,2,,,some,AOI4,AOI10,,some,6,33-33,Amy,Click on the girl that has some of Amy's forks,,,3_spoons,girl,2_knives,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,forks,D3_forks,D3_spoons,D3_knives,production practice,2,GirlSomeAmyforks,girl with the knives,,kitchenwares,,big,4,,girl,,2_forks,,,,girl,0,0,noDet,1
6,6,condition1,Exp,,BoyTwoAmySpoons,,,2,8,num,,AOI1,AOI7,two,,32,44-22,Amy's,,Click on the boy that has two of Amy's spoons,1,2_spoons,girl,3_knives,3_forks,2_plates,1_fork,1_knife,boy,boy,girl,,,,,,,,boy with the spoons,5103,kitchenwares,small,,1,7,,boy,,2_spoons,1,,boy,1,1,noDet,1
7,6,condition1,Exp,,GirlTwoAmyForks,,,3,9,num,,AOI4,AOI10,two,,13,33-33,Amy's,,Click on the girl that has two of Amy's forks,1,2_knives,girl,3_spoons,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,,,,,,,,girl with the knife,4063,kitchenwares,small,,4,10,,girl,,2_forks,2,,girl,1,0,noDet,1
8,6,condition1,Exp,,BoyTwoMichaelPencils,,,1,7,num,,AOI2,AOI8,two,,28,44-22,Michael's,,Click on the boy that has two of Michael's pencils,1,3_scissors,girl,2_pencils,2_erasers,3_rulers,1_ruler,1_scissor,boy,boy,girl,,,,,,,,boy with the pencils,3733,stationeries,small,,2,8,,boy,,2_pencils,3,,boy,1,1,noDet,1
9,6,condition1,Exp,,BoyTwoSusanApples,,,2,8,num,,AOI1,AOI7,two,,24,44-22,Susan's,,Click on the boy that has two of Susan's apples,1,2_apples,girl,3_pears,3_bananas,2_oranges,1_banana,1_pear,boy,boy,girl,,,,,,,,boy with the apples,3440,fruit,small,,1,7,,boy,,2_apples,4,,boy,1,1,noDet,1
10,6,condition1,Filler,,GirlFourMichaelPencils,,,3,9,four,,AOI4,AOI10,four,,48,44-22,Michael's,,Click on the girl that has four of Michael's pencils,1,1_ruler,girl,2_erasers,3_scissors,4_pencils,1_ruler,1_scissor,boy,boy,girl,,,,,,,,girl with the pencils,4048,stationeries,big,,4,10,,girl,,4_pencils,5,,girl,1,1,noDet,1
11,6,condition1,Exp,,GirlAllMichaelRulers,,,3,9,all,,AOI4,AOI10,all,,8,33-33,Michael's,,Click on the girl that has all of Michael's rulers,1,2_scissors,girl,3_pencils,2_erasers,3_rulers,1_eraser,1_scissor,boy,boy,girl,,,,,,,,girl with the rulers,4070,stationeries,big,,4,10,,girl,,3_rulers,6,,girl,1,1,noDet,1
12,6,condition1,Filler,,GirlFourSusanOranges,,,4,10,four,,AOI3,AOI9,four,,45,44-22,Susan's,,Click on the girl that has four of Susan's oranges,1,2_pears,girl,3_apples,4_oranges,1_banana,1_banana,1_apple,boy,boy,girl,,,,,,,,girl with the oranges,3854,fruit,big,,3,9,,girl,,4_oranges,7,,girl,1,1,noDet,1
13,6,condition1,Exp,,BoyAllSusanPears,,,1,7,all,,AOI2,AOI8,all,,3,33-33,Susan's,,Click on the boy that has all of Susan's pears,1,2_apples,girl,3_pears,2_bananas,3_oranges,1_apple,1_banana,boy,boy,girl,,,,,,,,boy with the pears,4663,fruit,big,,2,8,,boy,,3_pears,8,,boy,1,1,noDet,1
14,6,condition1,Exp,,GirlSomeSusanApples,,,4,10,some,,AOI3,AOI9,some,,20,44-22,Susan's,,Click on the girl that has some of Susan's apples,1,3_pears,girl,2_bananas,3_apples,2_oranges,1_apple,1_pear,boy,boy,girl,,,,,,,,girl with the apples,5338,fruit,big,,3,9,,girl,,3_apples,9,,girl,1,1,noDet,1
15,6,condition1,Filler,,GirlFourAmyKnives,,,4,10,four,,AOI3,AOI9,four,,46,44-22,Amy's,,Click on the girl that has four of Amy's knives,1,1_spoon,girl,3_plates,4_knives,2_forks,1_spoon,1_plate,boy,boy,girl,,,,,,,,girl with the knives,4078,kitchenwares,big,,3,9,,girl,,4_knives,10,,girl,1,1,noDet,1
16,6,condition1,Exp,,GirlAllMichaelPencils,,,3,9,all,,AOI4,AOI10,all,,25,44-22,Michael's,,Click on the girl that has all of Michael's pencils,1,3_erasers,girl,2_rulers,3_scissors,2_pencils,1_eraser,1_scissor,boy,boy,girl,,,,,,,,girl with the pencils,4709,stationeries,small,,4,10,,girl,,2_pencils,11,,girl,1,1,noDet,1
17,6,condition1,Filler,,BoyFourMichaelScissors,,,2,8,four,,AOI1,AOI7,four,,43,44-22,Michael's,,Click on the boy that has four of Michael's scissors,1,4_scissors,girl,1_pencil,2_rulers,3_erasers,1_pencil,1_eraser,boy,boy,girl,,,,,,,,boy with the scissors,5530,stationeries,big,,1,7,,boy,,4_scissors,12,,boy,1,1,noDet,1
18,6,condition1,Exp,,GirlTwoSusanBananas,,,3,9,num,,AOI4,AOI10,two,,5,33-33,Susan's,,Click on the girl that has two of Susan's bananas,1,2_pears,girl,3_apples,3_oranges,2_bananas,1_banana,1_pear,boy,boy,girl,,,,,,,,girl with the bananas,7981,fruit,small,,4,10,,girl,,2_bananas,13,,girl,1,1,noDet,1
19,6,condition1,Exp,,GirlThreeSusanOranges,,,4,10,num,,AOI3,AOI9,three,,23,44-22,Susan's,,Click on the girl that has three of Susan's oranges,1,3_apples,girl,2_pears,3_oranges,2_bananas,1_apple,1_orange,boy,boy,girl,,,,,,,,girl with the oranges,17587,fruit,big,,3,9,,girl,,3_oranges,14,,girl,1,1,noDet,1
20,6,condition1,Filler,,BoyOneAmySpoons,,,1,7,one,,AOI2,AOI8,one,,39,33-33,Amy's,,Click on the boy that has one of Amy's spoons,1,3_forks,girl,1_spoon,3_plates,3_knives,2_spoons,0,boy,boy,girl,,,,,,,,boy with the spoon ,3094,kitchenwares,small,,2,8,,boy,,1_spoon,15,,boy,1,1,noDet,1
21,6,condition1,Exp,,BoyThreeMichaelErasers,,,1,7,num,,AOI2,AOI8,three,,27,44-22,Michael's,,Click on the boy that has three of Michael's erasers,1,2_rulers,girl,3_erasers,2_scissors,3_pencils,1_pencil,1_eraser,boy,boy,girl,,,,,,,,boy with rubbers,4325,stationeries,big,,2,8,,boy,,3_erasers,16,,boy,1,1,noDet,1
22,6,condition1,Filler,,GirlOneMichaelErasers,,,4,10,one,,AOI3,AOI9,one,,41,33-33,Michael's,,Click on the girl that has one of Michael's erasers,1,3_pencils,girl,3_scissors,1_eraser,3_rulers,2_erasers,0,boy,boy,girl,,,,,,,,girl with the rubber,4004,stationeries,small,,3,9,,girl,,1_eraser,17,,girl,1,1,noDet,1
23,6,condition1,Exp,,GirlThreeMichaelScissors,,,4,10,num,,AOI3,AOI9,three,,10,33-33,Michael's,,Click on the girl that has three of Michael's scissors,1,3_rulers,girl,2_erasers,3_scissors,2_pencils,1_pencil,1_eraser,boy,boy,girl,,,,,,,,girl with the scissors,8851,stationeries,big,,3,9,,girl,,3_scissors,18,,girl,1,1,noDet,1
24,6,condition1,Exp,,GirlSomeSusanBananas,,,3,9,some,,AOI4,AOI10,some,,19,44-22,Susan's,,Click on the girl that has some of Susan's bananas,1,3_oranges,girl,2_apples,2_pears,3_bananas,1_banana,1_orange,boy,boy,girl,,,,,,,,girl with the bananas,7128,fruit,big,,4,10,,girl,,3_bananas,19,,girl,1,1,noDet,1
25,6,condition1,Exp,,GirlSomeAmyForks,,,4,10,some,,AOI3,AOI9,some,,34,44-22,Amy's,,Click on the girl that has some of Amy's forks,1,2_spoons,girl,3_plates,3_forks,2_knives,1_fork,1_plate,boy,boy,girl,,,,,,,,girl with the forks,3601,kitchenwares,big,,3,9,,girl,,3_forks,20,,girl,1,1,noDet,1
