"Participant","Language","Delta"
"P01","Catalan",-0.0633876295929748
"P01","Hindi",-0.0103035012159367
"P01","Hungarian",0.00357127818071351
"P02","Catalan",-0.189558484237316
"P02","Hindi",0.135653477086863
"P02","Hungarian",0.0213471299481613
"P03","Catalan",-0.0789659811024133
"P03","Hindi",0.0979660017759604
"P03","Wolof",-0.0221349281762586
"P04","Catalan",-0.162834170977302
"P04","Hindi",0.0395962732919254
"P04","Hungarian",0.05301685891748
"P04","Wolof",-0.0859667992907825
"P05","Catalan",-0.107733719877324
"P05","Hindi",-0.0231292517006803
"P05","Hungarian",-0.0502501725327812
"P05","Wolof",-0.174586257947681
"P06","Catalan",-0.194041834340342
"P06","Hindi",-0.0167433170451279
"P06","Hungarian",0.122969393128499
"P06","Wolof",-0.155201813799739
"P07","Catalan",-0.141214638930328
"P07","Hindi",-0.0832102421409403
"P07","Hungarian",-0.0179454224905118
"P07","Wolof",-0.162351771407304
"P08","Catalan",-0.103019699553961
"P08","Hindi",-0.0650005811219167
"P08","Wolof",-0.139779529357015
"P09","Catalan",-0.0552083598028481
"P09","Hindi",0.0386063302660111
"P09","Hungarian",0.00761394721125069
"P10","Catalan",-0.1276872923947
"P10","Hindi",0.105659779886722
"P10","Hungarian",0.00922486122018401
"P10","Wolof",-0.00671533279919284
"P11","Catalan",-0.0935812625788811
"P11","Hindi",0.0706960439783159
"P11","Hungarian",-0.0945781573498964
"P11","Wolof",-0.0829817065822993
"P12","Catalan",-0.0795960480493108
"P12","Hindi",0.0565686019265816
"P12","Hungarian",0.0356712432105417
"P13","Catalan",-0.0599401927509496
"P13","Hindi",-0.0532993816829866
"P13","Hungarian",0.0305756856345838
"P13","Wolof",-0.114579657969385
"P14","Catalan",-0.071586168536201
"P14","Hindi",0.107112416512607
"P14","Hungarian",0.0787180814354727
"P15","Catalan",-0.142667955336848
"P15","Hindi",-0.140272190680772
"P15","Hungarian",0.0980768834752525
"P15","Wolof",-0.0612305902551264
"P16","Catalan",-0.141983186994394
"P16","Hindi",0.0721709995384802
"P16","Hungarian",0.0408511904761905
"P16","Wolof",-0.0785207700101317
"P17","Catalan",-0.0713254547655677
"P17","Hindi",0.098917166049219
"P17","Hungarian",-0.00149313332291612
"P17","Wolof",-0.213887642878754
"P18","Catalan",-0.151090982800145
"P18","Hindi",-0.0101862767451181
"P18","Hungarian",0.00398953089836263
"P18","Wolof",-0.0824301693500974
"P19","Catalan",-0.122198316153707
"P19","Hindi",0.0294847092021995
"P19","Hungarian",-0.0205883187174153
"P19","Wolof",-0.123503982571993
"P20","Catalan",-0.021912950837808
"P20","Hindi",0.0150028075649202
"P20","Hungarian",0.0314214637037436
"P20","Wolof",-0.039183189556069
"P21","Catalan",-0.108903933466125
"P21","Hindi",0.0944718360345302
"P21","Hungarian",0.0987433026483465
"P21","Wolof",-0.0926538309847031
"P22","Catalan",-0.127553552324826
"P22","Hindi",-0.0136840214633708
"P22","Hungarian",0.0649357711018785
"P22","Wolof",-0.19147822264013
"P23","Catalan",-0.105399451054253
"P23","Hindi",0.0894325738953879
"P23","Hungarian",0.0153730986411407
"P23","Wolof",-0.0711970331775224
"P24","Catalan",-0.106450588734183
"P24","Hindi",0.0812778407112852
"P24","Hungarian",-0.00741504392226383
"P24","Wolof",-0.043664562148471
"P25","Catalan",-0.0281931064058425
"P25","Hindi",-0.043114901956857
"P25","Hungarian",-0.0679372000065978
"P25","Wolof",-0.120117542946578
"P26","Hindi",0.00973306830343396
"P26","Hungarian",-0.106392295540855
"P27","Hindi",0.0494824148904192
"P27","Hungarian",0.10063300365561
"P27","Wolof",0.0650610075330907
"P28","Hungarian",-0.0370293082947919
"P28","Wolof",-0.164832388411624
"P29","Hungarian",-0.0638005188347444
"P29","Wolof",-0.0582104248430133
"P30","Hungarian",0.0239230615107193
"P30","Wolof",-0.100385277527138
"P31","Hungarian",0.110867049785036
"P31","Wolof",-0.193275537622017
"P32","Wolof",-0.0733089485845511
