 trial,counterbalance,trialType,trialID,cond,target_pic,target_contrast_good,target_contrast_bad,big_filler,small_filler,target_rotation,modifier,production_list
1,l2,test,test1,contrast,hammer_small.jpg,hammer_big.jpg,hammer_big.jpg,cork_big.jpg,yoyo_small.jpg,R1,small,normal
2,l2,test,test2,contrast,brush_big.jpg,brush_small.jpg,brush_small.jpg,panflute_big.jpg,dolphin_small.jpg,R1,big,normal
3,l2,test,test3,contrast,pencil_small.jpg,pencil_big.jpg,pencil_big.jpg,bone_big.jpg,screwdriver_small.jpg,R1,small,normal
4,l2,test,test4,contrast,tuxedo_big.jpg,tuxedo_small.jpg,tuxedo_small.jpg,shapestoy_big.jpg,pillow_small.jpg,R1,big,normal
5,l2,test,test5,contrast,onion_small.jpg,onion_big.jpg,onion_big.jpg,cane_big.jpg,alligator_small.jpg,R1,small,normal
6,l2,test,test6,contrast,dress_big.jpg,dress_small.jpg,dress_small.jpg,tractor_big.jpg,nest_small.jpg,R1,big,normal
7,l2,test,test7,contrast,key_small.jpg,key_big.jpg,key_big.jpg,barrel_big.jpg,compass_small.jpg,R1,small,normal
8,l2,test,test8,contrast,orange_big.jpg,orange_small.jpg,orange_small.jpg,ladybug_big.jpg,cone_small.jpg,R1,big,normal
9,l2,test,test9,contrast,feather_small.jpg,feather_big.jpg,feather_big.jpg,basket_big.jpg,washer_small.jpg,R1,small,normal
10,l2,test,test10,contrast,kayak_big.jpg,kayak_small.jpg,kayak_small.jpg,accordion_big.jpg,microscope_small.jpg,R1,big,normal
11,l2,test,test11,contrast,wavevase_small.jpg,bike_big.jpg,bike_big.jpg,suitcase_big.jpg,bike_small.jpg,R1,small,switch
12,l2,test,test12,contrast,milkshake_big.jpg,turtle_small.jpg,turtle_small.jpg,turtle_big.jpg,baseballglove_small.jpg,R1,big,switch
13,l2,test,test13,contrast,bill_big.jpg,camera_small.jpg,camera_small.jpg,camera_big.jpg,wheelchair_small.jpg,R1,big,switch
14,l2,test,test14,contrast,fridge_small.jpg,tree_big.jpg,tree_big.jpg,stove_big.jpg,tree_small.jpg,R1,small,switch
15,l2,test,test15,contrast,laptop_big.jpg,starfish_small.jpg,starfish_small.jpg,starfish_big.jpg,toyoctopus_small.jpg,R1,big,switch
16,l2,test,test16,contrast,pie_small.jpg,guitar_big.jpg,guitar_big.jpg,orangephone_big.jpg,guitar_small.jpg,R1,small,switch
17,l2,test,test17,contrast,tape_big.jpg,bunny_small.jpg,bunny_small.jpg,bunny_big.jpg,lightbulb_small.jpg,R1,big,switch
18,l2,test,test18,contrast,flag_small.jpg,fan_big.jpg,fan_big.jpg,hookah_big.jpg,fan_small.jpg,R1,small,switch
