"condition","itemid","Window","Region","freq.eye","prop.eye","freq.click","prop.click"
"contrast",11,"adjective","competitor",23,0.121693121693122,31,0.62
"contrast",11,"adjective","distractor",25,0.132275132275132,4,0.08
"contrast",11,"adjective","contrast",25,0.132275132275132,2,0.04
"contrast",11,"adjective","target",116,0.613756613756614,13,0.26
"contrast",11,"noun","competitor",14,0.333333333333333,2,0.04
"contrast",11,"noun","distractor",0,0,0,0
"contrast",11,"noun","contrast",9,0.214285714285714,2,0.04
"contrast",11,"noun","target",19,0.452380952380952,46,0.92
"contrast",11,"prior","competitor",24,0.131868131868132,11,0.22
"contrast",11,"prior","distractor",39,0.214285714285714,17,0.34
"contrast",11,"prior","contrast",28,0.153846153846154,8,0.16
"contrast",11,"prior","target",91,0.5,14,0.28
"contrast",12,"adjective","competitor",32,0.109965635738832,32,0.64
"contrast",12,"adjective","distractor",20,0.0687285223367698,2,0.04
"contrast",12,"adjective","contrast",62,0.213058419243986,1,0.02
"contrast",12,"adjective","target",177,0.608247422680412,15,0.3
"contrast",12,"noun","competitor",0,0,1,0.02
"contrast",12,"noun","distractor",0,0,0,0
"contrast",12,"noun","contrast",0,0,1,0.02
"contrast",12,"noun","target",0,0,48,0.96
"contrast",12,"prior","competitor",27,0.1,18,0.36
"contrast",12,"prior","distractor",74,0.274074074074074,9,0.18
"contrast",12,"prior","contrast",35,0.12962962962963,12,0.24
"contrast",12,"prior","target",134,0.496296296296296,11,0.22
"contrast",13,"adjective","competitor",98,0.429824561403509,37,0.74
"contrast",13,"adjective","distractor",10,0.043859649122807,4,0.08
"contrast",13,"adjective","contrast",30,0.131578947368421,0,0
"contrast",13,"adjective","target",90,0.394736842105263,9,0.18
"contrast",13,"noun","competitor",4,0.25,34,0.68
"contrast",13,"noun","distractor",0,0,0,0
"contrast",13,"noun","contrast",2,0.125,0,0
"contrast",13,"noun","target",10,0.625,16,0.32
"contrast",13,"prior","competitor",31,0.165775401069519,11,0.22
"contrast",13,"prior","distractor",44,0.235294117647059,20,0.4
"contrast",13,"prior","contrast",99,0.529411764705882,6,0.12
